                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-7.05	-3.39	1.19	4.81	16.38	16.83	13.83	14.0	14.55	13.77	14.04	14.27	
Time:13	13	11	12	10	12	13	13	13	12	12	12	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-16.77	-13.19	-8.17	-5.39	4.35	2.63	1.31	1.09	1.55	1.24	1.48	1.57	
Time: 	10	10	10	10	6	5	8	8	9	10	9	9	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2757
===============
No. of wrong lines: 63
==================
Wrong Direct Normal Radiation:
=================================
Year: 1976  Month: 3  Day: 22  Time: 8  Solar radiation: 611
Year: 1963  Month: 4  Day: 4  Time: 8  Solar radiation: 761
Year: 1963  Month: 4  Day: 6  Time: 8  Solar radiation: 570
Year: 1963  Month: 4  Day: 13  Time: 8  Solar radiation: 733
Year: 1963  Month: 4  Day: 14  Time: 8  Solar radiation: 758
Year: 1963  Month: 4  Day: 21  Time: 8  Solar radiation: 777
Year: 1963  Month: 4  Day: 24  Time: 8  Solar radiation: 690
Year: 1963  Month: 4  Day: 25  Time: 8  Solar radiation: 690
Year: 1963  Month: 4  Day: 26  Time: 8  Solar radiation: 713
Year: 1969  Month: 5  Day: 7  Time: 8  Solar radiation: 677
Year: 1969  Month: 5  Day: 12  Time: 8  Solar radiation: 623
Year: 1969  Month: 5  Day: 13  Time: 7  Solar radiation: 651
Year: 1969  Month: 5  Day: 13  Time: 8  Solar radiation: 789
Year: 1969  Month: 5  Day: 14  Time: 8  Solar radiation: 667
Year: 1969  Month: 5  Day: 18  Time: 8  Solar radiation: 686
Year: 1969  Month: 5  Day: 20  Time: 8  Solar radiation: 829
Year: 1969  Month: 5  Day: 23  Time: 7  Solar radiation: 579
Year: 1969  Month: 5  Day: 23  Time: 8  Solar radiation: 720
Year: 1969  Month: 5  Day: 24  Time: 7  Solar radiation: 604
Year: 1969  Month: 5  Day: 24  Time: 8  Solar radiation: 664
Year: 1969  Month: 5  Day: 28  Time: 8  Solar radiation: 770
Year: 1966  Month: 6  Day: 10  Time: 7  Solar radiation: 662
Year: 1966  Month: 6  Day: 10  Time: 8  Solar radiation: 782
Year: 1966  Month: 6  Day: 13  Time: 8  Solar radiation: 662
Year: 1966  Month: 6  Day: 16  Time: 7  Solar radiation: 687
Year: 1966  Month: 6  Day: 16  Time: 8  Solar radiation: 807
Year: 1966  Month: 6  Day: 17  Time: 7  Solar radiation: 604
Year: 1966  Month: 6  Day: 17  Time: 8  Solar radiation: 775
Year: 1966  Month: 6  Day: 18  Time: 8  Solar radiation: 654
Year: 1966  Month: 6  Day: 20  Time: 8  Solar radiation: 590
Year: 1966  Month: 6  Day: 23  Time: 7  Solar radiation: 604
Year: 1966  Month: 6  Day: 23  Time: 8  Solar radiation: 732
Year: 1966  Month: 6  Day: 26  Time: 8  Solar radiation: 716
Year: 1966  Month: 6  Day: 28  Time: 8  Solar radiation: 607
Year: 1966  Month: 6  Day: 29  Time: 8  Solar radiation: 685
Year: 1968  Month: 7  Day: 3  Time: 7  Solar radiation: 671
Year: 1968  Month: 7  Day: 3  Time: 8  Solar radiation: 796
Year: 1968  Month: 7  Day: 4  Time: 7  Solar radiation: 615
Year: 1968  Month: 7  Day: 4  Time: 8  Solar radiation: 742
Year: 1968  Month: 7  Day: 6  Time: 8  Solar radiation: 720
Year: 1968  Month: 7  Day: 19  Time: 8  Solar radiation: 585
Year: 1968  Month: 7  Day: 22  Time: 8  Solar radiation: 596
Year: 1990  Month: 8  Day: 1  Time: 8  Solar radiation: 684
Year: 1990  Month: 8  Day: 4  Time: 8  Solar radiation: 582
Year: 1990  Month: 8  Day: 5  Time: 8  Solar radiation: 689
Year: 1990  Month: 8  Day: 6  Time: 8  Solar radiation: 699
Year: 1990  Month: 8  Day: 7  Time: 8  Solar radiation: 753
Year: 1990  Month: 8  Day: 8  Time: 8  Solar radiation: 692
Year: 1990  Month: 8  Day: 10  Time: 8  Solar radiation: 741
Year: 1990  Month: 8  Day: 13  Time: 7  Solar radiation: 576
Year: 1990  Month: 8  Day: 13  Time: 8  Solar radiation: 748
Year: 1990  Month: 8  Day: 16  Time: 8  Solar radiation: 601
Year: 1990  Month: 8  Day: 25  Time: 8  Solar radiation: 573
Year: 1990  Month: 8  Day: 30  Time: 8  Solar radiation: 590
Year: 1968  Month: 9  Day: 2  Time: 8  Solar radiation: 555
Year: 1968  Month: 9  Day: 10  Time: 8  Solar radiation: 644
Year: 1968  Month: 9  Day: 11  Time: 8  Solar radiation: 639
Year: 1968  Month: 9  Day: 12  Time: 8  Solar radiation: 695
Year: 1968  Month: 9  Day: 15  Time: 8  Solar radiation: 579
Year: 1968  Month: 9  Day: 20  Time: 8  Solar radiation: 670
Year: 1968  Month: 9  Day: 25  Time: 8  Solar radiation: 622
Year: 1968  Month: 9  Day: 27  Time: 8  Solar radiation: 561
Year: 1966  Month: 10  Day: 7  Time: 8  Solar radiation: 574
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
