                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-7.34	-7.58	3.41	3.85	1.58	3.46	5.79	8.59	10.28	10.85	11.34	7.8	
Time:12	13	12	12	13	13	13	13	14	13	14	11	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-18.14	-16.17	-6.49	-6.49	-5.44	-4.88	-2.49	-1.21	-0.43	-0.14	-0.04	-1.8	
Time: 	10	9	8	8	12	10	9	9	8	8	9	6	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2599
===============
No. of wrong lines: 59
==================
Wrong Direct Normal Radiation:
=================================
Year: 1988  Month: 3  Day: 31  Time: 8  Solar radiation: 647
Year: 1974  Month: 4  Day: 5  Time: 8  Solar radiation: 672
Year: 1974  Month: 4  Day: 9  Time: 8  Solar radiation: 669
Year: 1974  Month: 4  Day: 16  Time: 8  Solar radiation: 680
Year: 1974  Month: 4  Day: 22  Time: 8  Solar radiation: 742
Year: 1974  Month: 4  Day: 26  Time: 8  Solar radiation: 692
Year: 1974  Month: 4  Day: 28  Time: 8  Solar radiation: 661
Year: 1973  Month: 5  Day: 2  Time: 8  Solar radiation: 763
Year: 1973  Month: 5  Day: 7  Time: 8  Solar radiation: 556
Year: 1973  Month: 5  Day: 10  Time: 8  Solar radiation: 691
Year: 1973  Month: 5  Day: 12  Time: 8  Solar radiation: 616
Year: 1973  Month: 5  Day: 14  Time: 8  Solar radiation: 703
Year: 1973  Month: 5  Day: 15  Time: 8  Solar radiation: 735
Year: 1973  Month: 5  Day: 16  Time: 8  Solar radiation: 650
Year: 1973  Month: 5  Day: 17  Time: 8  Solar radiation: 618
Year: 1973  Month: 5  Day: 19  Time: 7  Solar radiation: 630
Year: 1973  Month: 5  Day: 19  Time: 8  Solar radiation: 780
Year: 1973  Month: 5  Day: 20  Time: 8  Solar radiation: 620
Year: 1973  Month: 5  Day: 29  Time: 8  Solar radiation: 714
Year: 1973  Month: 5  Day: 30  Time: 7  Solar radiation: 628
Year: 1973  Month: 5  Day: 30  Time: 8  Solar radiation: 771
Year: 1972  Month: 6  Day: 1  Time: 8  Solar radiation: 556
Year: 1972  Month: 6  Day: 2  Time: 8  Solar radiation: 761
Year: 1972  Month: 6  Day: 3  Time: 7  Solar radiation: 642
Year: 1972  Month: 6  Day: 3  Time: 8  Solar radiation: 787
Year: 1972  Month: 6  Day: 5  Time: 8  Solar radiation: 742
Year: 1972  Month: 6  Day: 6  Time: 7  Solar radiation: 592
Year: 1972  Month: 6  Day: 6  Time: 8  Solar radiation: 737
Year: 1972  Month: 6  Day: 7  Time: 8  Solar radiation: 624
Year: 1972  Month: 6  Day: 16  Time: 7  Solar radiation: 562
Year: 1972  Month: 6  Day: 16  Time: 8  Solar radiation: 682
Year: 1972  Month: 6  Day: 20  Time: 7  Solar radiation: 585
Year: 1972  Month: 6  Day: 20  Time: 8  Solar radiation: 732
Year: 1972  Month: 6  Day: 21  Time: 8  Solar radiation: 681
Year: 1972  Month: 6  Day: 27  Time: 8  Solar radiation: 633
Year: 1972  Month: 6  Day: 28  Time: 8  Solar radiation: 648
Year: 1972  Month: 6  Day: 29  Time: 8  Solar radiation: 788
Year: 1965  Month: 7  Day: 2  Time: 8  Solar radiation: 763
Year: 1965  Month: 7  Day: 3  Time: 8  Solar radiation: 647
Year: 1965  Month: 7  Day: 6  Time: 8  Solar radiation: 712
Year: 1965  Month: 7  Day: 7  Time: 8  Solar radiation: 752
Year: 1965  Month: 7  Day: 13  Time: 8  Solar radiation: 709
Year: 1965  Month: 7  Day: 14  Time: 7  Solar radiation: 557
Year: 1965  Month: 7  Day: 14  Time: 8  Solar radiation: 729
Year: 1965  Month: 7  Day: 16  Time: 8  Solar radiation: 555
Year: 1965  Month: 7  Day: 24  Time: 7  Solar radiation: 561
Year: 1965  Month: 7  Day: 24  Time: 8  Solar radiation: 729
Year: 1965  Month: 7  Day: 25  Time: 8  Solar radiation: 627
Year: 1965  Month: 7  Day: 27  Time: 8  Solar radiation: 732
Year: 1965  Month: 7  Day: 28  Time: 8  Solar radiation: 627
Year: 1965  Month: 7  Day: 31  Time: 8  Solar radiation: 589
Year: 1979  Month: 8  Day: 1  Time: 8  Solar radiation: 653
Year: 1979  Month: 8  Day: 8  Time: 8  Solar radiation: 700
Year: 1979  Month: 8  Day: 11  Time: 8  Solar radiation: 706
Year: 1979  Month: 8  Day: 14  Time: 8  Solar radiation: 690
Year: 1979  Month: 8  Day: 17  Time: 8  Solar radiation: 610
Year: 1979  Month: 8  Day: 18  Time: 8  Solar radiation: 611
Year: 1979  Month: 8  Day: 30  Time: 8  Solar radiation: 570
Year: 1975  Month: 9  Day: 24  Time: 8  Solar radiation: 572
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
