                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-1.26	0.91	1.65	8.73	8.37	8.33	8.35	9.17	9.24	9.88	10.23	10.42	
Time:13	14	14	12	11	12	12	12	12	12	12	12	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-9.35	-7.5	-7.14	-0.67	-1.68	-1.86	-1.83	-1.71	-1.64	-1.27	-0.68	-0.68	
Time: 	10	8	9	9	10	10	10	10	10	9	10	10	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2253
===============
No. of wrong lines: 72
==================
Wrong Direct Normal Radiation:
=================================
Year: 1996  Month: 2  Day: 27  Time: 8  Solar radiation: 556
Year: 2000  Month: 3  Day: 15  Time: 8  Solar radiation: 568
Year: 2000  Month: 3  Day: 19  Time: 8  Solar radiation: 568
Year: 2000  Month: 3  Day: 21  Time: 8  Solar radiation: 572
Year: 2000  Month: 3  Day: 23  Time: 8  Solar radiation: 602
Year: 2000  Month: 3  Day: 24  Time: 8  Solar radiation: 588
Year: 2000  Month: 3  Day: 25  Time: 8  Solar radiation: 593
Year: 2000  Month: 3  Day: 26  Time: 8  Solar radiation: 598
Year: 2000  Month: 3  Day: 31  Time: 8  Solar radiation: 663
Year: 2000  Month: 4  Day: 1  Time: 8  Solar radiation: 593
Year: 2000  Month: 4  Day: 10  Time: 8  Solar radiation: 637
Year: 2000  Month: 4  Day: 11  Time: 8  Solar radiation: 580
Year: 2000  Month: 4  Day: 13  Time: 8  Solar radiation: 598
Year: 2000  Month: 4  Day: 14  Time: 8  Solar radiation: 610
Year: 2000  Month: 4  Day: 15  Time: 8  Solar radiation: 653
Year: 2000  Month: 4  Day: 25  Time: 8  Solar radiation: 699
Year: 2000  Month: 4  Day: 29  Time: 7  Solar radiation: 558
Year: 2000  Month: 4  Day: 29  Time: 8  Solar radiation: 630
Year: 2005  Month: 5  Day: 2  Time: 8  Solar radiation: 672
Year: 2005  Month: 5  Day: 3  Time: 8  Solar radiation: 659
Year: 2005  Month: 5  Day: 5  Time: 8  Solar radiation: 628
Year: 2005  Month: 5  Day: 10  Time: 8  Solar radiation: 658
Year: 2005  Month: 5  Day: 11  Time: 8  Solar radiation: 621
Year: 2005  Month: 5  Day: 13  Time: 8  Solar radiation: 658
Year: 2005  Month: 5  Day: 19  Time: 7  Solar radiation: 554
Year: 2005  Month: 5  Day: 19  Time: 8  Solar radiation: 687
Year: 2005  Month: 5  Day: 28  Time: 8  Solar radiation: 662
Year: 2005  Month: 5  Day: 30  Time: 8  Solar radiation: 588
Year: 2000  Month: 6  Day: 8  Time: 8  Solar radiation: 594
Year: 2000  Month: 6  Day: 9  Time: 8  Solar radiation: 668
Year: 2000  Month: 6  Day: 20  Time: 8  Solar radiation: 680
Year: 2000  Month: 6  Day: 24  Time: 7  Solar radiation: 564
Year: 2000  Month: 6  Day: 24  Time: 8  Solar radiation: 631
Year: 2000  Month: 6  Day: 28  Time: 8  Solar radiation: 644
Year: 1991  Month: 7  Day: 2  Time: 7  Solar radiation: 709
Year: 1991  Month: 7  Day: 2  Time: 8  Solar radiation: 575
Year: 1991  Month: 7  Day: 10  Time: 7  Solar radiation: 600
Year: 1991  Month: 7  Day: 10  Time: 8  Solar radiation: 693
Year: 1991  Month: 7  Day: 11  Time: 7  Solar radiation: 607
Year: 1991  Month: 7  Day: 11  Time: 8  Solar radiation: 599
Year: 1991  Month: 7  Day: 12  Time: 7  Solar radiation: 650
Year: 1991  Month: 7  Day: 15  Time: 7  Solar radiation: 683
Year: 1991  Month: 7  Day: 15  Time: 8  Solar radiation: 788
Year: 1991  Month: 7  Day: 16  Time: 8  Solar radiation: 599
