                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-5.2	-4.56	5.14	5.93	0.58	5.13	7.07	9.18	14.47	13.6	13.66	13.38	
Time:12	13	11	12	13	13	14	13	13	13	13	12	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-14.66	-13.44	-4.33	-3.67	-6.0	-3.63	-2.83	-1.55	2.22	1.93	1.55	1.72	
Time: 	8	9	11	11	12	12	12	12	11	11	12	11	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2596
===============
No. of wrong lines: 51
==================
Wrong Direct Normal Radiation:
=================================
Year: 1976  Month: 3  Day: 28  Time: 8  Solar radiation: 585
Year: 2002  Month: 4  Day: 5  Time: 8  Solar radiation: 587
Year: 2002  Month: 4  Day: 9  Time: 8  Solar radiation: 576
Year: 2002  Month: 4  Day: 10  Time: 8  Solar radiation: 556
Year: 2002  Month: 4  Day: 13  Time: 8  Solar radiation: 566
Year: 2002  Month: 4  Day: 18  Time: 8  Solar radiation: 587
Year: 2002  Month: 4  Day: 23  Time: 8  Solar radiation: 691
Year: 2002  Month: 4  Day: 26  Time: 8  Solar radiation: 633
Year: 2002  Month: 4  Day: 29  Time: 8  Solar radiation: 644
Year: 1986  Month: 5  Day: 2  Time: 8  Solar radiation: 592
Year: 1986  Month: 5  Day: 6  Time: 8  Solar radiation: 751
Year: 1986  Month: 5  Day: 14  Time: 7  Solar radiation: 641
Year: 1986  Month: 5  Day: 14  Time: 8  Solar radiation: 779
Year: 1986  Month: 5  Day: 18  Time: 8  Solar radiation: 700
Year: 1986  Month: 5  Day: 19  Time: 8  Solar radiation: 677
Year: 1986  Month: 5  Day: 20  Time: 8  Solar radiation: 644
Year: 1986  Month: 5  Day: 21  Time: 7  Solar radiation: 639
Year: 1986  Month: 5  Day: 21  Time: 8  Solar radiation: 780
Year: 1986  Month: 5  Day: 22  Time: 7  Solar radiation: 568
Year: 1986  Month: 5  Day: 22  Time: 8  Solar radiation: 722
Year: 1986  Month: 5  Day: 24  Time: 8  Solar radiation: 616
Year: 1986  Month: 5  Day: 31  Time: 7  Solar radiation: 588
Year: 1986  Month: 5  Day: 31  Time: 8  Solar radiation: 730
Year: 2001  Month: 6  Day: 8  Time: 8  Solar radiation: 599
Year: 2001  Month: 6  Day: 9  Time: 8  Solar radiation: 562
Year: 2001  Month: 6  Day: 11  Time: 8  Solar radiation: 648
Year: 2001  Month: 6  Day: 16  Time: 8  Solar radiation: 654
Year: 2001  Month: 6  Day: 17  Time: 8  Solar radiation: 654
Year: 2001  Month: 6  Day: 20  Time: 8  Solar radiation: 661
Year: 2001  Month: 6  Day: 22  Time: 8  Solar radiation: 574
Year: 2001  Month: 6  Day: 23  Time: 8  Solar radiation: 642
Year: 2001  Month: 6  Day: 25  Time: 8  Solar radiation: 556
Year: 2001  Month: 6  Day: 27  Time: 8  Solar radiation: 562
Year: 2001  Month: 6  Day: 29  Time: 8  Solar radiation: 649
Year: 2001  Month: 7  Day: 3  Time: 8  Solar radiation: 556
Year: 2001  Month: 7  Day: 4  Time: 8  Solar radiation: 569
Year: 2001  Month: 7  Day: 5  Time: 8  Solar radiation: 643
Year: 2001  Month: 7  Day: 6  Time: 8  Solar radiation: 594
Year: 2001  Month: 7  Day: 11  Time: 8  Solar radiation: 613
Year: 2001  Month: 7  Day: 13  Time: 8  Solar radiation: 638
Year: 2002  Month: 8  Day: 2  Time: 8  Solar radiation: 574
Year: 2002  Month: 8  Day: 16  Time: 8  Solar radiation: 604
Year: 2002  Month: 8  Day: 26  Time: 8  Solar radiation: 564
Year: 1980  Month: 9  Day: 4  Time: 8  Solar radiation: 576
Year: 1980  Month: 9  Day: 8  Time: 8  Solar radiation: 562
Year: 1980  Month: 9  Day: 10  Time: 8  Solar radiation: 611
Year: 1980  Month: 9  Day: 12  Time: 8  Solar radiation: 617
Year: 1980  Month: 9  Day: 19  Time: 8  Solar radiation: 565
Year: 1980  Month: 9  Day: 23  Time: 8  Solar radiation: 616
Year: 1980  Month: 9  Day: 27  Time: 8  Solar radiation: 651
Year: 1978  Month: 10  Day: 20  Time: 8  Solar radiation: 565
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
