                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:9.5	12.52	15.44	17.44	13.8	23.75	23.04	24.65	25.13	26.32	27.05	26.44	
Time:11	13	12	13	8	13	13	13	14	14	14	14	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-1.25	2.75	5.23	6.58	9.8	9.61	10.21	16.04	15.73	15.99	16.99	16.22	
Time: 	10	9	7	8	1	8	8	8	7	8	7	7	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2437
===============
No. of wrong lines: 38
==================
Wrong Direct Normal Radiation:
=================================
Year: 1995  Month: 3  Day: 21  Time: 8  Solar radiation: 570
Year: 1994  Month: 4  Day: 1  Time: 8  Solar radiation: 656
Year: 1994  Month: 4  Day: 24  Time: 8  Solar radiation: 586
Year: 2001  Month: 5  Day: 8  Time: 8  Solar radiation: 560
Year: 2001  Month: 5  Day: 9  Time: 8  Solar radiation: 553
Year: 2001  Month: 5  Day: 14  Time: 8  Solar radiation: 564
Year: 2001  Month: 5  Day: 19  Time: 8  Solar radiation: 626
Year: 2001  Month: 5  Day: 22  Time: 8  Solar radiation: 600
Year: 1994  Month: 6  Day: 7  Time: 8  Solar radiation: 654
Year: 1994  Month: 6  Day: 24  Time: 8  Solar radiation: 675
Year: 1994  Month: 6  Day: 28  Time: 8  Solar radiation: 611
Year: 1997  Month: 7  Day: 2  Time: 8  Solar radiation: 569
Year: 1997  Month: 7  Day: 5  Time: 8  Solar radiation: 710
Year: 1997  Month: 7  Day: 6  Time: 8  Solar radiation: 585
Year: 1997  Month: 7  Day: 9  Time: 8  Solar radiation: 695
Year: 1997  Month: 7  Day: 13  Time: 8  Solar radiation: 723
Year: 1997  Month: 7  Day: 14  Time: 8  Solar radiation: 629
Year: 1997  Month: 7  Day: 16  Time: 8  Solar radiation: 654
Year: 1997  Month: 7  Day: 19  Time: 8  Solar radiation: 689
Year: 1997  Month: 7  Day: 21  Time: 8  Solar radiation: 701
Year: 1997  Month: 7  Day: 22  Time: 8  Solar radiation: 653
Year: 1997  Month: 7  Day: 23  Time: 8  Solar radiation: 691
Year: 1997  Month: 7  Day: 25  Time: 8  Solar radiation: 581
Year: 1997  Month: 7  Day: 27  Time: 8  Solar radiation: 672
Year: 1997  Month: 7  Day: 28  Time: 8  Solar radiation: 624
Year: 1997  Month: 8  Day: 2  Time: 8  Solar radiation: 583
Year: 1997  Month: 8  Day: 3  Time: 8  Solar radiation: 659
Year: 1997  Month: 8  Day: 5  Time: 8  Solar radiation: 596
Year: 1997  Month: 8  Day: 20  Time: 8  Solar radiation: 661
Year: 1997  Month: 8  Day: 21  Time: 8  Solar radiation: 634
Year: 1997  Month: 8  Day: 23  Time: 8  Solar radiation: 586
Year: 1997  Month: 8  Day: 26  Time: 8  Solar radiation: 604
Year: 1997  Month: 8  Day: 30  Time: 8  Solar radiation: 573
Year: 1997  Month: 9  Day: 1  Time: 8  Solar radiation: 566
Year: 1997  Month: 9  Day: 5  Time: 8  Solar radiation: 675
Year: 1997  Month: 9  Day: 6  Time: 8  Solar radiation: 608
Year: 1997  Month: 9  Day: 12  Time: 8  Solar radiation: 657
Year: 1997  Month: 9  Day: 27  Time: 8  Solar radiation: 611
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
