                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:12.58	14.86	17.3	20.28	21.53	24.76	24.43	24.99	24.91	23.87	24.06	24.54	
Time:13	13	13	13	13	13	11	12	12	12	12	12	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:0.65	2.64	3.07	8.07	8.42	14.64	13.23	13.23	12.47	10.42	10.19	10.13	
Time: 	10	8	8	10	9	8	10	10	9	8	8	8	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2777
===============
No. of wrong lines: 38
==================
Wrong Direct Normal Radiation:
=================================
Year: 1981  Month: 2  Day: 24  Time: 8  Solar radiation: 649
Year: 1991  Month: 3  Day: 24  Time: 8  Solar radiation: 559
Year: 1988  Month: 4  Day: 5  Time: 8  Solar radiation: 708
Year: 1988  Month: 4  Day: 7  Time: 7  Solar radiation: 552
Year: 1988  Month: 4  Day: 7  Time: 8  Solar radiation: 788
Year: 1988  Month: 4  Day: 8  Time: 8  Solar radiation: 608
Year: 1988  Month: 4  Day: 13  Time: 8  Solar radiation: 784
Year: 1988  Month: 4  Day: 14  Time: 8  Solar radiation: 628
Year: 1988  Month: 4  Day: 15  Time: 8  Solar radiation: 743
Year: 1988  Month: 4  Day: 16  Time: 8  Solar radiation: 622
Year: 1988  Month: 4  Day: 20  Time: 8  Solar radiation: 721
Year: 1988  Month: 4  Day: 26  Time: 7  Solar radiation: 578
Year: 1988  Month: 4  Day: 26  Time: 8  Solar radiation: 750
Year: 1988  Month: 4  Day: 27  Time: 8  Solar radiation: 599
Year: 1988  Month: 4  Day: 28  Time: 8  Solar radiation: 723
Year: 1990  Month: 5  Day: 7  Time: 7  Solar radiation: 561
Year: 1990  Month: 5  Day: 7  Time: 8  Solar radiation: 727
Year: 1990  Month: 5  Day: 23  Time: 7  Solar radiation: 621
Year: 1990  Month: 5  Day: 25  Time: 8  Solar radiation: 571
Year: 2002  Month: 6  Day: 10  Time: 8  Solar radiation: 586
Year: 2005  Month: 7  Day: 4  Time: 8  Solar radiation: 551
Year: 1994  Month: 8  Day: 7  Time: 8  Solar radiation: 567
Year: 1994  Month: 8  Day: 8  Time: 8  Solar radiation: 580
Year: 1994  Month: 8  Day: 11  Time: 8  Solar radiation: 579
Year: 1994  Month: 8  Day: 12  Time: 8  Solar radiation: 620
Year: 1994  Month: 8  Day: 26  Time: 8  Solar radiation: 570
Year: 1994  Month: 8  Day: 30  Time: 8  Solar radiation: 629
Year: 2000  Month: 9  Day: 3  Time: 8  Solar radiation: 567
Year: 1989  Month: 10  Day: 3  Time: 8  Solar radiation: 663
Year: 1989  Month: 10  Day: 4  Time: 8  Solar radiation: 553
Year: 1989  Month: 10  Day: 11  Time: 8  Solar radiation: 621
Year: 1989  Month: 10  Day: 20  Time: 8  Solar radiation: 662
Year: 1989  Month: 10  Day: 29  Time: 8  Solar radiation: 659
Year: 1980  Month: 11  Day: 6  Time: 8  Solar radiation: 651
Year: 1980  Month: 11  Day: 7  Time: 8  Solar radiation: 571
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
Year: 1990  Month: 5  Day: 15  Time: 8  Solar radiation: 254
Year: 1990  Month: 5  Day: 31  Time: 8  Solar radiation: 251
Year: 2002  Month: 6  Day: 16  Time: 8  Solar radiation: 251
