                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:14.12	13.67	17.28	18.0	21.42	20.98	21.11	21.35	21.41	21.67	22.17	13.3	
Time:12	13	13	12	12	12	12	13	13	13	13	8	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:2.74	5.74	6.86	6.92	11.49	10.3	10.06	10.06	10.03	10.05	10.57	6.1	
Time: 	9	10	9	12	10	10	10	10	10	9	9	5	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2615
===============
No. of wrong lines: 51
==================
Wrong Direct Normal Radiation:
=================================
Year: 1989  Month: 2  Day: 10  Time: 8  Solar radiation: 555
Year: 1990  Month: 3  Day: 5  Time: 8  Solar radiation: 703
Year: 1990  Month: 3  Day: 18  Time: 8  Solar radiation: 691
Year: 1990  Month: 3  Day: 21  Time: 8  Solar radiation: 684
Year: 1990  Month: 3  Day: 22  Time: 8  Solar radiation: 696
Year: 1990  Month: 3  Day: 23  Time: 8  Solar radiation: 718
Year: 1990  Month: 3  Day: 24  Time: 8  Solar radiation: 714
Year: 1990  Month: 3  Day: 27  Time: 8  Solar radiation: 695
Year: 1985  Month: 4  Day: 1  Time: 8  Solar radiation: 636
Year: 1985  Month: 4  Day: 3  Time: 8  Solar radiation: 657
Year: 1985  Month: 4  Day: 4  Time: 8  Solar radiation: 577
Year: 1985  Month: 4  Day: 7  Time: 8  Solar radiation: 618
Year: 1985  Month: 4  Day: 9  Time: 8  Solar radiation: 705
Year: 1985  Month: 4  Day: 10  Time: 8  Solar radiation: 668
Year: 1985  Month: 4  Day: 17  Time: 8  Solar radiation: 735
Year: 1985  Month: 4  Day: 18  Time: 8  Solar radiation: 710
Year: 1980  Month: 5  Day: 5  Time: 7  Solar radiation: 606
Year: 1980  Month: 5  Day: 5  Time: 8  Solar radiation: 774
Year: 1980  Month: 5  Day: 6  Time: 7  Solar radiation: 553
Year: 1980  Month: 5  Day: 6  Time: 8  Solar radiation: 726
Year: 1980  Month: 5  Day: 9  Time: 8  Solar radiation: 640
Year: 1980  Month: 5  Day: 10  Time: 7  Solar radiation: 645
Year: 1980  Month: 5  Day: 10  Time: 8  Solar radiation: 791
Year: 1980  Month: 5  Day: 24  Time: 8  Solar radiation: 614
Year: 1980  Month: 5  Day: 25  Time: 8  Solar radiation: 575
Year: 1980  Month: 5  Day: 28  Time: 8  Solar radiation: 616
Year: 1980  Month: 5  Day: 31  Time: 8  Solar radiation: 554
Year: 1986  Month: 6  Day: 5  Time: 8  Solar radiation: 655
Year: 1986  Month: 6  Day: 8  Time: 8  Solar radiation: 624
Year: 1986  Month: 6  Day: 12  Time: 7  Solar radiation: 589
Year: 1986  Month: 6  Day: 12  Time: 8  Solar radiation: 559
Year: 1986  Month: 6  Day: 15  Time: 8  Solar radiation: 628
Year: 1986  Month: 6  Day: 17  Time: 8  Solar radiation: 664
Year: 1986  Month: 6  Day: 24  Time: 7  Solar radiation: 564
Year: 1986  Month: 6  Day: 24  Time: 8  Solar radiation: 706
Year: 1986  Month: 6  Day: 25  Time: 8  Solar radiation: 551
Year: 1996  Month: 10  Day: 8  Time: 8  Solar radiation: 610
Year: 1996  Month: 10  Day: 10  Time: 8  Solar radiation: 706
Year: 1996  Month: 10  Day: 12  Time: 8  Solar radiation: 669
Year: 1996  Month: 10  Day: 14  Time: 8  Solar radiation: 575
Year: 1996  Month: 10  Day: 15  Time: 8  Solar radiation: 660
Year: 1996  Month: 10  Day: 16  Time: 8  Solar radiation: 610
Year: 1996  Month: 10  Day: 19  Time: 8  Solar radiation: 690
Year: 1996  Month: 10  Day: 20  Time: 8  Solar radiation: 608
Year: 1996  Month: 10  Day: 21  Time: 8  Solar radiation: 594
Year: 1996  Month: 10  Day: 31  Time: 8  Solar radiation: 657
Year: 1996  Month: 11  Day: 10  Time: 8  Solar radiation: 577
Year: 1996  Month: 11  Day: 12  Time: 8  Solar radiation: 636
Year: 1996  Month: 11  Day: 14  Time: 8  Solar radiation: 578
Year: 1996  Month: 11  Day: 15  Time: 8  Solar radiation: 581
Year: 1978  Month: 12  Day: 12  Time: 8  Solar radiation: 586
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
