                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-8.75	-7.69	-7.12	-3.54	-3.04	-2.85	-1.38	2.01	2.15	2.48	2.54	2.58	
Time:11	12	12	11	12	12	13	12	12	11	12	12	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-16.61	-14.8	-14.57	-11.14	-10.72	-9.94	-9.35	-2.29	-2.29	-1.84	-1.86	-1.86	
Time: 	11	8	9	9	9	9	10	10	10	9	8	8	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2409
===============
No. of wrong lines: 140
==================
Wrong Direct Normal Radiation:
=================================
Year: 1971  Month: 2  Day: 27  Time: 8  Solar radiation: 706
Year: 1982  Month: 3  Day: 17  Time: 8  Solar radiation: 764
Year: 1982  Month: 3  Day: 19  Time: 8  Solar radiation: 586
Year: 1982  Month: 3  Day: 24  Time: 8  Solar radiation: 774
Year: 1966  Month: 4  Day: 8  Time: 7  Solar radiation: 625
Year: 1966  Month: 4  Day: 13  Time: 8  Solar radiation: 634
Year: 1966  Month: 4  Day: 14  Time: 7  Solar radiation: 804
Year: 1966  Month: 4  Day: 14  Time: 8  Solar radiation: 902
Year: 1966  Month: 4  Day: 15  Time: 7  Solar radiation: 651
Year: 1966  Month: 4  Day: 15  Time: 8  Solar radiation: 730
Year: 1966  Month: 4  Day: 20  Time: 6  Solar radiation: 626
Year: 1966  Month: 4  Day: 20  Time: 7  Solar radiation: 741
Year: 1966  Month: 4  Day: 20  Time: 8  Solar radiation: 820
Year: 1966  Month: 4  Day: 23  Time: 8  Solar radiation: 833
Year: 1966  Month: 4  Day: 27  Time: 7  Solar radiation: 780
Year: 1966  Month: 4  Day: 27  Time: 8  Solar radiation: 851
Year: 1966  Month: 4  Day: 30  Time: 6  Solar radiation: 623
Year: 1966  Month: 4  Day: 30  Time: 7  Solar radiation: 592
Year: 1966  Month: 4  Day: 30  Time: 8  Solar radiation: 646
Year: 1981  Month: 5  Day: 1  Time: 7  Solar radiation: 677
Year: 1981  Month: 5  Day: 1  Time: 8  Solar radiation: 828
Year: 1981  Month: 5  Day: 3  Time: 6  Solar radiation: 638
Year: 1981  Month: 5  Day: 3  Time: 7  Solar radiation: 760
Year: 1981  Month: 5  Day: 3  Time: 8  Solar radiation: 825
Year: 1981  Month: 5  Day: 4  Time: 6  Solar radiation: 637
Year: 1981  Month: 5  Day: 4  Time: 7  Solar radiation: 764
Year: 1981  Month: 5  Day: 4  Time: 8  Solar radiation: 828
Year: 1981  Month: 5  Day: 8  Time: 6  Solar radiation: 736
Year: 1981  Month: 5  Day: 8  Time: 7  Solar radiation: 779
Year: 1981  Month: 5  Day: 8  Time: 8  Solar radiation: 744
Year: 1981  Month: 5  Day: 15  Time: 6  Solar radiation: 586
Year: 1981  Month: 5  Day: 15  Time: 7  Solar radiation: 595
Year: 1981  Month: 5  Day: 15  Time: 8  Solar radiation: 640
Year: 1981  Month: 5  Day: 21  Time: 6  Solar radiation: 764
Year: 1981  Month: 5  Day: 21  Time: 7  Solar radiation: 870
Year: 1981  Month: 5  Day: 21  Time: 8  Solar radiation: 931
Year: 1981  Month: 5  Day: 23  Time: 6  Solar radiation: 686
Year: 1981  Month: 5  Day: 23  Time: 7  Solar radiation: 777
Year: 1981  Month: 5  Day: 23  Time: 8  Solar radiation: 831
Year: 1981  Month: 5  Day: 24  Time: 6  Solar radiation: 617
Year: 1981  Month: 5  Day: 24  Time: 7  Solar radiation: 690
Year: 1981  Month: 5  Day: 25  Time: 6  Solar radiation: 759
Year: 1981  Month: 5  Day: 25  Time: 8  Solar radiation: 831
Year: 1981  Month: 5  Day: 26  Time: 8  Solar radiation: 637
Year: 1981  Month: 6  Day: 1  Time: 8  Solar radiation: 744
Year: 1981  Month: 6  Day: 2  Time: 6  Solar radiation: 700
Year: 1981  Month: 6  Day: 2  Time: 7  Solar radiation: 787
Year: 1981  Month: 6  Day: 2  Time: 8  Solar radiation: 649
Year: 1981  Month: 6  Day: 5  Time: 6  Solar radiation: 680
Year: 1981  Month: 6  Day: 5  Time: 7  Solar radiation: 683
Year: 1981  Month: 6  Day: 5  Time: 8  Solar radiation: 727
Year: 1981  Month: 6  Day: 8  Time: 7  Solar radiation: 873
Year: 1981  Month: 6  Day: 8  Time: 8  Solar radiation: 928
Year: 1981  Month: 6  Day: 11  Time: 6  Solar radiation: 615
Year: 1981  Month: 6  Day: 11  Time: 7  Solar radiation: 692
Year: 1981  Month: 6  Day: 11  Time: 8  Solar radiation: 735
Year: 1981  Month: 6  Day: 18  Time: 6  Solar radiation: 612
Year: 1981  Month: 6  Day: 18  Time: 7  Solar radiation: 777
