                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:15.09	16.06	16.58	20.19	21.24	20.33	20.36	20.15	20.12	20.46	12.05	15.42	
Time:13	12	12	13	13	13	13	13	13	13	10	12	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:3.92	5.27	5.68	9.16	9.59	8.73	8.61	8.58	8.5	8.5	3.5	5.0	
Time: 	8	6	7	7	7	7	7	7	7	7	4	4	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2556
===============
No. of wrong lines: 204
==================
Wrong Direct Normal Radiation:
=================================
Year: 2003  Month: 2  Day: 22  Time: 8  Solar radiation: 659
Year: 1995  Month: 3  Day: 17  Time: 8  Solar radiation: 663
Year: 1995  Month: 3  Day: 23  Time: 8  Solar radiation: 595
Year: 1995  Month: 3  Day: 26  Time: 8  Solar radiation: 792
Year: 1995  Month: 3  Day: 27  Time: 8  Solar radiation: 601
Year: 1995  Month: 3  Day: 30  Time: 8  Solar radiation: 762
Year: 1995  Month: 3  Day: 31  Time: 8  Solar radiation: 606
Year: 1999  Month: 4  Day: 2  Time: 8  Solar radiation: 776
Year: 1999  Month: 4  Day: 5  Time: 8  Solar radiation: 638
Year: 1999  Month: 4  Day: 8  Time: 8  Solar radiation: 742
Year: 1999  Month: 4  Day: 10  Time: 8  Solar radiation: 584
Year: 1999  Month: 4  Day: 14  Time: 8  Solar radiation: 803
Year: 1999  Month: 4  Day: 15  Time: 8  Solar radiation: 649
Year: 1999  Month: 4  Day: 16  Time: 8  Solar radiation: 787
Year: 1999  Month: 4  Day: 17  Time: 8  Solar radiation: 725
Year: 1999  Month: 4  Day: 18  Time: 8  Solar radiation: 714
Year: 1999  Month: 4  Day: 19  Time: 7  Solar radiation: 560
Year: 1999  Month: 4  Day: 19  Time: 8  Solar radiation: 674
Year: 1999  Month: 4  Day: 21  Time: 8  Solar radiation: 818
Year: 1999  Month: 4  Day: 25  Time: 8  Solar radiation: 791
Year: 1999  Month: 4  Day: 26  Time: 7  Solar radiation: 687
Year: 1999  Month: 4  Day: 26  Time: 8  Solar radiation: 723
Year: 2001  Month: 5  Day: 1  Time: 7  Solar radiation: 617
Year: 2001  Month: 5  Day: 1  Time: 8  Solar radiation: 828
Year: 2001  Month: 5  Day: 3  Time: 8  Solar radiation: 835
Year: 2001  Month: 5  Day: 4  Time: 7  Solar radiation: 718
Year: 2001  Month: 5  Day: 4  Time: 8  Solar radiation: 588
Year: 2001  Month: 5  Day: 5  Time: 7  Solar radiation: 703
Year: 2001  Month: 5  Day: 5  Time: 8  Solar radiation: 651
Year: 2001  Month: 5  Day: 6  Time: 7  Solar radiation: 588
Year: 2001  Month: 5  Day: 6  Time: 8  Solar radiation: 836
Year: 2001  Month: 5  Day: 7  Time: 7  Solar radiation: 688
Year: 2001  Month: 5  Day: 7  Time: 8  Solar radiation: 686
Year: 2001  Month: 5  Day: 8  Time: 8  Solar radiation: 652
Year: 2001  Month: 5  Day: 9  Time: 7  Solar radiation: 667
Year: 2001  Month: 5  Day: 9  Time: 8  Solar radiation: 716
Year: 2001  Month: 5  Day: 10  Time: 8  Solar radiation: 808
Year: 2001  Month: 5  Day: 11  Time: 7  Solar radiation: 729
Year: 2001  Month: 5  Day: 11  Time: 8  Solar radiation: 687
Year: 2001  Month: 5  Day: 12  Time: 8  Solar radiation: 682
Year: 2001  Month: 5  Day: 13  Time: 7  Solar radiation: 620
Year: 2001  Month: 5  Day: 13  Time: 8  Solar radiation: 786
Year: 2001  Month: 5  Day: 14  Time: 7  Solar radiation: 642
Year: 2001  Month: 5  Day: 14  Time: 8  Solar radiation: 722
Year: 2001  Month: 5  Day: 15  Time: 8  Solar radiation: 613
Year: 2001  Month: 5  Day: 16  Time: 7  Solar radiation: 627
Year: 2001  Month: 5  Day: 16  Time: 8  Solar radiation: 630
Year: 2001  Month: 5  Day: 17  Time: 7  Solar radiation: 622
Year: 2001  Month: 5  Day: 17  Time: 8  Solar radiation: 786
Year: 2001  Month: 5  Day: 18  Time: 7  Solar radiation: 683
Year: 2001  Month: 5  Day: 18  Time: 8  Solar radiation: 746
Year: 2001  Month: 5  Day: 19  Time: 8  Solar radiation: 631
Year: 2001  Month: 5  Day: 20  Time: 7  Solar radiation: 734
Year: 2001  Month: 5  Day: 20  Time: 8  Solar radiation: 677
Year: 2001  Month: 5  Day: 22  Time: 7  Solar radiation: 724
Year: 2001  Month: 5  Day: 22  Time: 8  Solar radiation: 781
Year: 2001  Month: 5  Day: 23  Time: 8  Solar radiation: 845
Year: 2001  Month: 5  Day: 24  Time: 8  Solar radiation: 730
Year: 2001  Month: 5  Day: 25  Time: 8  Solar radiation: 712
Year: 2001  Month: 5  Day: 26  Time: 8  Solar radiation: 660
Year: 2001  Month: 5  Day: 27  Time: 7  Solar radiation: 686
Year: 2001  Month: 5  Day: 27  Time: 8  Solar radiation: 614
Year: 2001  Month: 5  Day: 30  Time: 7  Solar radiation: 653
Year: 2001  Month: 5  Day: 30  Time: 8  Solar radiation: 718
Year: 2001  Month: 5  Day: 31  Time: 7  Solar radiation: 687
Year: 2001  Month: 5  Day: 31  Time: 8  Solar radiation: 846
Year: 2000  Month: 6  Day: 1  Time: 7  Solar radiation: 765
Year: 2000  Month: 6  Day: 1  Time: 8  Solar radiation: 858
Year: 2000  Month: 6  Day: 2  Time: 7  Solar radiation: 760
Year: 2000  Month: 6  Day: 2  Time: 8  Solar radiation: 748
Year: 2000  Month: 6  Day: 3  Time: 8  Solar radiation: 568
Year: 2000  Month: 6  Day: 4  Time: 8  Solar radiation: 568
Year: 2000  Month: 6  Day: 5  Time: 7  Solar radiation: 581
Year: 2000  Month: 6  Day: 6  Time: 7  Solar radiation: 699
Year: 2000  Month: 6  Day: 6  Time: 8  Solar radiation: 748
Year: 2000  Month: 6  Day: 7  Time: 7  Solar radiation: 744
Year: 2000  Month: 6  Day: 7  Time: 8  Solar radiation: 800
Year: 2000  Month: 6  Day: 9  Time: 6  Solar radiation: 556
Year: 2000  Month: 6  Day: 9  Time: 7  Solar radiation: 760
Year: 2000  Month: 6  Day: 9  Time: 8  Solar radiation: 626
Year: 2000  Month: 6  Day: 10  Time: 7  Solar radiation: 732
Year: 2000  Month: 6  Day: 10  Time: 8  Solar radiation: 823
Year: 2000  Month: 6  Day: 11  Time: 8  Solar radiation: 748
Year: 2000  Month: 6  Day: 12  Time: 8  Solar radiation: 713
Year: 2000  Month: 6  Day: 13  Time: 6  Solar radiation: 561
Year: 2000  Month: 6  Day: 13  Time: 7  Solar radiation: 704
Year: 2000  Month: 6  Day: 13  Time: 8  Solar radiation: 800
Year: 2000  Month: 6  Day: 14  Time: 7  Solar radiation: 760
Year: 2000  Month: 6  Day: 14  Time: 8  Solar radiation: 713
Year: 2000  Month: 6  Day: 15  Time: 7  Solar radiation: 671
Year: 2000  Month: 6  Day: 15  Time: 8  Solar radiation: 713
Year: 2000  Month: 6  Day: 16  Time: 8  Solar radiation: 858
Year: 2000  Month: 6  Day: 17  Time: 8  Solar radiation: 591
Year: 2000  Month: 6  Day: 18  Time: 8  Solar radiation: 747
Year: 2000  Month: 6  Day: 19  Time: 7  Solar radiation: 760
Year: 2000  Month: 6  Day: 19  Time: 8  Solar radiation: 834
Year: 2000  Month: 6  Day: 20  Time: 7  Solar radiation: 659
Year: 2000  Month: 6  Day: 20  Time: 8  Solar radiation: 742
Year: 2000  Month: 6  Day: 21  Time: 7  Solar radiation: 625
Year: 2000  Month: 6  Day: 21  Time: 8  Solar radiation: 857
Year: 2000  Month: 6  Day: 24  Time: 7  Solar radiation: 670
Year: 2000  Month: 6  Day: 24  Time: 8  Solar radiation: 828
Year: 2000  Month: 6  Day: 25  Time: 8  Solar radiation: 735
Year: 2000  Month: 6  Day: 28  Time: 8  Solar radiation: 816
Year: 2000  Month: 6  Day: 29  Time: 7  Solar radiation: 669
Year: 2000  Month: 6  Day: 29  Time: 8  Solar radiation: 793
Year: 2000  Month: 6  Day: 30  Time: 7  Solar radiation: 696
Year: 2000  Month: 6  Day: 30  Time: 8  Solar radiation: 851
Year: 2005  Month: 7  Day: 1  Time: 8  Solar radiation: 816
Year: 2005  Month: 7  Day: 2  Time: 8  Solar radiation: 770
Year: 2005  Month: 7  Day: 5  Time: 7  Solar radiation: 617
Year: 2005  Month: 7  Day: 5  Time: 8  Solar radiation: 711
Year: 2005  Month: 7  Day: 6  Time: 7  Solar radiation: 689
Year: 2005  Month: 7  Day: 6  Time: 8  Solar radiation: 752
Year: 2005  Month: 7  Day: 7  Time: 8  Solar radiation: 798
Year: 2005  Month: 7  Day: 9  Time: 8  Solar radiation: 659
