                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-1.25	1.1	6.72	9.11	17.93	11.7	19.69	20.67	21.31	22.55	23.43	23.38	
Time:13	14	14	14	13	8	14	14	14	14	14	14	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-11.94	-8.89	-2.24	-0.73	6.72	7.9	9.21	9.51	9.91	10.33	11.78	11.96	
Time: 	11	10	10	10	8	6	6	6	6	6	6	6	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2705
===============
No. of wrong lines: 77
==================
Wrong Direct Normal Radiation:
=================================
Year: 1959  Month: 3  Day: 22  Time: 8  Solar radiation: 604
Year: 1958  Month: 5  Day: 1  Time: 8  Solar radiation: 738
Year: 1958  Month: 5  Day: 9  Time: 8  Solar radiation: 696
Year: 1958  Month: 5  Day: 10  Time: 8  Solar radiation: 703
Year: 1958  Month: 5  Day: 11  Time: 8  Solar radiation: 644
Year: 1958  Month: 5  Day: 12  Time: 8  Solar radiation: 576
Year: 1958  Month: 5  Day: 16  Time: 8  Solar radiation: 649
Year: 1958  Month: 5  Day: 19  Time: 8  Solar radiation: 738
Year: 1958  Month: 5  Day: 20  Time: 8  Solar radiation: 579
Year: 1958  Month: 5  Day: 22  Time: 8  Solar radiation: 653
Year: 1958  Month: 5  Day: 24  Time: 8  Solar radiation: 629
Year: 1958  Month: 5  Day: 25  Time: 8  Solar radiation: 690
Year: 1958  Month: 5  Day: 28  Time: 8  Solar radiation: 831
Year: 1958  Month: 5  Day: 29  Time: 8  Solar radiation: 676
Year: 1972  Month: 6  Day: 1  Time: 8  Solar radiation: 659
Year: 1972  Month: 6  Day: 2  Time: 8  Solar radiation: 779
Year: 1972  Month: 6  Day: 3  Time: 8  Solar radiation: 751
Year: 1972  Month: 6  Day: 6  Time: 8  Solar radiation: 715
Year: 1972  Month: 6  Day: 9  Time: 8  Solar radiation: 720
Year: 1972  Month: 6  Day: 12  Time: 7  Solar radiation: 566
Year: 1972  Month: 6  Day: 12  Time: 8  Solar radiation: 726
Year: 1972  Month: 6  Day: 13  Time: 8  Solar radiation: 604
Year: 1972  Month: 6  Day: 15  Time: 8  Solar radiation: 580
Year: 1972  Month: 6  Day: 18  Time: 8  Solar radiation: 653
Year: 1972  Month: 6  Day: 21  Time: 8  Solar radiation: 710
Year: 1972  Month: 6  Day: 22  Time: 8  Solar radiation: 651
Year: 1972  Month: 6  Day: 23  Time: 7  Solar radiation: 564
Year: 1972  Month: 6  Day: 23  Time: 8  Solar radiation: 702
Year: 1972  Month: 6  Day: 26  Time: 8  Solar radiation: 727
Year: 1972  Month: 6  Day: 29  Time: 8  Solar radiation: 690
Year: 1972  Month: 6  Day: 30  Time: 7  Solar radiation: 570
Year: 1972  Month: 6  Day: 30  Time: 8  Solar radiation: 711
Year: 1961  Month: 7  Day: 5  Time: 8  Solar radiation: 596
