                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:16.23	17.24	17.76	17.99	18.14	17.83	17.89	17.97	18.31	18.92	12.5	13.4	
Time:12	12	12	12	12	12	12	12	12	12	10	11	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:6.97	8.53	8.78	11.45	11.42	10.98	10.79	10.78	10.72	10.78	10.7	9.68	
Time: 	6	9	8	7	7	10	9	9	9	9	5	8	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 1927
===============
No. of wrong lines: 105
==================
Wrong Direct Normal Radiation:
=================================
Year: 1994  Month: 2  Day: 25  Time: 8  Solar radiation: 584
Year: 1995  Month: 3  Day: 15  Time: 8  Solar radiation: 574
Year: 1995  Month: 3  Day: 16  Time: 8  Solar radiation: 565
Year: 1995  Month: 3  Day: 25  Time: 8  Solar radiation: 586
Year: 1995  Month: 3  Day: 26  Time: 8  Solar radiation: 624
Year: 1995  Month: 3  Day: 27  Time: 8  Solar radiation: 694
Year: 1995  Month: 3  Day: 29  Time: 8  Solar radiation: 604
Year: 2003  Month: 4  Day: 2  Time: 8  Solar radiation: 613
Year: 2003  Month: 4  Day: 5  Time: 8  Solar radiation: 644
Year: 2003  Month: 4  Day: 6  Time: 8  Solar radiation: 645
Year: 2003  Month: 4  Day: 7  Time: 8  Solar radiation: 662
Year: 2003  Month: 4  Day: 8  Time: 8  Solar radiation: 647
Year: 2003  Month: 4  Day: 10  Time: 8  Solar radiation: 559
Year: 2003  Month: 4  Day: 16  Time: 8  Solar radiation: 658
Year: 2003  Month: 4  Day: 18  Time: 8  Solar radiation: 637
Year: 2003  Month: 4  Day: 19  Time: 8  Solar radiation: 638
Year: 2003  Month: 4  Day: 22  Time: 8  Solar radiation: 684
Year: 2003  Month: 4  Day: 23  Time: 8  Solar radiation: 589
Year: 2003  Month: 4  Day: 24  Time: 8  Solar radiation: 595
Year: 2003  Month: 4  Day: 27  Time: 8  Solar radiation: 664
Year: 2003  Month: 4  Day: 29  Time: 8  Solar radiation: 705
Year: 2003  Month: 4  Day: 30  Time: 8  Solar radiation: 683
