                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:2.19	3.78	8.2	10.01	11.66	13.66	13.92	13.49	15.74	16.24	16.78	18.8	
Time:13	12	12	13	13	13	13	14	14	13	13	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-4.62	-4.05	0.16	0.57	2.43	3.27	3.64	3.99	5.76	8.68	8.68	9.73	
Time: 	8	9	9	10	4	4	6	6	7	8	8	8	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2528
===============
No. of wrong lines: 52
==================
Wrong Direct Normal Radiation:
=================================
Year: 1982  Month: 3  Day: 18  Time: 8  Solar radiation: 644
Year: 1970  Month: 4  Day: 8  Time: 8  Solar radiation: 744
Year: 1970  Month: 4  Day: 10  Time: 8  Solar radiation: 768
Year: 1970  Month: 4  Day: 18  Time: 8  Solar radiation: 566
Year: 1970  Month: 4  Day: 22  Time: 8  Solar radiation: 671
Year: 1976  Month: 5  Day: 5  Time: 7  Solar radiation: 634
Year: 1976  Month: 5  Day: 5  Time: 8  Solar radiation: 787
Year: 1976  Month: 5  Day: 6  Time: 8  Solar radiation: 585
Year: 1976  Month: 5  Day: 9  Time: 8  Solar radiation: 618
Year: 1976  Month: 5  Day: 10  Time: 8  Solar radiation: 630
Year: 1976  Month: 5  Day: 13  Time: 8  Solar radiation: 614
Year: 1976  Month: 5  Day: 20  Time: 8  Solar radiation: 554
Year: 1976  Month: 5  Day: 22  Time: 8  Solar radiation: 675
Year: 1976  Month: 5  Day: 28  Time: 7  Solar radiation: 570
Year: 1976  Month: 5  Day: 28  Time: 8  Solar radiation: 697
Year: 1968  Month: 6  Day: 4  Time: 8  Solar radiation: 674
Year: 1968  Month: 6  Day: 5  Time: 8  Solar radiation: 691
Year: 1968  Month: 6  Day: 10  Time: 8  Solar radiation: 739
Year: 1968  Month: 6  Day: 14  Time: 8  Solar radiation: 717
Year: 1968  Month: 6  Day: 15  Time: 8  Solar radiation: 683
Year: 1968  Month: 6  Day: 16  Time: 8  Solar radiation: 612
Year: 1968  Month: 6  Day: 26  Time: 7  Solar radiation: 590
Year: 1968  Month: 6  Day: 26  Time: 8  Solar radiation: 656
Year: 1968  Month: 6  Day: 29  Time: 8  Solar radiation: 584
Year: 1971  Month: 7  Day: 3  Time: 8  Solar radiation: 716
Year: 1971  Month: 7  Day: 4  Time: 8  Solar radiation: 572
Year: 1971  Month: 7  Day: 6  Time: 8  Solar radiation: 713
Year: 1971  Month: 7  Day: 7  Time: 8  Solar radiation: 646
Year: 1971  Month: 7  Day: 8  Time: 8  Solar radiation: 674
Year: 1971  Month: 7  Day: 9  Time: 8  Solar radiation: 617
Year: 1971  Month: 7  Day: 13  Time: 7  Solar radiation: 589
Year: 1971  Month: 7  Day: 13  Time: 8  Solar radiation: 738
Year: 1971  Month: 7  Day: 14  Time: 7  Solar radiation: 597
Year: 1971  Month: 7  Day: 14  Time: 8  Solar radiation: 734
Year: 1971  Month: 7  Day: 16  Time: 8  Solar radiation: 712
Year: 1971  Month: 7  Day: 25  Time: 8  Solar radiation: 737
Year: 1971  Month: 7  Day: 27  Time: 8  Solar radiation: 563
Year: 1985  Month: 8  Day: 4  Time: 8  Solar radiation: 685
Year: 1985  Month: 8  Day: 5  Time: 8  Solar radiation: 594
Year: 1985  Month: 8  Day: 13  Time: 8  Solar radiation: 638
Year: 1985  Month: 8  Day: 23  Time: 8  Solar radiation: 573
Year: 1985  Month: 8  Day: 24  Time: 8  Solar radiation: 594
Year: 1987  Month: 9  Day: 2  Time: 8  Solar radiation: 630
Year: 1987  Month: 9  Day: 9  Time: 8  Solar radiation: 666
Year: 1987  Month: 9  Day: 14  Time: 8  Solar radiation: 594
Year: 1987  Month: 9  Day: 16  Time: 8  Solar radiation: 599
Year: 1987  Month: 9  Day: 24  Time: 8  Solar radiation: 597
Year: 1987  Month: 9  Day: 26  Time: 8  Solar radiation: 636
Year: 1969  Month: 10  Day: 18  Time: 8  Solar radiation: 633
Year: 1969  Month: 10  Day: 26  Time: 8  Solar radiation: 575
Year: 1969  Month: 10  Day: 30  Time: 8  Solar radiation: 608
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
Year: 1976  Month: 5  Day: 19  Time: 8  Solar radiation: 251
