                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:14.23	16.39	16.4	7.5	9.0	15.83	16.18	16.83	16.57	16.2	15.88	15.5	
Time:13	13	13	10	11	12	12	13	12	12	12	12	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-0.09	1.33	1.51	-1.0	-2.0	0.17	1.83	2.18	2.22	1.94	1.89	1.84	
Time: 	8	8	9	14	11	7	8	8	9	8	8	8	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2673
===============
No. of wrong lines: 294
==================
Wrong Direct Normal Radiation:
=================================
Year: 1997  Month: 2  Day: 26  Time: 8  Solar radiation: 610
Year: 2002  Month: 3  Day: 2  Time: 8  Solar radiation: 588
Year: 2002  Month: 3  Day: 3  Time: 8  Solar radiation: 560
Year: 2002  Month: 3  Day: 6  Time: 8  Solar radiation: 603
Year: 2002  Month: 3  Day: 11  Time: 8  Solar radiation: 693
Year: 2002  Month: 3  Day: 12  Time: 8  Solar radiation: 626
Year: 2002  Month: 3  Day: 14  Time: 8  Solar radiation: 619
Year: 2002  Month: 3  Day: 15  Time: 8  Solar radiation: 685
Year: 2002  Month: 3  Day: 17  Time: 8  Solar radiation: 613
Year: 2002  Month: 3  Day: 18  Time: 8  Solar radiation: 701
Year: 2002  Month: 3  Day: 19  Time: 8  Solar radiation: 568
Year: 2002  Month: 3  Day: 20  Time: 8  Solar radiation: 694
Year: 2002  Month: 3  Day: 23  Time: 8  Solar radiation: 660
Year: 2002  Month: 3  Day: 25  Time: 8  Solar radiation: 685
Year: 2002  Month: 3  Day: 26  Time: 8  Solar radiation: 714
Year: 2002  Month: 3  Day: 27  Time: 8  Solar radiation: 644
Year: 2002  Month: 3  Day: 29  Time: 8  Solar radiation: 685
Year: 2002  Month: 3  Day: 30  Time: 8  Solar radiation: 669
Year: 2002  Month: 3  Day: 31  Time: 8  Solar radiation: 676
Year: 2004  Month: 4  Day: 5  Time: 8  Solar radiation: 720
Year: 2004  Month: 4  Day: 6  Time: 8  Solar radiation: 621
Year: 2004  Month: 4  Day: 7  Time: 8  Solar radiation: 655
Year: 2004  Month: 4  Day: 8  Time: 8  Solar radiation: 650
Year: 2004  Month: 4  Day: 9  Time: 8  Solar radiation: 662
Year: 2004  Month: 4  Day: 10  Time: 8  Solar radiation: 674
Year: 2004  Month: 4  Day: 11  Time: 8  Solar radiation: 748
Year: 2004  Month: 4  Day: 13  Time: 7  Solar radiation: 551
Year: 2004  Month: 4  Day: 13  Time: 8  Solar radiation: 772
Year: 2004  Month: 4  Day: 14  Time: 8  Solar radiation: 711
Year: 2004  Month: 4  Day: 15  Time: 8  Solar radiation: 740
Year: 2004  Month: 4  Day: 19  Time: 8  Solar radiation: 759
Year: 2004  Month: 4  Day: 20  Time: 7  Solar radiation: 576
Year: 2004  Month: 4  Day: 20  Time: 8  Solar radiation: 749
Year: 2004  Month: 4  Day: 23  Time: 7  Solar radiation: 560
Year: 2004  Month: 4  Day: 23  Time: 8  Solar radiation: 750
Year: 2004  Month: 4  Day: 24  Time: 7  Solar radiation: 614
Year: 2004  Month: 4  Day: 24  Time: 8  Solar radiation: 768
Year: 2004  Month: 4  Day: 25  Time: 7  Solar radiation: 558
Year: 2004  Month: 4  Day: 25  Time: 8  Solar radiation: 677
Year: 2004  Month: 4  Day: 26  Time: 7  Solar radiation: 617
Year: 2004  Month: 4  Day: 26  Time: 8  Solar radiation: 701
Year: 2004  Month: 4  Day: 27  Time: 8  Solar radiation: 638
Year: 2004  Month: 4  Day: 28  Time: 8  Solar radiation: 736
Year: 2004  Month: 4  Day: 29  Time: 7  Solar radiation: 653
Year: 2004  Month: 4  Day: 29  Time: 8  Solar radiation: 753
Year: 2004  Month: 4  Day: 30  Time: 7  Solar radiation: 596
Year: 2004  Month: 4  Day: 30  Time: 8  Solar radiation: 719
Year: 2000  Month: 5  Day: 1  Time: 7  Solar radiation: 586
Year: 2000  Month: 5  Day: 1  Time: 8  Solar radiation: 674
Year: 2000  Month: 5  Day: 2  Time: 8  Solar radiation: 760
Year: 2000  Month: 5  Day: 3  Time: 7  Solar radiation: 599
Year: 2000  Month: 5  Day: 3  Time: 8  Solar radiation: 703
Year: 2000  Month: 5  Day: 4  Time: 7  Solar radiation: 557
Year: 2000  Month: 5  Day: 4  Time: 8  Solar radiation: 749
Year: 2000  Month: 5  Day: 6  Time: 8  Solar radiation: 681
Year: 2000  Month: 5  Day: 7  Time: 8  Solar radiation: 756
Year: 2000  Month: 5  Day: 8  Time: 7  Solar radiation: 642
Year: 2000  Month: 5  Day: 8  Time: 8  Solar radiation: 751
Year: 2000  Month: 5  Day: 9  Time: 7  Solar radiation: 578
Year: 2000  Month: 5  Day: 9  Time: 8  Solar radiation: 722
Year: 2000  Month: 5  Day: 11  Time: 8  Solar radiation: 740
Year: 2000  Month: 5  Day: 12  Time: 7  Solar radiation: 639
Year: 2000  Month: 5  Day: 12  Time: 8  Solar radiation: 689
Year: 2000  Month: 5  Day: 13  Time: 8  Solar radiation: 775
Year: 2000  Month: 5  Day: 15  Time: 8  Solar radiation: 603
Year: 2000  Month: 5  Day: 16  Time: 7  Solar radiation: 609
Year: 2000  Month: 5  Day: 16  Time: 8  Solar radiation: 661
Year: 2000  Month: 5  Day: 17  Time: 8  Solar radiation: 638
Year: 2000  Month: 5  Day: 18  Time: 7  Solar radiation: 654
Year: 2000  Month: 5  Day: 18  Time: 8  Solar radiation: 736
Year: 2000  Month: 5  Day: 19  Time: 8  Solar radiation: 678
Year: 2000  Month: 5  Day: 20  Time: 7  Solar radiation: 611
Year: 2000  Month: 5  Day: 20  Time: 8  Solar radiation: 765
Year: 2000  Month: 5  Day: 21  Time: 7  Solar radiation: 601
Year: 2000  Month: 5  Day: 21  Time: 8  Solar radiation: 799
Year: 2000  Month: 5  Day: 22  Time: 7  Solar radiation: 634
Year: 2000  Month: 5  Day: 22  Time: 8  Solar radiation: 759
Year: 2000  Month: 5  Day: 23  Time: 7  Solar radiation: 569
Year: 2000  Month: 5  Day: 23  Time: 8  Solar radiation: 685
Year: 2000  Month: 5  Day: 24  Time: 8  Solar radiation: 691
Year: 2000  Month: 5  Day: 26  Time: 7  Solar radiation: 647
Year: 2000  Month: 5  Day: 26  Time: 8  Solar radiation: 743
Year: 2000  Month: 5  Day: 27  Time: 7  Solar radiation: 647
Year: 2000  Month: 5  Day: 27  Time: 8  Solar radiation: 720
Year: 2000  Month: 5  Day: 28  Time: 8  Solar radiation: 679
Year: 2000  Month: 5  Day: 29  Time: 7  Solar radiation: 664
Year: 2000  Month: 5  Day: 29  Time: 8  Solar radiation: 777
Year: 2000  Month: 5  Day: 30  Time: 7  Solar radiation: 582
Year: 2000  Month: 5  Day: 30  Time: 8  Solar radiation: 657
Year: 2000  Month: 5  Day: 31  Time: 7  Solar radiation: 675
Year: 2000  Month: 5  Day: 31  Time: 8  Solar radiation: 801
Year: 2003  Month: 6  Day: 1  Time: 7  Solar radiation: 675
Year: 2003  Month: 6  Day: 1  Time: 8  Solar radiation: 789
Year: 2003  Month: 6  Day: 2  Time: 7  Solar radiation: 637
Year: 2003  Month: 6  Day: 2  Time: 8  Solar radiation: 789
Year: 2003  Month: 6  Day: 3  Time: 7  Solar radiation: 681
Year: 2003  Month: 6  Day: 3  Time: 8  Solar radiation: 737
Year: 2003  Month: 6  Day: 4  Time: 7  Solar radiation: 621
Year: 2003  Month: 6  Day: 4  Time: 8  Solar radiation: 743
Year: 2003  Month: 6  Day: 5  Time: 8  Solar radiation: 726
Year: 2003  Month: 6  Day: 6  Time: 8  Solar radiation: 645
Year: 2003  Month: 6  Day: 7  Time: 7  Solar radiation: 665
Year: 2003  Month: 6  Day: 7  Time: 8  Solar radiation: 732
Year: 2003  Month: 6  Day: 8  Time: 7  Solar radiation: 676
Year: 2003  Month: 6  Day: 8  Time: 8  Solar radiation: 714
