                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:3.35	7.33	7.64	8.37	9.18	9.92	10.13	10.58	10.9	11.29	11.23	11.42	
Time:12	13	13	13	13	13	13	13	13	13	13	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-2.72	0.55	0.48	1.56	1.55	1.51	1.54	1.65	1.48	1.66	1.62	1.59	
Time: 	10	8	8	8	9	9	8	8	8	8	8	8	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2694
===============
No. of wrong lines: 150
==================
Wrong Direct Normal Radiation:
=================================
Year: 1987  Month: 2  Day: 26  Time: 8  Solar radiation: 557
Year: 2000  Month: 3  Day: 10  Time: 8  Solar radiation: 565
Year: 2000  Month: 3  Day: 13  Time: 8  Solar radiation: 585
Year: 2000  Month: 3  Day: 20  Time: 8  Solar radiation: 657
Year: 2000  Month: 3  Day: 21  Time: 8  Solar radiation: 600
Year: 2000  Month: 3  Day: 23  Time: 8  Solar radiation: 663
Year: 2000  Month: 3  Day: 26  Time: 8  Solar radiation: 675
Year: 2000  Month: 3  Day: 28  Time: 8  Solar radiation: 585
Year: 2000  Month: 3  Day: 30  Time: 8  Solar radiation: 555
Year: 2000  Month: 3  Day: 31  Time: 8  Solar radiation: 711
Year: 2005  Month: 4  Day: 4  Time: 8  Solar radiation: 728
Year: 2005  Month: 4  Day: 10  Time: 8  Solar radiation: 684
Year: 2005  Month: 4  Day: 12  Time: 8  Solar radiation: 568
Year: 2005  Month: 4  Day: 17  Time: 8  Solar radiation: 747
Year: 2005  Month: 4  Day: 18  Time: 8  Solar radiation: 771
Year: 2005  Month: 4  Day: 20  Time: 7  Solar radiation: 606
Year: 2005  Month: 4  Day: 20  Time: 8  Solar radiation: 608
Year: 2005  Month: 4  Day: 22  Time: 8  Solar radiation: 706
Year: 2005  Month: 4  Day: 26  Time: 7  Solar radiation: 628
Year: 2005  Month: 4  Day: 26  Time: 8  Solar radiation: 742
Year: 2005  Month: 4  Day: 27  Time: 8  Solar radiation: 606
Year: 2005  Month: 4  Day: 28  Time: 7  Solar radiation: 653
Year: 2005  Month: 4  Day: 28  Time: 8  Solar radiation: 686
Year: 2005  Month: 4  Day: 30  Time: 8  Solar radiation: 653
Year: 1988  Month: 5  Day: 2  Time: 8  Solar radiation: 566
Year: 1988  Month: 5  Day: 3  Time: 8  Solar radiation: 571
Year: 1988  Month: 5  Day: 7  Time: 7  Solar radiation: 737
Year: 1988  Month: 5  Day: 7  Time: 8  Solar radiation: 827
Year: 1988  Month: 5  Day: 9  Time: 8  Solar radiation: 649
Year: 1988  Month: 5  Day: 10  Time: 8  Solar radiation: 694
Year: 1988  Month: 5  Day: 12  Time: 8  Solar radiation: 598
Year: 1988  Month: 5  Day: 13  Time: 8  Solar radiation: 622
