                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-0.32	2.03	7.22	9.84	7.03	9.34	14.12	16.86	16.48	16.88	16.74	16.54	
Time:12	12	12	12	11	13	12	13	13	13	13	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-10.24	-7.77	-2.27	-1.29	-2.48	0.34	3.57	6.12	5.9	6.16	5.72	5.63	
Time: 	8	12	10	8	11	9	8	8	8	8	9	9	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2474
===============
No. of wrong lines: 81
==================
Wrong Direct Normal Radiation:
=================================
Year: 1988  Month: 3  Day: 10  Time: 8  Solar radiation: 610
Year: 2002  Month: 4  Day: 6  Time: 8  Solar radiation: 577
Year: 2002  Month: 4  Day: 10  Time: 8  Solar radiation: 568
Year: 2002  Month: 4  Day: 15  Time: 8  Solar radiation: 609
Year: 2002  Month: 4  Day: 18  Time: 8  Solar radiation: 582
Year: 2002  Month: 4  Day: 23  Time: 8  Solar radiation: 686
Year: 2002  Month: 4  Day: 24  Time: 8  Solar radiation: 592
Year: 2002  Month: 4  Day: 25  Time: 8  Solar radiation: 610
Year: 2002  Month: 4  Day: 26  Time: 8  Solar radiation: 659
Year: 2002  Month: 4  Day: 29  Time: 8  Solar radiation: 602
Year: 1980  Month: 5  Day: 3  Time: 7  Solar radiation: 633
Year: 1980  Month: 5  Day: 3  Time: 8  Solar radiation: 780
Year: 1980  Month: 5  Day: 4  Time: 7  Solar radiation: 672
Year: 1980  Month: 5  Day: 4  Time: 8  Solar radiation: 809
Year: 1980  Month: 5  Day: 5  Time: 8  Solar radiation: 709
Year: 1980  Month: 5  Day: 6  Time: 8  Solar radiation: 659
Year: 1980  Month: 5  Day: 8  Time: 8  Solar radiation: 590
Year: 1980  Month: 5  Day: 9  Time: 7  Solar radiation: 598
Year: 1980  Month: 5  Day: 9  Time: 8  Solar radiation: 754
Year: 1980  Month: 5  Day: 14  Time: 8  Solar radiation: 624
Year: 1980  Month: 5  Day: 15  Time: 8  Solar radiation: 649
Year: 1980  Month: 5  Day: 22  Time: 7  Solar radiation: 608
Year: 1980  Month: 5  Day: 22  Time: 8  Solar radiation: 734
Year: 1980  Month: 5  Day: 25  Time: 8  Solar radiation: 753
Year: 1980  Month: 5  Day: 27  Time: 8  Solar radiation: 584
Year: 1980  Month: 5  Day: 29  Time: 8  Solar radiation: 694
Year: 1980  Month: 5  Day: 31  Time: 8  Solar radiation: 697
Year: 1989  Month: 6  Day: 2  Time: 7  Solar radiation: 639
Year: 1989  Month: 6  Day: 2  Time: 8  Solar radiation: 764
Year: 1989  Month: 6  Day: 4  Time: 8  Solar radiation: 648
Year: 1989  Month: 6  Day: 7  Time: 7  Solar radiation: 600
Year: 1989  Month: 6  Day: 7  Time: 8  Solar radiation: 730
