                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-1.55	3.99	9.21	9.82	7.19	7.66	8.14	10.31	11.83	13.02	13.59	14.25	
Time:12	14	13	13	14	14	14	15	15	15	15	15	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-10.36	-6.72	-1.64	-1.73	-1.55	-1.65	-1.86	-1.21	-0.76	-0.09	0.77	1.72	
Time: 	10	9	8	8	11	11	10	10	10	9	9	10	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2666
===============
No. of wrong lines: 106
==================
Wrong Direct Normal Radiation:
=================================
Year: 1987  Month: 3  Day: 30  Time: 8  Solar radiation: 637
Year: 1980  Month: 4  Day: 11  Time: 8  Solar radiation: 690
Year: 1980  Month: 4  Day: 12  Time: 8  Solar radiation: 692
Year: 1980  Month: 4  Day: 13  Time: 8  Solar radiation: 757
Year: 1980  Month: 4  Day: 17  Time: 8  Solar radiation: 676
Year: 1980  Month: 4  Day: 19  Time: 8  Solar radiation: 732
Year: 1980  Month: 4  Day: 20  Time: 8  Solar radiation: 727
Year: 1980  Month: 4  Day: 21  Time: 8  Solar radiation: 582
Year: 1980  Month: 4  Day: 26  Time: 8  Solar radiation: 650
Year: 1980  Month: 4  Day: 27  Time: 8  Solar radiation: 683
Year: 1980  Month: 4  Day: 28  Time: 8  Solar radiation: 703
Year: 1988  Month: 5  Day: 9  Time: 8  Solar radiation: 700
Year: 1988  Month: 5  Day: 10  Time: 8  Solar radiation: 850
Year: 1988  Month: 5  Day: 11  Time: 8  Solar radiation: 785
Year: 1988  Month: 5  Day: 12  Time: 8  Solar radiation: 660
Year: 1988  Month: 5  Day: 13  Time: 7  Solar radiation: 590
Year: 1988  Month: 5  Day: 13  Time: 8  Solar radiation: 715
Year: 1988  Month: 5  Day: 15  Time: 8  Solar radiation: 803
Year: 1988  Month: 5  Day: 16  Time: 7  Solar radiation: 697
Year: 1988  Month: 5  Day: 16  Time: 8  Solar radiation: 817
Year: 1988  Month: 5  Day: 19  Time: 8  Solar radiation: 599
Year: 1988  Month: 5  Day: 20  Time: 8  Solar radiation: 774
Year: 1988  Month: 5  Day: 21  Time: 8  Solar radiation: 791
Year: 1988  Month: 5  Day: 22  Time: 7  Solar radiation: 682
Year: 1988  Month: 5  Day: 22  Time: 8  Solar radiation: 814
Year: 1988  Month: 5  Day: 25  Time: 8  Solar radiation: 624
Year: 1989  Month: 6  Day: 1  Time: 7  Solar radiation: 617
