                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:10.67	10.84	15.64	15.4	16.1	16.43	16.89	18.03	18.43	19.49	20.84	20.77	
Time:13	14	14	14	8	13	13	14	14	14	13	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-3.29	-2.2	4.37	3.85	12.7	5.59	5.2	5.08	5.13	5.33	7.25	7.17	
Time: 	11	10	8	9	1	10	10	9	9	9	10	10	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2485
===============
No. of wrong lines: 42
==================
Wrong Direct Normal Radiation:
=================================
Year: 1995  Month: 3  Day: 27  Time: 8  Solar radiation: 574
Year: 2003  Month: 4  Day: 1  Time: 8  Solar radiation: 610
Year: 2003  Month: 4  Day: 9  Time: 8  Solar radiation: 607
Year: 2003  Month: 4  Day: 10  Time: 8  Solar radiation: 599
Year: 2003  Month: 4  Day: 11  Time: 8  Solar radiation: 558
Year: 2003  Month: 4  Day: 12  Time: 8  Solar radiation: 569
Year: 2003  Month: 4  Day: 13  Time: 8  Solar radiation: 627
Year: 2003  Month: 4  Day: 20  Time: 8  Solar radiation: 702
Year: 2003  Month: 4  Day: 21  Time: 8  Solar radiation: 630
Year: 2003  Month: 4  Day: 22  Time: 8  Solar radiation: 649
Year: 2003  Month: 4  Day: 26  Time: 8  Solar radiation: 556
Year: 2003  Month: 4  Day: 29  Time: 8  Solar radiation: 713
Year: 2005  Month: 5  Day: 3  Time: 8  Solar radiation: 634
Year: 2005  Month: 5  Day: 16  Time: 8  Solar radiation: 572
Year: 2005  Month: 5  Day: 20  Time: 8  Solar radiation: 577
Year: 2005  Month: 5  Day: 21  Time: 8  Solar radiation: 602
Year: 2005  Month: 5  Day: 28  Time: 8  Solar radiation: 620
Year: 2001  Month: 6  Day: 1  Time: 8  Solar radiation: 613
Year: 2001  Month: 6  Day: 9  Time: 8  Solar radiation: 556
Year: 2001  Month: 6  Day: 10  Time: 8  Solar radiation: 594
Year: 2001  Month: 6  Day: 11  Time: 8  Solar radiation: 638
Year: 2001  Month: 6  Day: 12  Time: 8  Solar radiation: 556
Year: 2001  Month: 6  Day: 15  Time: 8  Solar radiation: 563
Year: 2001  Month: 6  Day: 16  Time: 8  Solar radiation: 607
Year: 2001  Month: 6  Day: 17  Time: 8  Solar radiation: 663
Year: 2001  Month: 6  Day: 18  Time: 8  Solar radiation: 569
Year: 2001  Month: 6  Day: 19  Time: 8  Solar radiation: 569
Year: 2001  Month: 6  Day: 22  Time: 8  Solar radiation: 626
Year: 2001  Month: 6  Day: 23  Time: 8  Solar radiation: 588
Year: 2001  Month: 6  Day: 24  Time: 8  Solar radiation: 607
Year: 1996  Month: 7  Day: 5  Time: 8  Solar radiation: 709
Year: 1996  Month: 7  Day: 20  Time: 8  Solar radiation: 727
Year: 1996  Month: 7  Day: 21  Time: 8  Solar radiation: 686
Year: 2000  Month: 8  Day: 8  Time: 8  Solar radiation: 575
Year: 2000  Month: 8  Day: 11  Time: 8  Solar radiation: 564
Year: 2000  Month: 8  Day: 12  Time: 8  Solar radiation: 577
Year: 1998  Month: 9  Day: 3  Time: 8  Solar radiation: 637
Year: 1998  Month: 9  Day: 4  Time: 8  Solar radiation: 651
Year: 1998  Month: 9  Day: 11  Time: 8  Solar radiation: 698
Year: 1998  Month: 9  Day: 18  Time: 8  Solar radiation: 566
Year: 2002  Month: 10  Day: 5  Time: 8  Solar radiation: 730
Year: 2002  Month: 10  Day: 17  Time: 8  Solar radiation: 695
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
