                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:1.29	4.21	4.39	6.4	7.29	7.93	7.87	7.9	8.0	8.26	9.63	9.88	
Time:12	12	12	13	13	14	14	14	14	14	13	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-3.64	-1.44	-1.79	0.7	-0.13	0.11	0.03	-0.03	-0.03	-0.03	0.79	0.79	
Time: 	10	8	8	5	7	7	7	7	7	7	6	6	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2415
===============
No. of wrong lines: 176
==================
Wrong Direct Normal Radiation:
=================================
Year: 2003  Month: 2  Day: 25  Time: 8  Solar radiation: 551
Year: 2000  Month: 3  Day: 10  Time: 8  Solar radiation: 637
Year: 2000  Month: 3  Day: 24  Time: 8  Solar radiation: 732
Year: 2000  Month: 3  Day: 27  Time: 8  Solar radiation: 727
Year: 2000  Month: 3  Day: 30  Time: 8  Solar radiation: 754
Year: 2000  Month: 3  Day: 31  Time: 7  Solar radiation: 560
Year: 2000  Month: 3  Day: 31  Time: 8  Solar radiation: 761
Year: 1998  Month: 4  Day: 8  Time: 7  Solar radiation: 581
Year: 1998  Month: 4  Day: 8  Time: 8  Solar radiation: 793
Year: 1998  Month: 4  Day: 18  Time: 8  Solar radiation: 558
Year: 1998  Month: 4  Day: 20  Time: 7  Solar radiation: 664
Year: 1998  Month: 4  Day: 20  Time: 8  Solar radiation: 793
Year: 1998  Month: 4  Day: 23  Time: 7  Solar radiation: 675
Year: 1998  Month: 4  Day: 23  Time: 8  Solar radiation: 795
Year: 1998  Month: 4  Day: 25  Time: 7  Solar radiation: 678
Year: 1998  Month: 4  Day: 25  Time: 8  Solar radiation: 790
Year: 1998  Month: 4  Day: 26  Time: 7  Solar radiation: 636
Year: 1998  Month: 4  Day: 27  Time: 8  Solar radiation: 637
Year: 1998  Month: 4  Day: 28  Time: 7  Solar radiation: 600
Year: 1998  Month: 4  Day: 28  Time: 8  Solar radiation: 740
Year: 1998  Month: 4  Day: 29  Time: 7  Solar radiation: 662
Year: 1998  Month: 4  Day: 29  Time: 8  Solar radiation: 758
Year: 1998  Month: 4  Day: 30  Time: 7  Solar radiation: 624
Year: 1998  Month: 4  Day: 30  Time: 8  Solar radiation: 759
Year: 2000  Month: 5  Day: 1  Time: 8  Solar radiation: 759
Year: 2000  Month: 5  Day: 2  Time: 8  Solar radiation: 558
Year: 2000  Month: 5  Day: 6  Time: 7  Solar radiation: 703
Year: 2000  Month: 5  Day: 6  Time: 8  Solar radiation: 825
Year: 2000  Month: 5  Day: 7  Time: 7  Solar radiation: 637
Year: 2000  Month: 5  Day: 7  Time: 8  Solar radiation: 692
Year: 2000  Month: 5  Day: 12  Time: 7  Solar radiation: 630
Year: 2000  Month: 5  Day: 12  Time: 8  Solar radiation: 740
Year: 2000  Month: 5  Day: 13  Time: 8  Solar radiation: 688
Year: 2000  Month: 5  Day: 15  Time: 7  Solar radiation: 570
Year: 2000  Month: 5  Day: 15  Time: 8  Solar radiation: 758
Year: 2000  Month: 5  Day: 16  Time: 7  Solar radiation: 649
Year: 2000  Month: 5  Day: 16  Time: 8  Solar radiation: 770
Year: 2000  Month: 5  Day: 18  Time: 7  Solar radiation: 711
Year: 2000  Month: 5  Day: 18  Time: 8  Solar radiation: 799
Year: 2000  Month: 5  Day: 22  Time: 8  Solar radiation: 597
Year: 2000  Month: 5  Day: 24  Time: 6  Solar radiation: 551
Year: 2000  Month: 5  Day: 24  Time: 7  Solar radiation: 691
Year: 2000  Month: 5  Day: 24  Time: 8  Solar radiation: 806
Year: 2000  Month: 5  Day: 28  Time: 6  Solar radiation: 560
Year: 2000  Month: 5  Day: 28  Time: 7  Solar radiation: 558
Year: 2000  Month: 5  Day: 29  Time: 6  Solar radiation: 556
Year: 2000  Month: 5  Day: 29  Time: 7  Solar radiation: 654
Year: 2000  Month: 5  Day: 30  Time: 6  Solar radiation: 577
Year: 2000  Month: 5  Day: 30  Time: 7  Solar radiation: 597
Year: 2000  Month: 5  Day: 30  Time: 8  Solar radiation: 726
Year: 2000  Month: 6  Day: 1  Time: 7  Solar radiation: 609
Year: 2000  Month: 6  Day: 1  Time: 8  Solar radiation: 569
Year: 2000  Month: 6  Day: 3  Time: 6  Solar radiation: 569
Year: 2000  Month: 6  Day: 3  Time: 7  Solar radiation: 717
Year: 2000  Month: 6  Day: 3  Time: 8  Solar radiation: 796
Year: 2000  Month: 6  Day: 4  Time: 6  Solar radiation: 565
Year: 2000  Month: 6  Day: 4  Time: 7  Solar radiation: 717
Year: 2000  Month: 6  Day: 4  Time: 8  Solar radiation: 796
Year: 2000  Month: 6  Day: 7  Time: 8  Solar radiation: 732
Year: 2000  Month: 6  Day: 9  Time: 8  Solar radiation: 726
Year: 2000  Month: 6  Day: 13  Time: 7  Solar radiation: 604
Year: 2000  Month: 6  Day: 13  Time: 8  Solar radiation: 575
Year: 2000  Month: 6  Day: 15  Time: 7  Solar radiation: 712
Year: 2000  Month: 6  Day: 15  Time: 8  Solar radiation: 808
Year: 2000  Month: 6  Day: 16  Time: 7  Solar radiation: 689
Year: 2000  Month: 6  Day: 16  Time: 8  Solar radiation: 790
Year: 2000  Month: 6  Day: 17  Time: 7  Solar radiation: 559
Year: 2000  Month: 6  Day: 17  Time: 8  Solar radiation: 703
Year: 2000  Month: 6  Day: 20  Time: 7  Solar radiation: 706
Year: 2000  Month: 6  Day: 20  Time: 8  Solar radiation: 796
Year: 2000  Month: 6  Day: 21  Time: 7  Solar radiation: 672
Year: 2000  Month: 6  Day: 21  Time: 8  Solar radiation: 778
Year: 2000  Month: 6  Day: 22  Time: 7  Solar radiation: 700
Year: 2000  Month: 6  Day: 22  Time: 8  Solar radiation: 778
Year: 2000  Month: 6  Day: 25  Time: 7  Solar radiation: 683
Year: 2000  Month: 6  Day: 25  Time: 8  Solar radiation: 790
Year: 2000  Month: 6  Day: 26  Time: 7  Solar radiation: 603
Year: 2000  Month: 6  Day: 26  Time: 8  Solar radiation: 639
Year: 2000  Month: 6  Day: 27  Time: 7  Solar radiation: 660
Year: 2000  Month: 6  Day: 27  Time: 8  Solar radiation: 726
Year: 2000  Month: 6  Day: 28  Time: 7  Solar radiation: 614
Year: 2000  Month: 6  Day: 28  Time: 8  Solar radiation: 714
Year: 2000  Month: 6  Day: 29  Time: 8  Solar radiation: 586
Year: 2000  Month: 6  Day: 30  Time: 7  Solar radiation: 586
Year: 2000  Month: 6  Day: 30  Time: 8  Solar radiation: 673
Year: 2005  Month: 7  Day: 1  Time: 7  Solar radiation: 676
Year: 2005  Month: 7  Day: 1  Time: 8  Solar radiation: 824
Year: 2005  Month: 7  Day: 2  Time: 8  Solar radiation: 783
Year: 2005  Month: 7  Day: 3  Time: 6  Solar radiation: 565
Year: 2005  Month: 7  Day: 3  Time: 7  Solar radiation: 608
Year: 2005  Month: 7  Day: 3  Time: 8  Solar radiation: 725
Year: 2005  Month: 7  Day: 4  Time: 7  Solar radiation: 726
Year: 2005  Month: 7  Day: 4  Time: 8  Solar radiation: 766
Year: 2005  Month: 7  Day: 5  Time: 7  Solar radiation: 703
Year: 2005  Month: 7  Day: 5  Time: 8  Solar radiation: 818
Year: 2005  Month: 7  Day: 6  Time: 8  Solar radiation: 655
Year: 2005  Month: 7  Day: 7  Time: 8  Solar radiation: 701
Year: 2005  Month: 7  Day: 8  Time: 7  Solar radiation: 696
Year: 2005  Month: 7  Day: 8  Time: 8  Solar radiation: 817
Year: 2005  Month: 7  Day: 11  Time: 8  Solar radiation: 631
Year: 2005  Month: 7  Day: 12  Time: 8  Solar radiation: 591
Year: 2005  Month: 7  Day: 13  Time: 7  Solar radiation: 577
Year: 2005  Month: 7  Day: 13  Time: 8  Solar radiation: 776
Year: 2005  Month: 7  Day: 14  Time: 7  Solar radiation: 660
Year: 2005  Month: 7  Day: 14  Time: 8  Solar radiation: 764
Year: 2005  Month: 7  Day: 15  Time: 7  Solar radiation: 716
Year: 2005  Month: 7  Day: 15  Time: 8  Solar radiation: 810
Year: 2005  Month: 7  Day: 17  Time: 7  Solar radiation: 675
Year: 2005  Month: 7  Day: 17  Time: 8  Solar radiation: 734
Year: 2005  Month: 7  Day: 18  Time: 7  Solar radiation: 558
Year: 2005  Month: 7  Day: 18  Time: 8  Solar radiation: 728
Year: 2005  Month: 7  Day: 19  Time: 7  Solar radiation: 641
Year: 2005  Month: 7  Day: 19  Time: 8  Solar radiation: 734
Year: 2005  Month: 7  Day: 20  Time: 7  Solar radiation: 646
Year: 2005  Month: 7  Day: 20  Time: 8  Solar radiation: 774
Year: 2005  Month: 7  Day: 21  Time: 7  Solar radiation: 584
Year: 2005  Month: 7  Day: 21  Time: 8  Solar radiation: 751
Year: 2005  Month: 7  Day: 23  Time: 8  Solar radiation: 658
Year: 2005  Month: 7  Day: 24  Time: 8  Solar radiation: 652
Year: 2005  Month: 7  Day: 25  Time: 8  Solar radiation: 669
Year: 2005  Month: 7  Day: 26  Time: 7  Solar radiation: 698
Year: 2005  Month: 7  Day: 26  Time: 8  Solar radiation: 802
Year: 2005  Month: 7  Day: 27  Time: 8  Solar radiation: 732
Year: 2005  Month: 7  Day: 28  Time: 8  Solar radiation: 697
Year: 2005  Month: 7  Day: 30  Time: 7  Solar radiation: 552
Year: 2005  Month: 7  Day: 30  Time: 8  Solar radiation: 725
Year: 2005  Month: 7  Day: 31  Time: 8  Solar radiation: 599
Year: 2001  Month: 8  Day: 2  Time: 7  Solar radiation: 594
Year: 2001  Month: 8  Day: 2  Time: 8  Solar radiation: 805
Year: 2001  Month: 8  Day: 3  Time: 8  Solar radiation: 730
Year: 2001  Month: 8  Day: 5  Time: 7  Solar radiation: 613
Year: 2001  Month: 8  Day: 6  Time: 7  Solar radiation: 684
Year: 2001  Month: 8  Day: 6  Time: 8  Solar radiation: 741
Year: 2001  Month: 8  Day: 7  Time: 7  Solar radiation: 666
Year: 2001  Month: 8  Day: 8  Time: 7  Solar radiation: 682
Year: 2001  Month: 8  Day: 8  Time: 8  Solar radiation: 763
Year: 2001  Month: 8  Day: 9  Time: 8  Solar radiation: 591
Year: 2001  Month: 8  Day: 14  Time: 8  Solar radiation: 572
Year: 2001  Month: 8  Day: 16  Time: 8  Solar radiation: 697
Year: 2001  Month: 8  Day: 17  Time: 8  Solar radiation: 691
Year: 2001  Month: 8  Day: 19  Time: 8  Solar radiation: 781
Year: 2001  Month: 8  Day: 20  Time: 8  Solar radiation: 638
Year: 2001  Month: 8  Day: 25  Time: 8  Solar radiation: 625
Year: 2001  Month: 8  Day: 27  Time: 7  Solar radiation: 562
Year: 2001  Month: 8  Day: 27  Time: 8  Solar radiation: 771
Year: 2001  Month: 8  Day: 29  Time: 8  Solar radiation: 736
Year: 1995  Month: 9  Day: 1  Time: 7  Solar radiation: 673
Year: 1995  Month: 9  Day: 1  Time: 8  Solar radiation: 816
Year: 1995  Month: 9  Day: 6  Time: 8  Solar radiation: 713
Year: 1995  Month: 9  Day: 9  Time: 7  Solar radiation: 572
Year: 1995  Month: 9  Day: 9  Time: 8  Solar radiation: 573
Year: 1995  Month: 9  Day: 10  Time: 8  Solar radiation: 752
Year: 1995  Month: 9  Day: 11  Time: 7  Solar radiation: 615
Year: 1995  Month: 9  Day: 11  Time: 8  Solar radiation: 789
Year: 1995  Month: 9  Day: 12  Time: 8  Solar radiation: 717
Year: 1995  Month: 9  Day: 13  Time: 8  Solar radiation: 741
Year: 1995  Month: 9  Day: 15  Time: 7  Solar radiation: 560
Year: 1995  Month: 9  Day: 15  Time: 8  Solar radiation: 756
Year: 1995  Month: 9  Day: 16  Time: 8  Solar radiation: 694
Year: 1995  Month: 9  Day: 17  Time: 8  Solar radiation: 719
Year: 1995  Month: 9  Day: 18  Time: 8  Solar radiation: 650
Year: 1995  Month: 9  Day: 20  Time: 8  Solar radiation: 609
Year: 1995  Month: 9  Day: 21  Time: 8  Solar radiation: 724
Year: 1995  Month: 9  Day: 24  Time: 8  Solar radiation: 766
Year: 2004  Month: 10  Day: 1  Time: 8  Solar radiation: 694
Year: 2004  Month: 10  Day: 2  Time: 8  Solar radiation: 563
Year: 2004  Month: 10  Day: 3  Time: 8  Solar radiation: 675
Year: 2004  Month: 10  Day: 4  Time: 8  Solar radiation: 663
Year: 2004  Month: 10  Day: 5  Time: 8  Solar radiation: 586
Year: 2004  Month: 10  Day: 8  Time: 8  Solar radiation: 672
Year: 2004  Month: 10  Day: 10  Time: 8  Solar radiation: 626
Year: 2004  Month: 10  Day: 11  Time: 8  Solar radiation: 640
Year: 2004  Month: 10  Day: 12  Time: 8  Solar radiation: 601
Year: 2004  Month: 10  Day: 13  Time: 8  Solar radiation: 647
Year: 2004  Month: 10  Day: 14  Time: 8  Solar radiation: 655
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
Year: 2000  Month: 6  Day: 2  Time: 8  Solar radiation: 257
