                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-1.33	1.16	2.92	2.91	4.23	4.37	4.29	4.4	4.4	6.22	6.54	7.2	
Time:11	11	12	8	10	10	11	11	11	11	12	8	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-13.12	-10.92	-10.01	-8.59	-6.43	-6.44	-6.36	-6.36	-6.39	-5.49	-5.49	-0.5	
Time: 	11	11	10	10	10	10	10	10	10	10	10	5	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2975
===============
No. of wrong lines: 177
==================
Wrong Direct Normal Radiation:
=================================
Year: 1965  Month: 2  Day: 25  Time: 8  Solar radiation: 582
Year: 1982  Month: 3  Day: 13  Time: 8  Solar radiation: 760
Year: 1982  Month: 3  Day: 21  Time: 8  Solar radiation: 671
Year: 1982  Month: 3  Day: 22  Time: 8  Solar radiation: 777
Year: 1982  Month: 3  Day: 25  Time: 7  Solar radiation: 572
Year: 1982  Month: 3  Day: 25  Time: 8  Solar radiation: 805
Year: 1982  Month: 3  Day: 26  Time: 8  Solar radiation: 791
Year: 1982  Month: 3  Day: 31  Time: 8  Solar radiation: 824
Year: 1974  Month: 4  Day: 1  Time: 8  Solar radiation: 748
Year: 1974  Month: 4  Day: 5  Time: 7  Solar radiation: 572
Year: 1974  Month: 4  Day: 5  Time: 8  Solar radiation: 786
Year: 1974  Month: 4  Day: 8  Time: 8  Solar radiation: 706
Year: 1974  Month: 4  Day: 14  Time: 8  Solar radiation: 561
Year: 1974  Month: 4  Day: 16  Time: 7  Solar radiation: 655
Year: 1974  Month: 4  Day: 16  Time: 8  Solar radiation: 829
Year: 1974  Month: 4  Day: 17  Time: 7  Solar radiation: 642
Year: 1974  Month: 4  Day: 17  Time: 8  Solar radiation: 811
Year: 1974  Month: 4  Day: 18  Time: 7  Solar radiation: 669
Year: 1974  Month: 4  Day: 18  Time: 8  Solar radiation: 821
Year: 1974  Month: 4  Day: 22  Time: 8  Solar radiation: 765
Year: 1974  Month: 4  Day: 24  Time: 7  Solar radiation: 659
Year: 1974  Month: 4  Day: 24  Time: 8  Solar radiation: 812
Year: 1974  Month: 4  Day: 27  Time: 7  Solar radiation: 642
Year: 1974  Month: 4  Day: 27  Time: 8  Solar radiation: 849
Year: 1974  Month: 4  Day: 28  Time: 8  Solar radiation: 671
Year: 1974  Month: 4  Day: 29  Time: 8  Solar radiation: 585
Year: 1974  Month: 4  Day: 30  Time: 7  Solar radiation: 643
Year: 1974  Month: 4  Day: 30  Time: 8  Solar radiation: 790
Year: 1971  Month: 5  Day: 2  Time: 7  Solar radiation: 649
Year: 1971  Month: 5  Day: 2  Time: 8  Solar radiation: 841
Year: 1971  Month: 5  Day: 3  Time: 7  Solar radiation: 726
Year: 1971  Month: 5  Day: 3  Time: 8  Solar radiation: 851
Year: 1971  Month: 5  Day: 4  Time: 8  Solar radiation: 627
Year: 1971  Month: 5  Day: 6  Time: 7  Solar radiation: 691
Year: 1971  Month: 5  Day: 6  Time: 8  Solar radiation: 824
Year: 1971  Month: 5  Day: 7  Time: 6  Solar radiation: 551
Year: 1971  Month: 5  Day: 7  Time: 7  Solar radiation: 787
Year: 1971  Month: 5  Day: 7  Time: 8  Solar radiation: 888
Year: 1971  Month: 5  Day: 8  Time: 7  Solar radiation: 712
Year: 1971  Month: 5  Day: 8  Time: 8  Solar radiation: 823
Year: 1971  Month: 5  Day: 9  Time: 8  Solar radiation: 594
Year: 1971  Month: 5  Day: 11  Time: 7  Solar radiation: 580
Year: 1971  Month: 5  Day: 11  Time: 8  Solar radiation: 650
Year: 1971  Month: 5  Day: 12  Time: 8  Solar radiation: 624
Year: 1971  Month: 5  Day: 13  Time: 6  Solar radiation: 570
Year: 1971  Month: 5  Day: 13  Time: 7  Solar radiation: 787
Year: 1971  Month: 5  Day: 13  Time: 8  Solar radiation: 887
Year: 1971  Month: 5  Day: 15  Time: 7  Solar radiation: 620
Year: 1971  Month: 5  Day: 15  Time: 8  Solar radiation: 759
Year: 1971  Month: 5  Day: 16  Time: 7  Solar radiation: 664
Year: 1971  Month: 5  Day: 16  Time: 8  Solar radiation: 763
Year: 1971  Month: 5  Day: 17  Time: 8  Solar radiation: 644
Year: 1971  Month: 5  Day: 21  Time: 8  Solar radiation: 651
Year: 1971  Month: 5  Day: 26  Time: 8  Solar radiation: 716
Year: 1971  Month: 5  Day: 27  Time: 7  Solar radiation: 584
Year: 1971  Month: 5  Day: 27  Time: 8  Solar radiation: 754
Year: 1971  Month: 5  Day: 28  Time: 8  Solar radiation: 649
Year: 1975  Month: 6  Day: 2  Time: 7  Solar radiation: 619
Year: 1975  Month: 6  Day: 2  Time: 8  Solar radiation: 736
Year: 1975  Month: 6  Day: 4  Time: 8  Solar radiation: 728
Year: 1975  Month: 6  Day: 5  Time: 6  Solar radiation: 557
Year: 1975  Month: 6  Day: 5  Time: 7  Solar radiation: 664
Year: 1975  Month: 6  Day: 5  Time: 8  Solar radiation: 705
Year: 1975  Month: 6  Day: 6  Time: 7  Solar radiation: 645
Year: 1975  Month: 6  Day: 6  Time: 8  Solar radiation: 757
Year: 1975  Month: 6  Day: 10  Time: 7  Solar radiation: 642
Year: 1975  Month: 6  Day: 10  Time: 8  Solar radiation: 767
Year: 1975  Month: 6  Day: 11  Time: 7  Solar radiation: 726
Year: 1975  Month: 6  Day: 11  Time: 8  Solar radiation: 831
Year: 1975  Month: 6  Day: 12  Time: 7  Solar radiation: 682
Year: 1975  Month: 6  Day: 12  Time: 8  Solar radiation: 775
Year: 1975  Month: 6  Day: 15  Time: 8  Solar radiation: 634
Year: 1975  Month: 6  Day: 17  Time: 7  Solar radiation: 640
