                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:5.8	7.42	11.94	15.61	16.14	17.93	19.64	19.51	19.68	16.95	18.53	20.57	
Time:12	14	13	14	11	11	13	13	13	11	12	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-3.59	-3.35	1.46	2.99	6.98	7.15	8.44	8.29	8.08	8.6	8.33	9.03	
Time: 	12	8	12	9	10	10	9	9	9	15	11	10	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2814
===============
No. of wrong lines: 36
==================
Wrong Direct Normal Radiation:
=================================
Year: 1979  Month: 3  Day: 16  Time: 8  Solar radiation: 572
Year: 1968  Month: 4  Day: 12  Time: 8  Solar radiation: 611
Year: 1968  Month: 4  Day: 16  Time: 8  Solar radiation: 629
Year: 1968  Month: 4  Day: 25  Time: 8  Solar radiation: 690
Year: 1968  Month: 4  Day: 26  Time: 8  Solar radiation: 561
Year: 1980  Month: 5  Day: 2  Time: 8  Solar radiation: 674
Year: 1980  Month: 5  Day: 3  Time: 8  Solar radiation: 601
Year: 1980  Month: 5  Day: 4  Time: 8  Solar radiation: 676
Year: 1980  Month: 5  Day: 5  Time: 8  Solar radiation: 723
Year: 1980  Month: 5  Day: 6  Time: 8  Solar radiation: 670
Year: 1980  Month: 5  Day: 7  Time: 8  Solar radiation: 749
Year: 1980  Month: 5  Day: 9  Time: 8  Solar radiation: 665
Year: 1980  Month: 5  Day: 10  Time: 8  Solar radiation: 625
Year: 1980  Month: 5  Day: 15  Time: 8  Solar radiation: 614
Year: 1980  Month: 5  Day: 16  Time: 8  Solar radiation: 591
Year: 1980  Month: 5  Day: 21  Time: 8  Solar radiation: 623
Year: 1980  Month: 5  Day: 29  Time: 7  Solar radiation: 551
Year: 1980  Month: 5  Day: 29  Time: 8  Solar radiation: 718
Year: 1980  Month: 6  Day: 5  Time: 8  Solar radiation: 695
Year: 1980  Month: 6  Day: 13  Time: 8  Solar radiation: 690
Year: 1980  Month: 6  Day: 14  Time: 7  Solar radiation: 579
Year: 1980  Month: 6  Day: 14  Time: 8  Solar radiation: 742
Year: 1980  Month: 6  Day: 28  Time: 8  Solar radiation: 688
Year: 1970  Month: 7  Day: 11  Time: 8  Solar radiation: 655
Year: 1970  Month: 7  Day: 12  Time: 8  Solar radiation: 679
Year: 1970  Month: 7  Day: 13  Time: 8  Solar radiation: 664
Year: 1970  Month: 7  Day: 15  Time: 8  Solar radiation: 675
Year: 1970  Month: 7  Day: 19  Time: 8  Solar radiation: 589
Year: 1972  Month: 8  Day: 12  Time: 8  Solar radiation: 668
Year: 1972  Month: 8  Day: 23  Time: 8  Solar radiation: 556
Year: 1972  Month: 8  Day: 24  Time: 8  Solar radiation: 615
Year: 1972  Month: 8  Day: 29  Time: 8  Solar radiation: 646
Year: 1972  Month: 8  Day: 30  Time: 8  Solar radiation: 660
Year: 1990  Month: 9  Day: 1  Time: 8  Solar radiation: 668
Year: 1990  Month: 9  Day: 25  Time: 8  Solar radiation: 561
Year: 1986  Month: 10  Day: 16  Time: 8  Solar radiation: 573
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
