                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-2.26	0.04	4.3	4.58	13.45	13.12	13.29	12.69	13.4	13.58	13.65	13.8	
Time:12	13	11	12	13	13	13	12	13	13	13	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-11.23	-8.88	-4.95	-4.36	2.25	1.79	1.79	2.07	2.34	2.37	2.39	2.39	
Time: 	10	11	9	9	10	9	9	9	9	9	8	8	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2836
===============
No. of wrong lines: 78
==================
Wrong Direct Normal Radiation:
=================================
Year: 1972  Month: 3  Day: 23  Time: 8  Solar radiation: 696
Year: 1978  Month: 4  Day: 15  Time: 8  Solar radiation: 668
Year: 1978  Month: 4  Day: 17  Time: 7  Solar radiation: 596
Year: 1978  Month: 4  Day: 17  Time: 8  Solar radiation: 730
Year: 1978  Month: 4  Day: 21  Time: 8  Solar radiation: 576
Year: 1978  Month: 4  Day: 25  Time: 8  Solar radiation: 798
Year: 1978  Month: 4  Day: 26  Time: 8  Solar radiation: 703
Year: 1978  Month: 4  Day: 27  Time: 7  Solar radiation: 647
Year: 1978  Month: 4  Day: 27  Time: 8  Solar radiation: 786
Year: 1978  Month: 4  Day: 28  Time: 8  Solar radiation: 688
Year: 1978  Month: 4  Day: 30  Time: 8  Solar radiation: 787
Year: 1963  Month: 5  Day: 1  Time: 8  Solar radiation: 703
Year: 1963  Month: 5  Day: 3  Time: 8  Solar radiation: 716
Year: 1963  Month: 5  Day: 7  Time: 7  Solar radiation: 599
Year: 1963  Month: 5  Day: 11  Time: 8  Solar radiation: 658
Year: 1963  Month: 5  Day: 18  Time: 8  Solar radiation: 587
Year: 1963  Month: 5  Day: 20  Time: 8  Solar radiation: 667
Year: 1963  Month: 5  Day: 23  Time: 7  Solar radiation: 698
Year: 1963  Month: 5  Day: 23  Time: 8  Solar radiation: 819
Year: 1963  Month: 5  Day: 24  Time: 8  Solar radiation: 645
Year: 1963  Month: 5  Day: 25  Time: 8  Solar radiation: 704
Year: 1963  Month: 5  Day: 30  Time: 7  Solar radiation: 702
Year: 1963  Month: 5  Day: 30  Time: 8  Solar radiation: 803
Year: 1970  Month: 6  Day: 5  Time: 8  Solar radiation: 553
Year: 1970  Month: 6  Day: 6  Time: 7  Solar radiation: 553
Year: 1970  Month: 6  Day: 6  Time: 8  Solar radiation: 686
Year: 1970  Month: 6  Day: 7  Time: 7  Solar radiation: 661
Year: 1970  Month: 6  Day: 7  Time: 8  Solar radiation: 771
Year: 1970  Month: 6  Day: 8  Time: 7  Solar radiation: 559
Year: 1970  Month: 6  Day: 8  Time: 8  Solar radiation: 687
Year: 1970  Month: 6  Day: 9  Time: 7  Solar radiation: 624
