                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-5.32	-2.48	1.79	1.76	14.72	15.1	12.84	12.18	12.62	14.28	13.98	13.86	
Time:13	15	13	13	10	11	12	13	13	13	13	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-16.97	-11.79	-7.27	-6.56	2.92	1.87	1.49	0.85	0.84	1.94	1.46	1.67	
Time: 	11	13	10	10	7	6	8	7	7	6	7	7	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2732
===============
No. of wrong lines: 53
==================
Wrong Direct Normal Radiation:
=================================
Year: 1972  Month: 3  Day: 25  Time: 8  Solar radiation: 555
Year: 1963  Month: 4  Day: 4  Time: 8  Solar radiation: 571
Year: 1963  Month: 4  Day: 6  Time: 8  Solar radiation: 575
Year: 1963  Month: 4  Day: 9  Time: 8  Solar radiation: 581
Year: 1963  Month: 4  Day: 13  Time: 8  Solar radiation: 588
Year: 1963  Month: 4  Day: 14  Time: 8  Solar radiation: 590
Year: 1963  Month: 4  Day: 17  Time: 8  Solar radiation: 596
Year: 1963  Month: 4  Day: 18  Time: 8  Solar radiation: 599
Year: 1963  Month: 4  Day: 19  Time: 8  Solar radiation: 601
Year: 1963  Month: 4  Day: 21  Time: 8  Solar radiation: 605
Year: 1963  Month: 4  Day: 24  Time: 8  Solar radiation: 611
Year: 1963  Month: 4  Day: 26  Time: 8  Solar radiation: 614
Year: 1956  Month: 5  Day: 7  Time: 8  Solar radiation: 623
Year: 1956  Month: 5  Day: 17  Time: 8  Solar radiation: 632
Year: 1956  Month: 5  Day: 19  Time: 8  Solar radiation: 634
Year: 1956  Month: 5  Day: 21  Time: 8  Solar radiation: 587
Year: 1956  Month: 5  Day: 22  Time: 8  Solar radiation: 589
Year: 1956  Month: 5  Day: 27  Time: 8  Solar radiation: 594
Year: 1957  Month: 6  Day: 1  Time: 8  Solar radiation: 639
Year: 1957  Month: 6  Day: 2  Time: 8  Solar radiation: 594
Year: 1957  Month: 6  Day: 3  Time: 8  Solar radiation: 640
Year: 1957  Month: 6  Day: 5  Time: 8  Solar radiation: 640
Year: 1957  Month: 6  Day: 6  Time: 8  Solar radiation: 640
Year: 1957  Month: 6  Day: 12  Time: 8  Solar radiation: 639
Year: 1957  Month: 6  Day: 15  Time: 8  Solar radiation: 638
Year: 1957  Month: 6  Day: 19  Time: 8  Solar radiation: 639
Year: 1957  Month: 6  Day: 20  Time: 8  Solar radiation: 563
Year: 1957  Month: 6  Day: 26  Time: 8  Solar radiation: 639
Year: 1957  Month: 6  Day: 27  Time: 8  Solar radiation: 596
Year: 1957  Month: 6  Day: 29  Time: 8  Solar radiation: 637
Year: 1957  Month: 6  Day: 30  Time: 8  Solar radiation: 636
Year: 1963  Month: 7  Day: 1  Time: 8  Solar radiation: 593
Year: 1963  Month: 7  Day: 2  Time: 8  Solar radiation: 635
Year: 1963  Month: 7  Day: 8  Time: 8  Solar radiation: 628
Year: 1963  Month: 7  Day: 9  Time: 8  Solar radiation: 627
Year: 1963  Month: 7  Day: 10  Time: 8  Solar radiation: 626
Year: 1963  Month: 7  Day: 11  Time: 8  Solar radiation: 624
Year: 1963  Month: 7  Day: 14  Time: 8  Solar radiation: 573
Year: 1963  Month: 7  Day: 16  Time: 8  Solar radiation: 570
Year: 1963  Month: 7  Day: 19  Time: 8  Solar radiation: 613
Year: 1963  Month: 7  Day: 20  Time: 8  Solar radiation: 612
Year: 1963  Month: 7  Day: 22  Time: 8  Solar radiation: 564
Year: 1963  Month: 7  Day: 23  Time: 8  Solar radiation: 608
Year: 1963  Month: 7  Day: 26  Time: 8  Solar radiation: 603
Year: 1963  Month: 7  Day: 28  Time: 8  Solar radiation: 599
Year: 1963  Month: 7  Day: 29  Time: 8  Solar radiation: 597
Year: 1963  Month: 7  Day: 31  Time: 8  Solar radiation: 551
Year: 1962  Month: 8  Day: 1  Time: 8  Solar radiation: 593
Year: 1962  Month: 8  Day: 2  Time: 8  Solar radiation: 592
Year: 1962  Month: 8  Day: 7  Time: 8  Solar radiation: 579
Year: 1962  Month: 8  Day: 16  Time: 8  Solar radiation: 556
Year: 1962  Month: 8  Day: 17  Time: 8  Solar radiation: 554
Year: 1962  Month: 8  Day: 18  Time: 8  Solar radiation: 551
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
