                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-0.44	0.34	6.33	5.71	5.3	7.05	8.89	9.56	10.55	10.33	10.91	10.08	
Time:14	14	13	14	9	13	13	14	14	14	14	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-9.29	-8.04	-3.87	-4.65	1.85	0.1	0.89	0.29	0.66	0.12	0.33	-0.35	
Time: 	11	10	9	8	13	14	12	14	13	14	11	12	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2823
===============
No. of wrong lines: 141
==================
Wrong Direct Normal Radiation:
=================================
Year: 1995  Month: 3  Day: 25  Time: 8  Solar radiation: 731
Year: 1978  Month: 4  Day: 2  Time: 8  Solar radiation: 602
Year: 1978  Month: 4  Day: 6  Time: 8  Solar radiation: 789
Year: 1978  Month: 4  Day: 7  Time: 8  Solar radiation: 600
Year: 1978  Month: 4  Day: 10  Time: 8  Solar radiation: 793
Year: 1978  Month: 4  Day: 11  Time: 8  Solar radiation: 679
Year: 1978  Month: 4  Day: 12  Time: 8  Solar radiation: 827
Year: 1978  Month: 4  Day: 16  Time: 8  Solar radiation: 576
Year: 1978  Month: 4  Day: 17  Time: 8  Solar radiation: 585
Year: 1978  Month: 4  Day: 18  Time: 8  Solar radiation: 753
Year: 1978  Month: 4  Day: 19  Time: 7  Solar radiation: 571
Year: 1978  Month: 4  Day: 19  Time: 8  Solar radiation: 799
Year: 1978  Month: 4  Day: 22  Time: 8  Solar radiation: 658
Year: 1978  Month: 4  Day: 24  Time: 8  Solar radiation: 664
Year: 1978  Month: 4  Day: 29  Time: 8  Solar radiation: 629
Year: 1998  Month: 5  Day: 1  Time: 7  Solar radiation: 627
Year: 1998  Month: 5  Day: 1  Time: 8  Solar radiation: 782
Year: 1998  Month: 5  Day: 3  Time: 8  Solar radiation: 784
Year: 1998  Month: 5  Day: 8  Time: 7  Solar radiation: 605
Year: 1998  Month: 5  Day: 11  Time: 7  Solar radiation: 677
Year: 1998  Month: 5  Day: 11  Time: 8  Solar radiation: 709
Year: 1998  Month: 5  Day: 14  Time: 8  Solar radiation: 807
Year: 1998  Month: 5  Day: 16  Time: 7  Solar radiation: 705
Year: 1998  Month: 5  Day: 16  Time: 8  Solar radiation: 842
Year: 1998  Month: 5  Day: 17  Time: 7  Solar radiation: 711
Year: 1998  Month: 5  Day: 17  Time: 8  Solar radiation: 831
Year: 1998  Month: 5  Day: 18  Time: 8  Solar radiation: 825
Year: 1998  Month: 5  Day: 19  Time: 8  Solar radiation: 706
Year: 1998  Month: 5  Day: 20  Time: 8  Solar radiation: 615
Year: 1998  Month: 5  Day: 22  Time: 8  Solar radiation: 667
Year: 1998  Month: 5  Day: 23  Time: 8  Solar radiation: 656
Year: 1998  Month: 5  Day: 25  Time: 7  Solar radiation: 686
Year: 1998  Month: 5  Day: 25  Time: 8  Solar radiation: 782
Year: 1998  Month: 5  Day: 27  Time: 7  Solar radiation: 677
Year: 1998  Month: 5  Day: 27  Time: 8  Solar radiation: 828
Year: 1998  Month: 5  Day: 28  Time: 8  Solar radiation: 828
Year: 1998  Month: 5  Day: 31  Time: 8  Solar radiation: 834
Year: 1987  Month: 6  Day: 2  Time: 8  Solar radiation: 878
Year: 1987  Month: 6  Day: 3  Time: 7  Solar radiation: 776
Year: 1987  Month: 6  Day: 3  Time: 8  Solar radiation: 886
Year: 1987  Month: 6  Day: 4  Time: 8  Solar radiation: 791
Year: 1987  Month: 6  Day: 10  Time: 8  Solar radiation: 831
Year: 1987  Month: 6  Day: 11  Time: 8  Solar radiation: 788
Year: 1987  Month: 6  Day: 12  Time: 8  Solar radiation: 835
Year: 1987  Month: 6  Day: 13  Time: 7  Solar radiation: 726
Year: 1987  Month: 6  Day: 13  Time: 8  Solar radiation: 848
Year: 1987  Month: 6  Day: 14  Time: 7  Solar radiation: 768
Year: 1987  Month: 6  Day: 14  Time: 8  Solar radiation: 874
Year: 1987  Month: 6  Day: 15  Time: 8  Solar radiation: 664
Year: 1987  Month: 6  Day: 16  Time: 7  Solar radiation: 710
Year: 1987  Month: 6  Day: 16  Time: 8  Solar radiation: 835
Year: 1987  Month: 6  Day: 17  Time: 7  Solar radiation: 713
Year: 1987  Month: 6  Day: 17  Time: 8  Solar radiation: 779
Year: 1987  Month: 6  Day: 19  Time: 8  Solar radiation: 681
Year: 1987  Month: 6  Day: 20  Time: 7  Solar radiation: 584
Year: 1987  Month: 6  Day: 20  Time: 8  Solar radiation: 686
Year: 1987  Month: 6  Day: 21  Time: 7  Solar radiation: 675
Year: 1987  Month: 6  Day: 21  Time: 8  Solar radiation: 837
Year: 1987  Month: 6  Day: 23  Time: 8  Solar radiation: 736
Year: 1987  Month: 6  Day: 24  Time: 8  Solar radiation: 827
Year: 1987  Month: 6  Day: 25  Time: 7  Solar radiation: 759
Year: 1987  Month: 6  Day: 25  Time: 8  Solar radiation: 870
Year: 1987  Month: 6  Day: 26  Time: 7  Solar radiation: 657
Year: 1987  Month: 6  Day: 26  Time: 8  Solar radiation: 849
Year: 1987  Month: 6  Day: 27  Time: 7  Solar radiation: 567
Year: 1987  Month: 6  Day: 27  Time: 8  Solar radiation: 788
Year: 1987  Month: 6  Day: 28  Time: 7  Solar radiation: 575
Year: 1987  Month: 6  Day: 28  Time: 8  Solar radiation: 684
Year: 1991  Month: 7  Day: 1  Time: 7  Solar radiation: 756
Year: 1991  Month: 7  Day: 1  Time: 8  Solar radiation: 873
Year: 1991  Month: 7  Day: 2  Time: 7  Solar radiation: 777
Year: 1991  Month: 7  Day: 2  Time: 8  Solar radiation: 888
Year: 1991  Month: 7  Day: 3  Time: 7  Solar radiation: 738
Year: 1991  Month: 7  Day: 3  Time: 8  Solar radiation: 858
Year: 1991  Month: 7  Day: 4  Time: 8  Solar radiation: 874
Year: 1991  Month: 7  Day: 5  Time: 7  Solar radiation: 707
Year: 1991  Month: 7  Day: 5  Time: 8  Solar radiation: 837
Year: 1991  Month: 7  Day: 6  Time: 8  Solar radiation: 684
Year: 1991  Month: 7  Day: 7  Time: 8  Solar radiation: 880
Year: 1991  Month: 7  Day: 10  Time: 8  Solar radiation: 652
Year: 1991  Month: 7  Day: 11  Time: 7  Solar radiation: 587
Year: 1991  Month: 7  Day: 11  Time: 8  Solar radiation: 745
Year: 1991  Month: 7  Day: 12  Time: 8  Solar radiation: 866
Year: 1991  Month: 7  Day: 13  Time: 7  Solar radiation: 746
Year: 1991  Month: 7  Day: 14  Time: 7  Solar radiation: 727
Year: 1991  Month: 7  Day: 14  Time: 8  Solar radiation: 851
Year: 1991  Month: 7  Day: 16  Time: 8  Solar radiation: 861
