                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:18.16	19.17	19.16	13.7	16.94	18.45	19.71	18.54	18.53	18.57	16.7	17.75	
Time:12	12	12	8	10	10	11	12	12	13	8	11	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:10.14	10.85	11.29	9.17	9.82	10.4	10.9	12.22	12.2	12.43	13.3	11.67	
Time: 	7	7	6	11	9	8	8	6	6	6	6	9	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2171
===============
No. of wrong lines: 77
==================
Wrong Direct Normal Radiation:
=================================
Year: 1991  Month: 2  Day: 19  Time: 8  Solar radiation: 584
Year: 1979  Month: 3  Day: 3  Time: 8  Solar radiation: 567
Year: 1979  Month: 3  Day: 5  Time: 8  Solar radiation: 582
Year: 1979  Month: 3  Day: 6  Time: 8  Solar radiation: 619
Year: 1979  Month: 3  Day: 7  Time: 8  Solar radiation: 663
Year: 1979  Month: 3  Day: 23  Time: 8  Solar radiation: 668
Year: 1979  Month: 3  Day: 24  Time: 8  Solar radiation: 787
Year: 1987  Month: 4  Day: 1  Time: 8  Solar radiation: 615
Year: 1987  Month: 4  Day: 4  Time: 8  Solar radiation: 622
Year: 1987  Month: 4  Day: 5  Time: 8  Solar radiation: 695
Year: 1987  Month: 4  Day: 7  Time: 8  Solar radiation: 645
Year: 1987  Month: 4  Day: 8  Time: 8  Solar radiation: 779
Year: 1987  Month: 4  Day: 9  Time: 8  Solar radiation: 600
Year: 1987  Month: 4  Day: 13  Time: 8  Solar radiation: 598
Year: 1987  Month: 4  Day: 14  Time: 8  Solar radiation: 601
Year: 1987  Month: 4  Day: 20  Time: 7  Solar radiation: 687
Year: 1987  Month: 4  Day: 20  Time: 8  Solar radiation: 850
Year: 1987  Month: 4  Day: 21  Time: 7  Solar radiation: 578
Year: 1987  Month: 4  Day: 21  Time: 8  Solar radiation: 771
Year: 1987  Month: 4  Day: 22  Time: 8  Solar radiation: 679
Year: 1989  Month: 5  Day: 1  Time: 8  Solar radiation: 718
Year: 1989  Month: 5  Day: 2  Time: 8  Solar radiation: 771
Year: 1989  Month: 5  Day: 19  Time: 8  Solar radiation: 668
Year: 1989  Month: 5  Day: 24  Time: 7  Solar radiation: 589
Year: 1989  Month: 5  Day: 24  Time: 8  Solar radiation: 742
Year: 1989  Month: 5  Day: 26  Time: 8  Solar radiation: 628
Year: 1996  Month: 6  Day: 1  Time: 8  Solar radiation: 662
Year: 1996  Month: 6  Day: 4  Time: 8  Solar radiation: 624
Year: 1996  Month: 6  Day: 9  Time: 7  Solar radiation: 633
Year: 1996  Month: 6  Day: 9  Time: 8  Solar radiation: 815
Year: 1996  Month: 6  Day: 13  Time: 8  Solar radiation: 627
Year: 1996  Month: 6  Day: 18  Time: 8  Solar radiation: 604
Year: 1996  Month: 6  Day: 28  Time: 8  Solar radiation: 662
Year: 1996  Month: 6  Day: 29  Time: 8  Solar radiation: 678
Year: 1996  Month: 6  Day: 30  Time: 7  Solar radiation: 609
Year: 1996  Month: 6  Day: 30  Time: 8  Solar radiation: 749
Year: 1989  Month: 7  Day: 3  Time: 8  Solar radiation: 742
Year: 1989  Month: 7  Day: 4  Time: 7  Solar radiation: 665
Year: 1989  Month: 7  Day: 4  Time: 8  Solar radiation: 787
Year: 1989  Month: 7  Day: 8  Time: 8  Solar radiation: 750
Year: 1989  Month: 7  Day: 12  Time: 8  Solar radiation: 635
Year: 1989  Month: 7  Day: 14  Time: 7  Solar radiation: 602
Year: 1989  Month: 7  Day: 14  Time: 8  Solar radiation: 722
Year: 1989  Month: 7  Day: 23  Time: 8  Solar radiation: 788
Year: 1989  Month: 7  Day: 28  Time: 7  Solar radiation: 613
Year: 1989  Month: 7  Day: 28  Time: 8  Solar radiation: 761
Year: 1989  Month: 7  Day: 31  Time: 8  Solar radiation: 574
Year: 1978  Month: 8  Day: 5  Time: 8  Solar radiation: 716
Year: 1978  Month: 8  Day: 7  Time: 8  Solar radiation: 572
Year: 1978  Month: 8  Day: 23  Time: 8  Solar radiation: 621
Year: 1978  Month: 8  Day: 25  Time: 8  Solar radiation: 729
Year: 1990  Month: 9  Day: 5  Time: 8  Solar radiation: 645
Year: 1990  Month: 9  Day: 6  Time: 8  Solar radiation: 726
Year: 1990  Month: 9  Day: 7  Time: 8  Solar radiation: 662
Year: 1990  Month: 9  Day: 8  Time: 8  Solar radiation: 696
Year: 1990  Month: 9  Day: 9  Time: 8  Solar radiation: 643
Year: 1990  Month: 9  Day: 10  Time: 8  Solar radiation: 683
Year: 1990  Month: 9  Day: 11  Time: 8  Solar radiation: 618
Year: 1990  Month: 9  Day: 12  Time: 8  Solar radiation: 736
Year: 1990  Month: 9  Day: 22  Time: 8  Solar radiation: 671
Year: 1990  Month: 9  Day: 24  Time: 8  Solar radiation: 720
Year: 1990  Month: 9  Day: 25  Time: 8  Solar radiation: 730
Year: 1989  Month: 10  Day: 4  Time: 8  Solar radiation: 758
Year: 1989  Month: 10  Day: 18  Time: 8  Solar radiation: 633
Year: 1989  Month: 10  Day: 26  Time: 8  Solar radiation: 745
Year: 1989  Month: 10  Day: 28  Time: 8  Solar radiation: 684
Year: 1980  Month: 11  Day: 1  Time: 8  Solar radiation: 709
Year: 1980  Month: 11  Day: 2  Time: 8  Solar radiation: 726
Year: 1980  Month: 11  Day: 3  Time: 8  Solar radiation: 644
Year: 1980  Month: 11  Day: 17  Time: 8  Solar radiation: 645
Year: 1980  Month: 11  Day: 18  Time: 8  Solar radiation: 659
Year: 1980  Month: 11  Day: 19  Time: 8  Solar radiation: 659
Year: 1980  Month: 11  Day: 20  Time: 8  Solar radiation: 625
Year: 1980  Month: 11  Day: 27  Time: 8  Solar radiation: 679
Year: 1980  Month: 11  Day: 28  Time: 8  Solar radiation: 637
Year: 1997  Month: 12  Day: 13  Time: 8  Solar radiation: 558
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
