                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:18.09	16.01	16.93	18.88	18.5	18.44	18.44	18.62	18.77	19.11	19.6	14.5	
Time:12	12	12	12	12	12	12	12	12	12	12	9	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:4.63	4.48	5.16	10.05	9.41	9.25	8.96	8.87	8.85	8.8	8.8	5.0	
Time: 	9	9	10	9	10	10	10	10	10	9	9	15	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2333
===============
No. of wrong lines: 122
==================
Wrong Direct Normal Radiation:
=================================
Year: 1994  Month: 2  Day: 24  Time: 8  Solar radiation: 563
Year: 1995  Month: 3  Day: 17  Time: 8  Solar radiation: 669
Year: 1995  Month: 3  Day: 24  Time: 8  Solar radiation: 648
Year: 1995  Month: 3  Day: 25  Time: 8  Solar radiation: 711
Year: 1995  Month: 3  Day: 26  Time: 8  Solar radiation: 686
Year: 1995  Month: 3  Day: 27  Time: 8  Solar radiation: 640
Year: 1995  Month: 3  Day: 28  Time: 8  Solar radiation: 688
Year: 1995  Month: 3  Day: 30  Time: 8  Solar radiation: 563
Year: 2004  Month: 4  Day: 2  Time: 8  Solar radiation: 615
Year: 2004  Month: 4  Day: 6  Time: 8  Solar radiation: 680
Year: 2004  Month: 4  Day: 7  Time: 8  Solar radiation: 614
Year: 2004  Month: 4  Day: 14  Time: 8  Solar radiation: 632
Year: 2004  Month: 4  Day: 15  Time: 8  Solar radiation: 671
Year: 2004  Month: 4  Day: 18  Time: 8  Solar radiation: 567
Year: 2004  Month: 4  Day: 19  Time: 8  Solar radiation: 669
Year: 2004  Month: 4  Day: 20  Time: 8  Solar radiation: 675
Year: 2004  Month: 4  Day: 21  Time: 8  Solar radiation: 687
Year: 2004  Month: 4  Day: 22  Time: 8  Solar radiation: 716
Year: 2004  Month: 4  Day: 23  Time: 8  Solar radiation: 649
Year: 2004  Month: 4  Day: 24  Time: 8  Solar radiation: 604
Year: 2004  Month: 4  Day: 25  Time: 8  Solar radiation: 650
Year: 2004  Month: 4  Day: 26  Time: 8  Solar radiation: 729
Year: 2004  Month: 4  Day: 27  Time: 8  Solar radiation: 645
Year: 2003  Month: 5  Day: 4  Time: 8  Solar radiation: 568
Year: 2003  Month: 5  Day: 5  Time: 8  Solar radiation: 711
Year: 2003  Month: 5  Day: 6  Time: 8  Solar radiation: 728
Year: 2003  Month: 5  Day: 8  Time: 8  Solar radiation: 564
Year: 2003  Month: 5  Day: 9  Time: 7  Solar radiation: 577
Year: 2003  Month: 5  Day: 9  Time: 8  Solar radiation: 667
Year: 2003  Month: 5  Day: 10  Time: 8  Solar radiation: 724
Year: 2003  Month: 5  Day: 11  Time: 7  Solar radiation: 552
Year: 2003  Month: 5  Day: 11  Time: 8  Solar radiation: 690
Year: 2003  Month: 5  Day: 12  Time: 8  Solar radiation: 707
Year: 2003  Month: 5  Day: 15  Time: 8  Solar radiation: 611
Year: 2003  Month: 5  Day: 18  Time: 8  Solar radiation: 640
Year: 2003  Month: 5  Day: 19  Time: 7  Solar radiation: 590
Year: 2003  Month: 5  Day: 19  Time: 8  Solar radiation: 681
