                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:1.96	4.08	6.33	9.06	9.44	8.8	8.89	9.93	10.39	10.98	10.33	10.44	
Time:13	12	13	13	13	12	13	13	13	13	12	12	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-12.35	-9.57	-8.84	-4.5	-4.45	-4.89	-5.0	-4.32	-4.32	-0.57	-2.23	-2.23	
Time: 	10	10	9	10	10	10	10	9	9	10	10	10	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2821
===============
No. of wrong lines: 136
==================
Wrong Direct Normal Radiation:
=================================
Year: 1988  Month: 2  Day: 24  Time: 8  Solar radiation: 565
Year: 1982  Month: 3  Day: 22  Time: 8  Solar radiation: 679
Year: 1982  Month: 3  Day: 23  Time: 8  Solar radiation: 559
Year: 1982  Month: 3  Day: 25  Time: 8  Solar radiation: 783
Year: 1982  Month: 3  Day: 26  Time: 8  Solar radiation: 689
Year: 1982  Month: 3  Day: 31  Time: 8  Solar radiation: 597
Year: 1989  Month: 4  Day: 4  Time: 8  Solar radiation: 690
Year: 1989  Month: 4  Day: 10  Time: 7  Solar radiation: 652
Year: 1989  Month: 4  Day: 10  Time: 8  Solar radiation: 838
Year: 1989  Month: 4  Day: 11  Time: 7  Solar radiation: 650
Year: 1989  Month: 4  Day: 11  Time: 8  Solar radiation: 825
Year: 1989  Month: 4  Day: 12  Time: 7  Solar radiation: 628
Year: 1989  Month: 4  Day: 12  Time: 8  Solar radiation: 825
Year: 1989  Month: 4  Day: 16  Time: 8  Solar radiation: 687
Year: 1989  Month: 4  Day: 18  Time: 8  Solar radiation: 815
Year: 1989  Month: 4  Day: 19  Time: 7  Solar radiation: 663
Year: 1989  Month: 4  Day: 19  Time: 8  Solar radiation: 706
