                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-1.67	-0.84	5.82	6.47	9.85	9.68	10.53	10.82	10.39	11.05	15.5	20.0	
Time:11	14	12	12	12	12	12	12	12	12	12	11	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-12.0	-9.64	-4.5	-4.5	0.85	0.29	0.13	1.03	0.92	0.99	0.25	6.6	
Time: 	9	10	8	8	9	10	10	10	10	11	8	9	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2109
===============
No. of wrong lines: 64
==================
Wrong Direct Normal Radiation:
=================================
Year: 1998  Month: 3  Day: 31  Time: 8  Solar radiation: 641
Year: 2000  Month: 4  Day: 13  Time: 8  Solar radiation: 662
Year: 2000  Month: 4  Day: 14  Time: 8  Solar radiation: 668
Year: 2000  Month: 4  Day: 15  Time: 8  Solar radiation: 648
Year: 2000  Month: 4  Day: 25  Time: 8  Solar radiation: 687
Year: 2000  Month: 4  Day: 29  Time: 8  Solar radiation: 686
Year: 2000  Month: 5  Day: 4  Time: 8  Solar radiation: 592
Year: 2000  Month: 5  Day: 15  Time: 8  Solar radiation: 621
Year: 2000  Month: 5  Day: 16  Time: 8  Solar radiation: 645
Year: 2000  Month: 5  Day: 17  Time: 8  Solar radiation: 572
Year: 2000  Month: 5  Day: 29  Time: 7  Solar radiation: 566
Year: 2000  Month: 5  Day: 29  Time: 8  Solar radiation: 675
Year: 2000  Month: 5  Day: 30  Time: 7  Solar radiation: 566
Year: 2000  Month: 5  Day: 30  Time: 8  Solar radiation: 706
Year: 1997  Month: 6  Day: 3  Time: 7  Solar radiation: 667
Year: 1997  Month: 6  Day: 3  Time: 8  Solar radiation: 777
Year: 1997  Month: 6  Day: 4  Time: 7  Solar radiation: 598
Year: 1997  Month: 6  Day: 4  Time: 8  Solar radiation: 717
Year: 1997  Month: 6  Day: 6  Time: 7  Solar radiation: 678
Year: 1997  Month: 6  Day: 6  Time: 8  Solar radiation: 783
Year: 1997  Month: 6  Day: 7  Time: 7  Solar radiation: 652
Year: 1997  Month: 6  Day: 7  Time: 8  Solar radiation: 760
Year: 1997  Month: 6  Day: 8  Time: 7  Solar radiation: 688
Year: 1997  Month: 6  Day: 8  Time: 8  Solar radiation: 790
Year: 1997  Month: 6  Day: 9  Time: 7  Solar radiation: 634
Year: 1997  Month: 6  Day: 9  Time: 8  Solar radiation: 746
Year: 1997  Month: 6  Day: 11  Time: 7  Solar radiation: 657
Year: 1997  Month: 6  Day: 11  Time: 8  Solar radiation: 764
Year: 1997  Month: 6  Day: 12  Time: 7  Solar radiation: 705
Year: 1997  Month: 6  Day: 12  Time: 8  Solar radiation: 800
Year: 1997  Month: 6  Day: 14  Time: 8  Solar radiation: 720
Year: 1997  Month: 6  Day: 16  Time: 7  Solar radiation: 592
Year: 1997  Month: 6  Day: 16  Time: 8  Solar radiation: 711
Year: 1997  Month: 6  Day: 20  Time: 8  Solar radiation: 647
Year: 1997  Month: 6  Day: 21  Time: 7  Solar radiation: 582
Year: 1997  Month: 6  Day: 21  Time: 8  Solar radiation: 696
Year: 1997  Month: 6  Day: 22  Time: 8  Solar radiation: 554
Year: 1997  Month: 6  Day: 23  Time: 7  Solar radiation: 614
Year: 1997  Month: 6  Day: 23  Time: 8  Solar radiation: 728
Year: 1997  Month: 6  Day: 25  Time: 7  Solar radiation: 645
Year: 1997  Month: 6  Day: 26  Time: 8  Solar radiation: 623
Year: 1997  Month: 6  Day: 28  Time: 7  Solar radiation: 638
Year: 1997  Month: 6  Day: 28  Time: 8  Solar radiation: 749
Year: 1997  Month: 6  Day: 29  Time: 8  Solar radiation: 597
Year: 1997  Month: 6  Day: 30  Time: 7  Solar radiation: 662
Year: 1997  Month: 6  Day: 30  Time: 8  Solar radiation: 769
Year: 2000  Month: 7  Day: 1  Time: 8  Solar radiation: 626
Year: 2000  Month: 7  Day: 2  Time: 8  Solar radiation: 632
Year: 2000  Month: 7  Day: 5  Time: 8  Solar radiation: 669
Year: 2000  Month: 7  Day: 6  Time: 8  Solar radiation: 669
Year: 2000  Month: 7  Day: 7  Time: 8  Solar radiation: 657
Year: 2000  Month: 7  Day: 8  Time: 8  Solar radiation: 657
Year: 2000  Month: 7  Day: 11  Time: 8  Solar radiation: 645
Year: 2000  Month: 7  Day: 12  Time: 8  Solar radiation: 639
Year: 2000  Month: 7  Day: 13  Time: 8  Solar radiation: 646
Year: 2000  Month: 7  Day: 20  Time: 8  Solar radiation: 573
Year: 2000  Month: 8  Day: 5  Time: 8  Solar radiation: 612
Year: 2000  Month: 8  Day: 8  Time: 8  Solar radiation: 644
Year: 2000  Month: 8  Day: 11  Time: 8  Solar radiation: 601
Year: 2000  Month: 8  Day: 19  Time: 8  Solar radiation: 622
Year: 2000  Month: 8  Day: 21  Time: 8  Solar radiation: 585
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
Year: 2000  Month: 5  Day: 31  Time: 8  Solar radiation: 270
Year: 2000  Month: 7  Day: 4  Time: 8  Solar radiation: 280
Year: 2000  Month: 7  Day: 18  Time: 8  Solar radiation: 256
