                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:0.55	-0.57	1.25	1.38	2.77	5.95	5.28	4.76	4.44	4.6	4.87	5.09	
Time:10	12	13	13	13	13	9	10	11	11	11	11	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-2.72	-5.25	-3.31	-3.31	-2.03	-0.43	-0.49	-0.35	-0.62	-0.59	-0.44	-0.49	
Time: 	11	9	10	10	11	9	11	6	6	6	6	7	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2036
===============
No. of wrong lines: 99
==================
Wrong Direct Normal Radiation:
=================================
Year: 1999  Month: 3  Day: 31  Time: 8  Solar radiation: 640
Year: 2002  Month: 4  Day: 3  Time: 8  Solar radiation: 585
Year: 2002  Month: 4  Day: 4  Time: 8  Solar radiation: 592
Year: 2002  Month: 4  Day: 8  Time: 8  Solar radiation: 614
Year: 2002  Month: 4  Day: 17  Time: 8  Solar radiation: 640
Year: 2002  Month: 4  Day: 25  Time: 8  Solar radiation: 658
Year: 2002  Month: 4  Day: 29  Time: 8  Solar radiation: 672
Year: 2002  Month: 4  Day: 30  Time: 8  Solar radiation: 695
Year: 2001  Month: 5  Day: 2  Time: 8  Solar radiation: 650
Year: 2001  Month: 5  Day: 3  Time: 8  Solar radiation: 651
Year: 2001  Month: 5  Day: 6  Time: 8  Solar radiation: 658
Year: 2001  Month: 5  Day: 7  Time: 8  Solar radiation: 658
Year: 2001  Month: 5  Day: 11  Time: 8  Solar radiation: 666
Year: 2001  Month: 5  Day: 12  Time: 8  Solar radiation: 672
Year: 2001  Month: 5  Day: 20  Time: 8  Solar radiation: 668
Year: 2001  Month: 5  Day: 21  Time: 8  Solar radiation: 680
Year: 2001  Month: 5  Day: 22  Time: 7  Solar radiation: 559
Year: 2001  Month: 5  Day: 22  Time: 8  Solar radiation: 674
Year: 2001  Month: 5  Day: 23  Time: 7  Solar radiation: 554
Year: 2001  Month: 5  Day: 23  Time: 8  Solar radiation: 697
Year: 2001  Month: 5  Day: 24  Time: 8  Solar radiation: 628
Year: 2001  Month: 5  Day: 25  Time: 7  Solar radiation: 566
Year: 2001  Month: 5  Day: 25  Time: 8  Solar radiation: 680
Year: 2001  Month: 5  Day: 26  Time: 7  Solar radiation: 560
Year: 2001  Month: 5  Day: 26  Time: 8  Solar radiation: 675
Year: 2001  Month: 5  Day: 31  Time: 7  Solar radiation: 562
Year: 2001  Month: 5  Day: 31  Time: 8  Solar radiation: 675
Year: 2003  Month: 6  Day: 2  Time: 8  Solar radiation: 681
Year: 2003  Month: 6  Day: 3  Time: 7  Solar radiation: 590
Year: 2003  Month: 6  Day: 3  Time: 8  Solar radiation: 699
Year: 2003  Month: 6  Day: 4  Time: 7  Solar radiation: 585
Year: 2003  Month: 6  Day: 4  Time: 8  Solar radiation: 699
Year: 2003  Month: 6  Day: 5  Time: 7  Solar radiation: 585
Year: 2003  Month: 6  Day: 5  Time: 8  Solar radiation: 693
Year: 2003  Month: 6  Day: 6  Time: 7  Solar radiation: 585
Year: 2003  Month: 6  Day: 6  Time: 8  Solar radiation: 693
Year: 2003  Month: 6  Day: 7  Time: 7  Solar radiation: 580
Year: 2003  Month: 6  Day: 7  Time: 8  Solar radiation: 693
Year: 2003  Month: 6  Day: 12  Time: 8  Solar radiation: 688
Year: 2003  Month: 6  Day: 15  Time: 8  Solar radiation: 613
