                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:4.23	6.1	11.57	12.35	20.55	19.23	20.54	19.75	19.04	19.07	22.34	21.82	
Time:13	12	13	14	12	14	13	13	14	13	13	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-6.25	-5.28	0.34	0.04	5.05	5.51	7.16	6.97	6.6	9.51	12.06	11.51	
Time: 	11	9	7	9	4	12	10	11	11	8	8	8	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2850
===============
No. of wrong lines: 50
==================
Wrong Direct Normal Radiation:
=================================
Year: 1964  Month: 3  Day: 23  Time: 8  Solar radiation: 651
Year: 1967  Month: 4  Day: 2  Time: 8  Solar radiation: 604
Year: 1967  Month: 4  Day: 18  Time: 8  Solar radiation: 646
Year: 1967  Month: 4  Day: 20  Time: 8  Solar radiation: 624
Year: 1956  Month: 5  Day: 9  Time: 8  Solar radiation: 664
Year: 1956  Month: 5  Day: 14  Time: 8  Solar radiation: 602
Year: 1956  Month: 5  Day: 18  Time: 8  Solar radiation: 633
Year: 1968  Month: 6  Day: 6  Time: 8  Solar radiation: 728
Year: 1968  Month: 6  Day: 7  Time: 8  Solar radiation: 604
Year: 1968  Month: 6  Day: 14  Time: 8  Solar radiation: 554
Year: 1968  Month: 6  Day: 18  Time: 8  Solar radiation: 668
Year: 1968  Month: 6  Day: 19  Time: 8  Solar radiation: 566
Year: 1968  Month: 6  Day: 20  Time: 8  Solar radiation: 604
Year: 1968  Month: 6  Day: 21  Time: 8  Solar radiation: 695
Year: 1968  Month: 6  Day: 22  Time: 8  Solar radiation: 673
Year: 1968  Month: 6  Day: 30  Time: 8  Solar radiation: 614
Year: 1973  Month: 7  Day: 12  Time: 8  Solar radiation: 626
Year: 1973  Month: 7  Day: 13  Time: 8  Solar radiation: 555
Year: 1965  Month: 8  Day: 2  Time: 8  Solar radiation: 698
Year: 1965  Month: 8  Day: 3  Time: 8  Solar radiation: 717
Year: 1965  Month: 8  Day: 4  Time: 8  Solar radiation: 724
Year: 1965  Month: 8  Day: 7  Time: 8  Solar radiation: 701
Year: 1965  Month: 8  Day: 10  Time: 8  Solar radiation: 565
Year: 1965  Month: 8  Day: 13  Time: 8  Solar radiation: 688
Year: 1965  Month: 8  Day: 19  Time: 8  Solar radiation: 621
Year: 1973  Month: 9  Day: 7  Time: 8  Solar radiation: 606
Year: 1973  Month: 9  Day: 19  Time: 8  Solar radiation: 612
Year: 1973  Month: 9  Day: 20  Time: 8  Solar radiation: 586
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
Year: 1967  Month: 4  Day: 12  Time: 8  Solar radiation: 252
Year: 1956  Month: 5  Day: 19  Time: 8  Solar radiation: 283
Year: 1956  Month: 5  Day: 21  Time: 8  Solar radiation: 268
Year: 1956  Month: 5  Day: 22  Time: 8  Solar radiation: 303
Year: 1956  Month: 5  Day: 25  Time: 8  Solar radiation: 273
Year: 1956  Month: 5  Day: 31  Time: 8  Solar radiation: 290
Year: 1968  Month: 6  Day: 3  Time: 8  Solar radiation: 267
Year: 1968  Month: 6  Day: 4  Time: 8  Solar radiation: 268
Year: 1968  Month: 6  Day: 5  Time: 8  Solar radiation: 252
Year: 1968  Month: 6  Day: 13  Time: 8  Solar radiation: 327
Year: 1968  Month: 6  Day: 25  Time: 8  Solar radiation: 264
Year: 1968  Month: 6  Day: 26  Time: 8  Solar radiation: 255
Year: 1968  Month: 6  Day: 28  Time: 8  Solar radiation: 332
Year: 1973  Month: 7  Day: 4  Time: 8  Solar radiation: 315
Year: 1973  Month: 7  Day: 5  Time: 8  Solar radiation: 260
Year: 1973  Month: 7  Day: 14  Time: 8  Solar radiation: 288
Year: 1973  Month: 7  Day: 16  Time: 8  Solar radiation: 299
Year: 1973  Month: 7  Day: 20  Time: 8  Solar radiation: 311
Year: 1973  Month: 7  Day: 24  Time: 8  Solar radiation: 253
Year: 1973  Month: 7  Day: 30  Time: 8  Solar radiation: 263
Year: 1973  Month: 7  Day: 31  Time: 8  Solar radiation: 302
Year: 1965  Month: 8  Day: 20  Time: 8  Solar radiation: 251
