                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:10.86	11.59	11.88	14.58	16.32	13.05	18.58	19.08	19.95	19.96	21.01	27.6	
Time:13	13	13	13	12	12	13	13	13	13	14	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:3.22	2.89	2.89	4.92	6.13	4.86	9.33	9.86	10.8	10.78	11.29	19.61	
Time: 	8	10	10	7	8	9	8	7	7	8	8	7	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2584
===============
No. of wrong lines: 40
==================
Wrong Direct Normal Radiation:
=================================
Year: 1997  Month: 2  Day: 28  Time: 8  Solar radiation: 568
Year: 1991  Month: 3  Day: 12  Time: 8  Solar radiation: 638
Year: 2002  Month: 4  Day: 10  Time: 8  Solar radiation: 592
Year: 2002  Month: 4  Day: 17  Time: 8  Solar radiation: 600
Year: 2002  Month: 4  Day: 18  Time: 8  Solar radiation: 631
Year: 2002  Month: 4  Day: 23  Time: 8  Solar radiation: 553
Year: 2002  Month: 4  Day: 25  Time: 8  Solar radiation: 552
Year: 2003  Month: 5  Day: 12  Time: 8  Solar radiation: 653
Year: 2003  Month: 5  Day: 13  Time: 8  Solar radiation: 572
Year: 2003  Month: 5  Day: 22  Time: 8  Solar radiation: 626
Year: 2003  Month: 5  Day: 24  Time: 8  Solar radiation: 632
Year: 2003  Month: 5  Day: 26  Time: 8  Solar radiation: 558
Year: 2003  Month: 5  Day: 27  Time: 8  Solar radiation: 558
Year: 2003  Month: 5  Day: 28  Time: 8  Solar radiation: 576
Year: 2003  Month: 5  Day: 29  Time: 8  Solar radiation: 558
Year: 2003  Month: 5  Day: 31  Time: 8  Solar radiation: 607
Year: 1999  Month: 6  Day: 3  Time: 8  Solar radiation: 551
Year: 1999  Month: 6  Day: 5  Time: 8  Solar radiation: 607
Year: 1999  Month: 6  Day: 6  Time: 8  Solar radiation: 570
Year: 1999  Month: 6  Day: 16  Time: 8  Solar radiation: 638
Year: 1999  Month: 6  Day: 18  Time: 8  Solar radiation: 551
Year: 1999  Month: 6  Day: 19  Time: 8  Solar radiation: 570
Year: 2002  Month: 7  Day: 9  Time: 8  Solar radiation: 578
Year: 2002  Month: 7  Day: 22  Time: 8  Solar radiation: 567
Year: 2002  Month: 7  Day: 24  Time: 8  Solar radiation: 555
Year: 1996  Month: 8  Day: 2  Time: 8  Solar radiation: 703
Year: 1996  Month: 8  Day: 3  Time: 8  Solar radiation: 676
Year: 1996  Month: 8  Day: 10  Time: 8  Solar radiation: 629
Year: 1996  Month: 8  Day: 11  Time: 8  Solar radiation: 609
Year: 1996  Month: 8  Day: 13  Time: 8  Solar radiation: 612
Year: 1996  Month: 8  Day: 14  Time: 8  Solar radiation: 669
Year: 1996  Month: 8  Day: 15  Time: 8  Solar radiation: 623
Year: 1996  Month: 8  Day: 19  Time: 8  Solar radiation: 626
Year: 1996  Month: 8  Day: 21  Time: 8  Solar radiation: 679
Year: 1996  Month: 8  Day: 23  Time: 8  Solar radiation: 582
Year: 1996  Month: 8  Day: 24  Time: 8  Solar radiation: 644
Year: 1996  Month: 8  Day: 26  Time: 8  Solar radiation: 645
Year: 1996  Month: 8  Day: 28  Time: 8  Solar radiation: 669
Year: 1996  Month: 8  Day: 29  Time: 8  Solar radiation: 691
Year: 1996  Month: 8  Day: 30  Time: 8  Solar radiation: 612
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
