                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:0.38	4.51	8.38	8.77	3.3	11.22	12.86	14.27	13.59	13.56	13.65	13.46	
Time:13	14	13	14	8	13	13	14	14	14	14	14	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-4.4	-1.66	-0.86	-0.89	-0.3	-0.44	0.24	1.99	2.19	2.34	2.34	2.05	
Time: 	8	7	7	7	6	8	7	7	8	7	7	8	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2828
===============
No. of wrong lines: 178
==================
Wrong Direct Normal Radiation:
=================================
Year: 1967  Month: 3  Day: 30  Time: 8  Solar radiation: 675
Year: 1976  Month: 4  Day: 1  Time: 8  Solar radiation: 717
Year: 1976  Month: 4  Day: 5  Time: 8  Solar radiation: 717
Year: 1976  Month: 4  Day: 7  Time: 8  Solar radiation: 581
Year: 1976  Month: 4  Day: 12  Time: 8  Solar radiation: 711
Year: 1976  Month: 4  Day: 16  Time: 8  Solar radiation: 560
Year: 1976  Month: 4  Day: 18  Time: 7  Solar radiation: 619
Year: 1976  Month: 4  Day: 18  Time: 8  Solar radiation: 628
Year: 1976  Month: 4  Day: 19  Time: 7  Solar radiation: 655
Year: 1976  Month: 4  Day: 19  Time: 8  Solar radiation: 728
Year: 1976  Month: 4  Day: 23  Time: 8  Solar radiation: 639
Year: 1976  Month: 4  Day: 25  Time: 7  Solar radiation: 622
Year: 1976  Month: 4  Day: 25  Time: 8  Solar radiation: 735
Year: 1976  Month: 4  Day: 26  Time: 7  Solar radiation: 674
Year: 1976  Month: 4  Day: 26  Time: 8  Solar radiation: 766
Year: 1976  Month: 4  Day: 27  Time: 8  Solar radiation: 789
Year: 1976  Month: 4  Day: 28  Time: 7  Solar radiation: 689
Year: 1976  Month: 4  Day: 28  Time: 8  Solar radiation: 754
Year: 1976  Month: 4  Day: 29  Time: 7  Solar radiation: 668
Year: 1976  Month: 4  Day: 29  Time: 8  Solar radiation: 789
Year: 1976  Month: 4  Day: 30  Time: 7  Solar radiation: 651
Year: 1976  Month: 4  Day: 30  Time: 8  Solar radiation: 764
Year: 1988  Month: 5  Day: 4  Time: 8  Solar radiation: 698
Year: 1988  Month: 5  Day: 5  Time: 7  Solar radiation: 645
Year: 1988  Month: 5  Day: 5  Time: 8  Solar radiation: 781
Year: 1988  Month: 5  Day: 8  Time: 7  Solar radiation: 669
Year: 1988  Month: 5  Day: 8  Time: 8  Solar radiation: 786
Year: 1988  Month: 5  Day: 9  Time: 7  Solar radiation: 686
Year: 1988  Month: 5  Day: 9  Time: 8  Solar radiation: 767
Year: 1988  Month: 5  Day: 10  Time: 7  Solar radiation: 689
Year: 1988  Month: 5  Day: 10  Time: 8  Solar radiation: 771
