                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:2.2	1.17	6.64	6.14	7.31	10.06	9.28	10.12	10.97	11.15	11.63	12.48	
Time:14	14	14	14	14	14	14	14	13	13	13	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-2.58	-3.37	-0.55	-1.02	1.46	1.94	0.93	2.25	3.76	3.76	3.68	3.66	
Time: 	11	9	10	11	4	4	6	5	10	10	10	9	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 3173
===============
No. of wrong lines: 52
==================
Wrong Direct Normal Radiation:
=================================
Year: 2005  Month: 3  Day: 21  Time: 8  Solar radiation: 664
Year: 2005  Month: 4  Day: 9  Time: 8  Solar radiation: 661
Year: 2005  Month: 4  Day: 14  Time: 8  Solar radiation: 665
Year: 2005  Month: 4  Day: 18  Time: 8  Solar radiation: 670
Year: 2005  Month: 5  Day: 11  Time: 7  Solar radiation: 597
Year: 2005  Month: 5  Day: 11  Time: 8  Solar radiation: 712
Year: 2005  Month: 6  Day: 6  Time: 7  Solar radiation: 657
Year: 2005  Month: 6  Day: 12  Time: 7  Solar radiation: 666
Year: 2005  Month: 6  Day: 12  Time: 8  Solar radiation: 735
Year: 2005  Month: 6  Day: 25  Time: 7  Solar radiation: 688
Year: 2005  Month: 6  Day: 25  Time: 8  Solar radiation: 733
Year: 2005  Month: 7  Day: 3  Time: 7  Solar radiation: 690
Year: 2005  Month: 7  Day: 3  Time: 8  Solar radiation: 732
Year: 2005  Month: 7  Day: 28  Time: 7  Solar radiation: 643
Year: 2005  Month: 7  Day: 29  Time: 7  Solar radiation: 638
Year: 2005  Month: 7  Day: 29  Time: 8  Solar radiation: 725
Year: 2005  Month: 7  Day: 31  Time: 7  Solar radiation: 629
Year: 2005  Month: 7  Day: 31  Time: 8  Solar radiation: 724
Year: 2005  Month: 8  Day: 7  Time: 7  Solar radiation: 600
Year: 2005  Month: 8  Day: 14  Time: 7  Solar radiation: 554
Year: 2005  Month: 8  Day: 17  Time: 8  Solar radiation: 666
Year: 2005  Month: 9  Day: 5  Time: 8  Solar radiation: 554
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
Year: 2005  Month: 5  Day: 12  Time: 8  Solar radiation: 254
Year: 2005  Month: 5  Day: 14  Time: 8  Solar radiation: 255
Year: 2005  Month: 5  Day: 17  Time: 8  Solar radiation: 259
Year: 2005  Month: 5  Day: 18  Time: 8  Solar radiation: 261
Year: 2005  Month: 5  Day: 22  Time: 8  Solar radiation: 265
Year: 2005  Month: 5  Day: 23  Time: 8  Solar radiation: 254
Year: 2005  Month: 5  Day: 25  Time: 8  Solar radiation: 256
Year: 2005  Month: 5  Day: 30  Time: 8  Solar radiation: 271
Year: 2005  Month: 5  Day: 31  Time: 8  Solar radiation: 261
Year: 2005  Month: 6  Day: 1  Time: 8  Solar radiation: 265
Year: 2005  Month: 6  Day: 2  Time: 8  Solar radiation: 272
Year: 2005  Month: 6  Day: 3  Time: 8  Solar radiation: 266
Year: 2005  Month: 6  Day: 4  Time: 8  Solar radiation: 273
Year: 2005  Month: 6  Day: 8  Time: 8  Solar radiation: 265
Year: 2005  Month: 6  Day: 9  Time: 8  Solar radiation: 267
Year: 2005  Month: 6  Day: 11  Time: 8  Solar radiation: 257
Year: 2005  Month: 6  Day: 14  Time: 8  Solar radiation: 266
Year: 2005  Month: 6  Day: 18  Time: 8  Solar radiation: 267
Year: 2005  Month: 6  Day: 19  Time: 8  Solar radiation: 275
Year: 2005  Month: 6  Day: 20  Time: 8  Solar radiation: 277
Year: 2005  Month: 6  Day: 22  Time: 8  Solar radiation: 256
Year: 2005  Month: 6  Day: 24  Time: 8  Solar radiation: 255
Year: 2005  Month: 6  Day: 26  Time: 8  Solar radiation: 255
Year: 2005  Month: 6  Day: 28  Time: 8  Solar radiation: 275
Year: 2005  Month: 7  Day: 1  Time: 8  Solar radiation: 272
Year: 2005  Month: 7  Day: 2  Time: 8  Solar radiation: 262
Year: 2005  Month: 7  Day: 4  Time: 8  Solar radiation: 272
Year: 2005  Month: 7  Day: 8  Time: 8  Solar radiation: 260
Year: 2005  Month: 7  Day: 9  Time: 8  Solar radiation: 267
Year: 2005  Month: 7  Day: 15  Time: 8  Solar radiation: 264
Year: 2005  Month: 7  Day: 16  Time: 8  Solar radiation: 262
Year: 2005  Month: 7  Day: 19  Time: 8  Solar radiation: 260
Year: 2005  Month: 7  Day: 23  Time: 8  Solar radiation: 256
