                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:6.55	10.7	16.23	17.53	10.55	18.92	20.09	21.21	21.35	21.76	21.68	22.6	
Time:13	14	12	12	5	12	11	12	12	13	13	11	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-5.01	-1.26	3.19	4.29	3.65	5.32	6.29	8.61	8.81	9.19	9.23	12.9	
Time: 	10	9	10	10	15	10	10	8	9	9	9	6	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2819
===============
No. of wrong lines: 42
==================
Wrong Direct Normal Radiation:
=================================
Year: 1976  Month: 3  Day: 23  Time: 8  Solar radiation: 582
Year: 1971  Month: 4  Day: 2  Time: 8  Solar radiation: 719
Year: 1971  Month: 4  Day: 11  Time: 8  Solar radiation: 555
Year: 1971  Month: 4  Day: 14  Time: 8  Solar radiation: 679
Year: 1971  Month: 4  Day: 21  Time: 8  Solar radiation: 651
Year: 1971  Month: 4  Day: 24  Time: 8  Solar radiation: 679
Year: 1971  Month: 4  Day: 28  Time: 8  Solar radiation: 624
Year: 1969  Month: 5  Day: 2  Time: 8  Solar radiation: 736
Year: 1969  Month: 5  Day: 4  Time: 8  Solar radiation: 565
Year: 1969  Month: 5  Day: 26  Time: 8  Solar radiation: 574
Year: 1969  Month: 5  Day: 27  Time: 8  Solar radiation: 580
Year: 1969  Month: 5  Day: 28  Time: 8  Solar radiation: 698
Year: 1969  Month: 5  Day: 29  Time: 8  Solar radiation: 579
Year: 1970  Month: 6  Day: 7  Time: 8  Solar radiation: 648
Year: 1970  Month: 6  Day: 8  Time: 7  Solar radiation: 564
Year: 1970  Month: 6  Day: 8  Time: 8  Solar radiation: 702
Year: 1970  Month: 6  Day: 16  Time: 8  Solar radiation: 665
Year: 1970  Month: 6  Day: 17  Time: 8  Solar radiation: 637
Year: 1970  Month: 6  Day: 26  Time: 8  Solar radiation: 623
Year: 1970  Month: 6  Day: 29  Time: 8  Solar radiation: 730
Year: 1965  Month: 7  Day: 1  Time: 8  Solar radiation: 615
Year: 1965  Month: 7  Day: 10  Time: 8  Solar radiation: 611
Year: 1965  Month: 7  Day: 12  Time: 8  Solar radiation: 673
Year: 1965  Month: 7  Day: 13  Time: 8  Solar radiation: 663
Year: 1965  Month: 7  Day: 23  Time: 8  Solar radiation: 665
Year: 1965  Month: 7  Day: 30  Time: 8  Solar radiation: 572
Year: 1972  Month: 8  Day: 12  Time: 8  Solar radiation: 588
Year: 1972  Month: 8  Day: 16  Time: 8  Solar radiation: 648
Year: 1972  Month: 8  Day: 18  Time: 8  Solar radiation: 702
Year: 1972  Month: 8  Day: 19  Time: 8  Solar radiation: 609
Year: 1972  Month: 8  Day: 20  Time: 8  Solar radiation: 630
Year: 1972  Month: 8  Day: 21  Time: 8  Solar radiation: 661
Year: 1972  Month: 8  Day: 28  Time: 8  Solar radiation: 583
Year: 1961  Month: 9  Day: 1  Time: 8  Solar radiation: 602
Year: 1961  Month: 9  Day: 2  Time: 8  Solar radiation: 664
Year: 1961  Month: 9  Day: 8  Time: 8  Solar radiation: 671
Year: 1961  Month: 9  Day: 10  Time: 8  Solar radiation: 643
Year: 1961  Month: 9  Day: 18  Time: 8  Solar radiation: 571
Year: 1961  Month: 9  Day: 19  Time: 8  Solar radiation: 668
Year: 1967  Month: 10  Day: 1  Time: 8  Solar radiation: 554
Year: 1967  Month: 10  Day: 3  Time: 8  Solar radiation: 602
Year: 1967  Month: 10  Day: 8  Time: 8  Solar radiation: 620
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
