                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-2.87	4.82	12.11	13.0	6.25	7.38	8.42	9.13	10.27	10.5	11.41	12.18	
Time:11	13	13	13	11	12	12	12	12	13	13	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-10.43	-4.75	-0.5	-0.42	-1.64	-1.56	-1.31	-1.14	0.01	0.09	0.72	1.04	
Time: 	8	10	8	7	7	7	7	6	7	7	7	7	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2307
===============
No. of wrong lines: 44
==================
Wrong Direct Normal Radiation:
=================================
Year: 2000  Month: 3  Day: 28  Time: 8  Solar radiation: 588
Year: 1997  Month: 4  Day: 14  Time: 8  Solar radiation: 627
Year: 1997  Month: 4  Day: 17  Time: 8  Solar radiation: 613
Year: 1997  Month: 4  Day: 18  Time: 8  Solar radiation: 607
Year: 1997  Month: 4  Day: 19  Time: 8  Solar radiation: 651
Year: 1997  Month: 4  Day: 24  Time: 8  Solar radiation: 701
Year: 1997  Month: 4  Day: 25  Time: 8  Solar radiation: 716
Year: 1997  Month: 4  Day: 28  Time: 8  Solar radiation: 685
Year: 1999  Month: 5  Day: 13  Time: 8  Solar radiation: 593
Year: 1999  Month: 5  Day: 18  Time: 8  Solar radiation: 642
Year: 1999  Month: 5  Day: 19  Time: 8  Solar radiation: 598
Year: 1999  Month: 5  Day: 24  Time: 8  Solar radiation: 628
Year: 1999  Month: 5  Day: 25  Time: 8  Solar radiation: 653
Year: 1999  Month: 5  Day: 26  Time: 8  Solar radiation: 615
Year: 1999  Month: 5  Day: 27  Time: 8  Solar radiation: 640
Year: 1999  Month: 5  Day: 29  Time: 8  Solar radiation: 627
Year: 1999  Month: 5  Day: 30  Time: 8  Solar radiation: 565
Year: 1999  Month: 6  Day: 2  Time: 8  Solar radiation: 646
Year: 1999  Month: 6  Day: 7  Time: 8  Solar radiation: 658
Year: 1999  Month: 6  Day: 8  Time: 8  Solar radiation: 558
Year: 1999  Month: 6  Day: 14  Time: 8  Solar radiation: 627
Year: 1999  Month: 6  Day: 17  Time: 8  Solar radiation: 627
Year: 1999  Month: 6  Day: 25  Time: 8  Solar radiation: 584
Year: 1999  Month: 6  Day: 26  Time: 8  Solar radiation: 590
Year: 2001  Month: 7  Day: 4  Time: 8  Solar radiation: 603
Year: 2001  Month: 7  Day: 5  Time: 8  Solar radiation: 616
Year: 2001  Month: 7  Day: 9  Time: 8  Solar radiation: 604
Year: 2001  Month: 7  Day: 13  Time: 8  Solar radiation: 605
Year: 2001  Month: 7  Day: 14  Time: 8  Solar radiation: 580
Year: 2001  Month: 7  Day: 21  Time: 8  Solar radiation: 607
Year: 2001  Month: 7  Day: 31  Time: 8  Solar radiation: 572
Year: 2003  Month: 8  Day: 2  Time: 8  Solar radiation: 591
Year: 2003  Month: 8  Day: 3  Time: 8  Solar radiation: 604
Year: 2003  Month: 8  Day: 5  Time: 8  Solar radiation: 593
Year: 2003  Month: 8  Day: 7  Time: 8  Solar radiation: 574
Year: 2003  Month: 8  Day: 12  Time: 8  Solar radiation: 557
Year: 2003  Month: 8  Day: 13  Time: 8  Solar radiation: 577
Year: 2003  Month: 8  Day: 15  Time: 8  Solar radiation: 559
Year: 1997  Month: 9  Day: 4  Time: 8  Solar radiation: 660
Year: 1997  Month: 9  Day: 10  Time: 8  Solar radiation: 609
Year: 1997  Month: 9  Day: 12  Time: 8  Solar radiation: 558
Year: 1997  Month: 9  Day: 25  Time: 8  Solar radiation: 585
Year: 1997  Month: 9  Day: 26  Time: 8  Solar radiation: 623
Year: 1997  Month: 9  Day: 29  Time: 8  Solar radiation: 604
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
