                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-1.5	-2.42	0.86	1.22	4.22	3.77	3.76	3.89	4.64	6.3	6.32	7.07	
Time:11	13	12	12	12	12	12	13	13	13	13	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-11.12	-13.85	-7.55	-7.24	-4.04	-4.33	-3.58	-3.58	-3.58	-2.43	-2.43	-2.28	
Time: 	12	12	11	12	11	13	11	11	10	9	9	10	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2307
===============
No. of wrong lines: 55
==================
Wrong Direct Normal Radiation:
=================================
Year: 1964  Month: 3  Day: 29  Time: 8  Solar radiation: 641
Year: 1970  Month: 4  Day: 8  Time: 8  Solar radiation: 672
Year: 1970  Month: 4  Day: 9  Time: 8  Solar radiation: 594
Year: 1970  Month: 4  Day: 14  Time: 7  Solar radiation: 599
Year: 1970  Month: 4  Day: 14  Time: 8  Solar radiation: 764
Year: 1970  Month: 4  Day: 16  Time: 8  Solar radiation: 686
Year: 1970  Month: 4  Day: 26  Time: 7  Solar radiation: 654
Year: 1970  Month: 4  Day: 26  Time: 8  Solar radiation: 862
Year: 1970  Month: 4  Day: 29  Time: 8  Solar radiation: 876
Year: 1970  Month: 4  Day: 30  Time: 7  Solar radiation: 681
Year: 1970  Month: 4  Day: 30  Time: 8  Solar radiation: 791
Year: 1969  Month: 5  Day: 5  Time: 8  Solar radiation: 893
Year: 1969  Month: 5  Day: 11  Time: 8  Solar radiation: 879
Year: 1969  Month: 5  Day: 13  Time: 8  Solar radiation: 704
Year: 1969  Month: 5  Day: 16  Time: 7  Solar radiation: 792
Year: 1969  Month: 5  Day: 16  Time: 8  Solar radiation: 797
Year: 1969  Month: 5  Day: 17  Time: 8  Solar radiation: 703
Year: 1969  Month: 5  Day: 27  Time: 7  Solar radiation: 642
Year: 1969  Month: 5  Day: 27  Time: 8  Solar radiation: 712
Year: 1969  Month: 5  Day: 28  Time: 8  Solar radiation: 804
Year: 1969  Month: 5  Day: 29  Time: 8  Solar radiation: 621
Year: 1969  Month: 5  Day: 30  Time: 7  Solar radiation: 646
Year: 1970  Month: 6  Day: 9  Time: 7  Solar radiation: 713
Year: 1970  Month: 6  Day: 9  Time: 8  Solar radiation: 611
Year: 1970  Month: 6  Day: 10  Time: 6  Solar radiation: 610
Year: 1970  Month: 6  Day: 10  Time: 7  Solar radiation: 710
Year: 1970  Month: 6  Day: 10  Time: 8  Solar radiation: 786
Year: 1970  Month: 6  Day: 14  Time: 7  Solar radiation: 729
Year: 1970  Month: 6  Day: 15  Time: 7  Solar radiation: 714
Year: 1970  Month: 6  Day: 15  Time: 8  Solar radiation: 702
Year: 1970  Month: 6  Day: 21  Time: 7  Solar radiation: 709
Year: 1970  Month: 6  Day: 21  Time: 8  Solar radiation: 697
Year: 1970  Month: 6  Day: 29  Time: 7  Solar radiation: 708
Year: 1970  Month: 6  Day: 29  Time: 8  Solar radiation: 695
Year: 1976  Month: 7  Day: 7  Time: 7  Solar radiation: 760
Year: 1976  Month: 7  Day: 7  Time: 8  Solar radiation: 853
Year: 1976  Month: 7  Day: 19  Time: 8  Solar radiation: 593
Year: 1976  Month: 7  Day: 22  Time: 8  Solar radiation: 671
Year: 1976  Month: 7  Day: 23  Time: 7  Solar radiation: 601
Year: 1976  Month: 7  Day: 23  Time: 8  Solar radiation: 598
Year: 1976  Month: 7  Day: 26  Time: 8  Solar radiation: 683
Year: 1976  Month: 7  Day: 29  Time: 8  Solar radiation: 673
Year: 1962  Month: 8  Day: 3  Time: 8  Solar radiation: 586
Year: 1962  Month: 8  Day: 4  Time: 8  Solar radiation: 749
Year: 1962  Month: 8  Day: 16  Time: 8  Solar radiation: 828
Year: 1962  Month: 8  Day: 25  Time: 7  Solar radiation: 582
Year: 1962  Month: 8  Day: 25  Time: 8  Solar radiation: 651
Year: 1967  Month: 9  Day: 7  Time: 8  Solar radiation: 564
Year: 1967  Month: 9  Day: 9  Time: 8  Solar radiation: 631
Year: 1967  Month: 9  Day: 12  Time: 8  Solar radiation: 800
Year: 1967  Month: 9  Day: 13  Time: 8  Solar radiation: 712
Year: 1967  Month: 9  Day: 15  Time: 8  Solar radiation: 775
Year: 1967  Month: 9  Day: 20  Time: 8  Solar radiation: 776
Year: 1967  Month: 9  Day: 21  Time: 8  Solar radiation: 690
Year: 1966  Month: 10  Day: 3  Time: 8  Solar radiation: 659
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
