                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:16.9	17.26	14.57	16.17	16.4	16.46	16.5	16.73	18.15	18.82	20.46	21.02	
Time:13	13	14	14	13	13	14	14	14	14	14	14	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:3.51	3.51	4.18	5.51	5.81	5.83	7.17	7.25	8.08	8.28	9.01	9.33	
Time: 	7	7	9	8	8	7	8	7	7	6	6	6	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2706
===============
No. of wrong lines: 250
==================
Wrong Direct Normal Radiation:
=================================
Year: 1998  Month: 1  Day: 31  Time: 8  Solar radiation: 564
Year: 2003  Month: 2  Day: 15  Time: 8  Solar radiation: 669
Year: 2003  Month: 2  Day: 22  Time: 8  Solar radiation: 579
Year: 2003  Month: 2  Day: 26  Time: 8  Solar radiation: 717
Year: 2001  Month: 3  Day: 11  Time: 8  Solar radiation: 619
Year: 2001  Month: 3  Day: 13  Time: 8  Solar radiation: 741
Year: 2001  Month: 3  Day: 17  Time: 8  Solar radiation: 780
Year: 2001  Month: 3  Day: 19  Time: 8  Solar radiation: 696
Year: 2001  Month: 3  Day: 23  Time: 8  Solar radiation: 756
Year: 2001  Month: 3  Day: 25  Time: 8  Solar radiation: 637
Year: 2001  Month: 3  Day: 26  Time: 8  Solar radiation: 660
Year: 2001  Month: 3  Day: 28  Time: 8  Solar radiation: 740
Year: 2001  Month: 3  Day: 29  Time: 7  Solar radiation: 574
Year: 2001  Month: 3  Day: 29  Time: 8  Solar radiation: 725
Year: 2001  Month: 3  Day: 31  Time: 8  Solar radiation: 682
Year: 2004  Month: 4  Day: 1  Time: 8  Solar radiation: 694
Year: 2004  Month: 4  Day: 5  Time: 8  Solar radiation: 776
Year: 2004  Month: 4  Day: 6  Time: 8  Solar radiation: 698
Year: 2004  Month: 4  Day: 7  Time: 8  Solar radiation: 620
Year: 2004  Month: 4  Day: 8  Time: 8  Solar radiation: 638
Year: 2004  Month: 4  Day: 9  Time: 8  Solar radiation: 751
Year: 2004  Month: 4  Day: 10  Time: 8  Solar radiation: 662
Year: 2004  Month: 4  Day: 11  Time: 8  Solar radiation: 776
Year: 2004  Month: 4  Day: 12  Time: 8  Solar radiation: 725
Year: 2004  Month: 4  Day: 13  Time: 8  Solar radiation: 760
Year: 2004  Month: 4  Day: 14  Time: 8  Solar radiation: 715
Year: 2004  Month: 4  Day: 15  Time: 8  Solar radiation: 767
Year: 2004  Month: 4  Day: 16  Time: 8  Solar radiation: 659
Year: 2004  Month: 4  Day: 17  Time: 8  Solar radiation: 802
Year: 2004  Month: 4  Day: 18  Time: 8  Solar radiation: 723
Year: 2004  Month: 4  Day: 19  Time: 8  Solar radiation: 741
Year: 2004  Month: 4  Day: 20  Time: 8  Solar radiation: 627
Year: 2004  Month: 4  Day: 21  Time: 8  Solar radiation: 605
Year: 2004  Month: 4  Day: 23  Time: 8  Solar radiation: 588
Year: 2004  Month: 4  Day: 24  Time: 7  Solar radiation: 603
Year: 2004  Month: 4  Day: 24  Time: 8  Solar radiation: 743
Year: 2004  Month: 4  Day: 25  Time: 8  Solar radiation: 721
Year: 2004  Month: 4  Day: 26  Time: 8  Solar radiation: 732
Year: 2004  Month: 4  Day: 27  Time: 8  Solar radiation: 784
Year: 2004  Month: 4  Day: 28  Time: 8  Solar radiation: 682
Year: 2004  Month: 4  Day: 30  Time: 8  Solar radiation: 803
Year: 2002  Month: 5  Day: 2  Time: 7  Solar radiation: 584
Year: 2002  Month: 5  Day: 2  Time: 8  Solar radiation: 780
Year: 2002  Month: 5  Day: 3  Time: 8  Solar radiation: 832
Year: 2002  Month: 5  Day: 4  Time: 8  Solar radiation: 821
Year: 2002  Month: 5  Day: 5  Time: 8  Solar radiation: 753
Year: 2002  Month: 5  Day: 6  Time: 8  Solar radiation: 833
