                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:5.61	7.99	8.39	9.56	3.3	6.65	10.76	10.67	10.8	10.8	10.85	11.24	
Time:13	11	13	13	8	12	13	13	13	13	13	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:0.65	1.98	1.71	2.43	-0.3	-0.7	1.38	3.88	3.88	3.9	3.9	4.1	
Time: 	9	7	9	9	6	3	4	9	9	9	9	9	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2375
===============
No. of wrong lines: 71
==================
Wrong Direct Normal Radiation:
=================================
Year: 1966  Month: 3  Day: 26  Time: 8  Solar radiation: 589
Year: 1976  Month: 4  Day: 1  Time: 8  Solar radiation: 636
Year: 1976  Month: 4  Day: 2  Time: 8  Solar radiation: 608
Year: 1976  Month: 4  Day: 5  Time: 8  Solar radiation: 614
Year: 1976  Month: 4  Day: 22  Time: 7  Solar radiation: 567
Year: 1976  Month: 4  Day: 22  Time: 8  Solar radiation: 769
Year: 1976  Month: 4  Day: 26  Time: 7  Solar radiation: 648
Year: 1976  Month: 4  Day: 26  Time: 8  Solar radiation: 819
Year: 1976  Month: 4  Day: 28  Time: 7  Solar radiation: 704
Year: 1976  Month: 4  Day: 28  Time: 8  Solar radiation: 806
Year: 1976  Month: 4  Day: 29  Time: 8  Solar radiation: 813
Year: 1971  Month: 5  Day: 6  Time: 8  Solar radiation: 587
Year: 1971  Month: 5  Day: 7  Time: 8  Solar radiation: 711
Year: 1971  Month: 5  Day: 11  Time: 8  Solar radiation: 682
Year: 1971  Month: 5  Day: 14  Time: 7  Solar radiation: 636
Year: 1971  Month: 5  Day: 14  Time: 8  Solar radiation: 781
Year: 1971  Month: 5  Day: 27  Time: 7  Solar radiation: 600
Year: 1971  Month: 5  Day: 27  Time: 8  Solar radiation: 696
Year: 1971  Month: 5  Day: 28  Time: 8  Solar radiation: 645
Year: 1960  Month: 6  Day: 4  Time: 6  Solar radiation: 617
Year: 1960  Month: 6  Day: 4  Time: 7  Solar radiation: 783
Year: 1960  Month: 6  Day: 4  Time: 8  Solar radiation: 842
Year: 1960  Month: 6  Day: 6  Time: 8  Solar radiation: 772
Year: 1960  Month: 6  Day: 7  Time: 8  Solar radiation: 849
Year: 1960  Month: 6  Day: 8  Time: 7  Solar radiation: 694
Year: 1960  Month: 6  Day: 8  Time: 8  Solar radiation: 828
Year: 1960  Month: 6  Day: 9  Time: 7  Solar radiation: 722
Year: 1960  Month: 6  Day: 9  Time: 8  Solar radiation: 819
Year: 1960  Month: 6  Day: 12  Time: 8  Solar radiation: 594
Year: 1960  Month: 6  Day: 16  Time: 8  Solar radiation: 705
Year: 1960  Month: 6  Day: 22  Time: 7  Solar radiation: 656
Year: 1960  Month: 6  Day: 22  Time: 8  Solar radiation: 770
Year: 1960  Month: 6  Day: 23  Time: 7  Solar radiation: 616
Year: 1960  Month: 6  Day: 23  Time: 8  Solar radiation: 717
Year: 1960  Month: 6  Day: 28  Time: 7  Solar radiation: 615
Year: 1960  Month: 6  Day: 28  Time: 8  Solar radiation: 762
Year: 1960  Month: 6  Day: 29  Time: 7  Solar radiation: 586
Year: 1960  Month: 6  Day: 29  Time: 8  Solar radiation: 770
Year: 1967  Month: 7  Day: 1  Time: 7  Solar radiation: 697
Year: 1967  Month: 7  Day: 1  Time: 8  Solar radiation: 825
Year: 1967  Month: 7  Day: 3  Time: 7  Solar radiation: 684
Year: 1967  Month: 7  Day: 3  Time: 8  Solar radiation: 777
Year: 1967  Month: 7  Day: 10  Time: 7  Solar radiation: 625
Year: 1967  Month: 7  Day: 11  Time: 7  Solar radiation: 571
Year: 1967  Month: 7  Day: 11  Time: 8  Solar radiation: 625
Year: 1967  Month: 7  Day: 13  Time: 7  Solar radiation: 651
Year: 1967  Month: 7  Day: 13  Time: 8  Solar radiation: 776
Year: 1967  Month: 7  Day: 14  Time: 7  Solar radiation: 636
Year: 1967  Month: 7  Day: 14  Time: 8  Solar radiation: 745
Year: 1967  Month: 7  Day: 15  Time: 7  Solar radiation: 566
Year: 1967  Month: 7  Day: 15  Time: 8  Solar radiation: 672
Year: 1967  Month: 7  Day: 16  Time: 7  Solar radiation: 675
Year: 1967  Month: 7  Day: 16  Time: 8  Solar radiation: 798
Year: 1967  Month: 7  Day: 22  Time: 7  Solar radiation: 662
Year: 1967  Month: 7  Day: 22  Time: 8  Solar radiation: 809
Year: 1967  Month: 7  Day: 23  Time: 7  Solar radiation: 663
Year: 1967  Month: 7  Day: 23  Time: 8  Solar radiation: 808
Year: 1967  Month: 7  Day: 24  Time: 7  Solar radiation: 588
Year: 1967  Month: 7  Day: 24  Time: 8  Solar radiation: 786
Year: 1979  Month: 8  Day: 5  Time: 8  Solar radiation: 733
Year: 1979  Month: 8  Day: 7  Time: 8  Solar radiation: 671
Year: 1979  Month: 8  Day: 8  Time: 8  Solar radiation: 680
Year: 1979  Month: 8  Day: 9  Time: 8  Solar radiation: 665
Year: 1979  Month: 8  Day: 10  Time: 8  Solar radiation: 666
Year: 1979  Month: 8  Day: 11  Time: 8  Solar radiation: 600
Year: 1979  Month: 8  Day: 13  Time: 8  Solar radiation: 569
Year: 1979  Month: 8  Day: 22  Time: 8  Solar radiation: 566
Year: 1961  Month: 9  Day: 7  Time: 8  Solar radiation: 732
Year: 1961  Month: 9  Day: 8  Time: 8  Solar radiation: 699
Year: 1961  Month: 9  Day: 12  Time: 8  Solar radiation: 631
Year: 1961  Month: 9  Day: 13  Time: 8  Solar radiation: 636
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
