                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-3.2	-3.13	7.61	8.19	15.88	15.15	14.75	14.89	16.79	16.25	16.55	9.4	
Time:12	13	13	13	11	12	12	12	13	13	13	8	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-12.11	-13.64	-3.49	-3.44	3.58	2.92	2.69	2.42	3.5	3.35	3.94	-0.7	
Time: 	10	10	9	8	6	5	5	5	7	6	7	6	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2871
===============
No. of wrong lines: 59
==================
Wrong Direct Normal Radiation:
=================================
Year: 1988  Month: 3  Day: 30  Time: 8  Solar radiation: 635
Year: 1963  Month: 4  Day: 9  Time: 8  Solar radiation: 709
Year: 1963  Month: 4  Day: 12  Time: 8  Solar radiation: 560
Year: 1963  Month: 4  Day: 13  Time: 8  Solar radiation: 740
Year: 1963  Month: 4  Day: 14  Time: 8  Solar radiation: 696
Year: 1963  Month: 4  Day: 20  Time: 8  Solar radiation: 724
Year: 1963  Month: 4  Day: 26  Time: 8  Solar radiation: 656
Year: 1963  Month: 5  Day: 1  Time: 8  Solar radiation: 666
Year: 1963  Month: 5  Day: 6  Time: 8  Solar radiation: 752
Year: 1963  Month: 5  Day: 13  Time: 8  Solar radiation: 737
Year: 1963  Month: 5  Day: 14  Time: 7  Solar radiation: 638
Year: 1963  Month: 5  Day: 14  Time: 8  Solar radiation: 783
Year: 1963  Month: 5  Day: 18  Time: 7  Solar radiation: 634
Year: 1963  Month: 5  Day: 18  Time: 8  Solar radiation: 777
Year: 1963  Month: 5  Day: 20  Time: 8  Solar radiation: 650
Year: 1963  Month: 5  Day: 22  Time: 7  Solar radiation: 647
Year: 1963  Month: 5  Day: 22  Time: 8  Solar radiation: 782
Year: 1963  Month: 5  Day: 23  Time: 7  Solar radiation: 572
Year: 1963  Month: 5  Day: 23  Time: 8  Solar radiation: 722
Year: 1963  Month: 5  Day: 24  Time: 7  Solar radiation: 597
Year: 1963  Month: 5  Day: 24  Time: 8  Solar radiation: 778
Year: 1963  Month: 5  Day: 25  Time: 7  Solar radiation: 630
Year: 1963  Month: 5  Day: 25  Time: 8  Solar radiation: 724
Year: 1963  Month: 5  Day: 31  Time: 7  Solar radiation: 556
Year: 1963  Month: 5  Day: 31  Time: 8  Solar radiation: 708
Year: 1979  Month: 6  Day: 1  Time: 8  Solar radiation: 595
Year: 1979  Month: 6  Day: 2  Time: 8  Solar radiation: 772
Year: 1979  Month: 6  Day: 5  Time: 8  Solar radiation: 689
Year: 1979  Month: 6  Day: 11  Time: 8  Solar radiation: 673
Year: 1979  Month: 6  Day: 12  Time: 8  Solar radiation: 693
Year: 1979  Month: 6  Day: 19  Time: 8  Solar radiation: 551
Year: 1979  Month: 6  Day: 20  Time: 8  Solar radiation: 694
Year: 1979  Month: 6  Day: 21  Time: 7  Solar radiation: 633
Year: 1979  Month: 6  Day: 21  Time: 8  Solar radiation: 758
Year: 1979  Month: 6  Day: 30  Time: 8  Solar radiation: 585
Year: 1961  Month: 7  Day: 2  Time: 8  Solar radiation: 719
Year: 1961  Month: 7  Day: 3  Time: 8  Solar radiation: 684
Year: 1961  Month: 7  Day: 7  Time: 8  Solar radiation: 688
Year: 1961  Month: 7  Day: 9  Time: 7  Solar radiation: 556
Year: 1961  Month: 7  Day: 9  Time: 8  Solar radiation: 703
Year: 1961  Month: 7  Day: 10  Time: 7  Solar radiation: 564
Year: 1961  Month: 7  Day: 10  Time: 8  Solar radiation: 710
Year: 1961  Month: 7  Day: 16  Time: 8  Solar radiation: 702
Year: 1961  Month: 7  Day: 19  Time: 8  Solar radiation: 765
Year: 1961  Month: 7  Day: 24  Time: 7  Solar radiation: 595
Year: 1961  Month: 7  Day: 24  Time: 8  Solar radiation: 739
Year: 1961  Month: 7  Day: 25  Time: 8  Solar radiation: 628
Year: 1965  Month: 8  Day: 1  Time: 8  Solar radiation: 581
Year: 1965  Month: 8  Day: 2  Time: 8  Solar radiation: 562
Year: 1965  Month: 8  Day: 11  Time: 8  Solar radiation: 669
Year: 1965  Month: 8  Day: 12  Time: 8  Solar radiation: 561
Year: 1965  Month: 8  Day: 15  Time: 8  Solar radiation: 604
Year: 1965  Month: 8  Day: 19  Time: 8  Solar radiation: 626
Year: 1969  Month: 9  Day: 7  Time: 8  Solar radiation: 574
Year: 1969  Month: 9  Day: 9  Time: 8  Solar radiation: 728
Year: 1969  Month: 9  Day: 10  Time: 8  Solar radiation: 646
Year: 1969  Month: 9  Day: 20  Time: 8  Solar radiation: 652
Year: 1969  Month: 9  Day: 21  Time: 8  Solar radiation: 566
Year: 1965  Month: 10  Day: 10  Time: 8  Solar radiation: 612
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
