                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-3.67	-3.38	7.61	8.19	9.43	11.51	12.43	13.06	15.0	15.13	17.07	16.05	
Time:12	12	13	13	8	13	12	12	12	12	13	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-15.23	-12.41	-3.69	-3.63	-3.37	-1.67	-0.16	0.52	1.42	1.42	3.42	3.0	
Time: 	12	11	8	8	11	9	8	7	7	7	7	7	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2568
===============
No. of wrong lines: 58
==================
Wrong Direct Normal Radiation:
=================================
Year: 1988  Month: 3  Day: 30  Time: 8  Solar radiation: 635
Year: 1994  Month: 4  Day: 3  Time: 8  Solar radiation: 597
Year: 1994  Month: 4  Day: 10  Time: 8  Solar radiation: 618
Year: 1994  Month: 4  Day: 14  Time: 8  Solar radiation: 600
Year: 1994  Month: 4  Day: 16  Time: 8  Solar radiation: 578
Year: 1994  Month: 4  Day: 22  Time: 7  Solar radiation: 565
Year: 1994  Month: 4  Day: 22  Time: 8  Solar radiation: 761
Year: 1994  Month: 4  Day: 26  Time: 8  Solar radiation: 715
Year: 1979  Month: 5  Day: 1  Time: 7  Solar radiation: 632
Year: 1979  Month: 5  Day: 1  Time: 8  Solar radiation: 790
Year: 1979  Month: 5  Day: 4  Time: 8  Solar radiation: 732
Year: 1979  Month: 5  Day: 12  Time: 8  Solar radiation: 729
Year: 1979  Month: 5  Day: 13  Time: 7  Solar radiation: 632
Year: 1979  Month: 5  Day: 13  Time: 8  Solar radiation: 769
Year: 1979  Month: 5  Day: 15  Time: 8  Solar radiation: 618
Year: 1979  Month: 5  Day: 19  Time: 8  Solar radiation: 718
Year: 1979  Month: 5  Day: 21  Time: 7  Solar radiation: 590
Year: 1979  Month: 5  Day: 21  Time: 8  Solar radiation: 735
Year: 1979  Month: 5  Day: 25  Time: 7  Solar radiation: 609
Year: 1979  Month: 5  Day: 25  Time: 8  Solar radiation: 747
Year: 1979  Month: 5  Day: 27  Time: 7  Solar radiation: 559
Year: 1979  Month: 5  Day: 27  Time: 8  Solar radiation: 711
Year: 1979  Month: 5  Day: 28  Time: 8  Solar radiation: 779
Year: 2003  Month: 6  Day: 9  Time: 8  Solar radiation: 654
Year: 2003  Month: 6  Day: 12  Time: 8  Solar radiation: 611
Year: 2003  Month: 6  Day: 16  Time: 8  Solar radiation: 654
Year: 2003  Month: 6  Day: 17  Time: 8  Solar radiation: 641
Year: 2003  Month: 6  Day: 19  Time: 8  Solar radiation: 648
Year: 2003  Month: 6  Day: 20  Time: 8  Solar radiation: 623
Year: 2003  Month: 6  Day: 21  Time: 8  Solar radiation: 598
Year: 2003  Month: 6  Day: 22  Time: 8  Solar radiation: 561
Year: 2003  Month: 6  Day: 26  Time: 8  Solar radiation: 636
Year: 2003  Month: 6  Day: 27  Time: 8  Solar radiation: 642
Year: 2003  Month: 6  Day: 28  Time: 8  Solar radiation: 648
Year: 2003  Month: 6  Day: 30  Time: 8  Solar radiation: 636
Year: 2003  Month: 7  Day: 2  Time: 8  Solar radiation: 636
Year: 2003  Month: 7  Day: 5  Time: 8  Solar radiation: 618
Year: 2003  Month: 7  Day: 12  Time: 8  Solar radiation: 644
Year: 2003  Month: 7  Day: 13  Time: 8  Solar radiation: 613
Year: 2003  Month: 7  Day: 15  Time: 8  Solar radiation: 601
Year: 2003  Month: 7  Day: 17  Time: 8  Solar radiation: 551
Year: 2003  Month: 7  Day: 19  Time: 8  Solar radiation: 601
Year: 2003  Month: 7  Day: 21  Time: 8  Solar radiation: 620
Year: 2003  Month: 7  Day: 23  Time: 8  Solar radiation: 571
Year: 2003  Month: 7  Day: 24  Time: 8  Solar radiation: 553
Year: 2003  Month: 7  Day: 25  Time: 8  Solar radiation: 571
Year: 1989  Month: 8  Day: 1  Time: 8  Solar radiation: 650
Year: 1989  Month: 8  Day: 2  Time: 8  Solar radiation: 655
Year: 1989  Month: 8  Day: 4  Time: 7  Solar radiation: 587
Year: 1989  Month: 8  Day: 7  Time: 8  Solar radiation: 566
Year: 1989  Month: 8  Day: 9  Time: 7  Solar radiation: 566
Year: 1989  Month: 8  Day: 9  Time: 8  Solar radiation: 733
Year: 1989  Month: 8  Day: 12  Time: 8  Solar radiation: 591
Year: 1989  Month: 8  Day: 18  Time: 8  Solar radiation: 677
Year: 1989  Month: 8  Day: 20  Time: 8  Solar radiation: 559
Year: 1989  Month: 8  Day: 27  Time: 8  Solar radiation: 610
Year: 1979  Month: 10  Day: 7  Time: 8  Solar radiation: 669
Year: 1979  Month: 10  Day: 13  Time: 8  Solar radiation: 570
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
