                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-1.36	0.65	2.25	2.95	3.3	3.71	8.97	11.88	12.81	13.21	12.63	12.53	
Time:11	11	13	12	8	12	14	13	13	13	13	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-11.39	-11.11	-7.83	-8.06	0.0	-3.33	-0.08	2.06	2.69	3.16	2.95	2.85	
Time: 	13	11	10	11	13	15	13	12	12	11	11	11	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2187
===============
No. of wrong lines: 51
==================
Wrong Direct Normal Radiation:
=================================
Year: 1997  Month: 3  Day: 12  Time: 8  Solar radiation: 580
Year: 2002  Month: 4  Day: 2  Time: 8  Solar radiation: 571
Year: 2002  Month: 4  Day: 7  Time: 8  Solar radiation: 585
Year: 2002  Month: 4  Day: 12  Time: 8  Solar radiation: 600
Year: 2002  Month: 4  Day: 16  Time: 8  Solar radiation: 635
Year: 2002  Month: 4  Day: 17  Time: 8  Solar radiation: 640
Year: 2002  Month: 4  Day: 18  Time: 8  Solar radiation: 621
Year: 2002  Month: 4  Day: 23  Time: 8  Solar radiation: 718
Year: 2002  Month: 4  Day: 24  Time: 8  Solar radiation: 655
Year: 2002  Month: 4  Day: 27  Time: 8  Solar radiation: 666
Year: 1995  Month: 5  Day: 7  Time: 7  Solar radiation: 698
Year: 1995  Month: 5  Day: 7  Time: 8  Solar radiation: 828
Year: 1995  Month: 5  Day: 8  Time: 7  Solar radiation: 562
Year: 1995  Month: 5  Day: 8  Time: 8  Solar radiation: 595
Year: 1995  Month: 5  Day: 16  Time: 8  Solar radiation: 611
Year: 1995  Month: 5  Day: 27  Time: 8  Solar radiation: 726
Year: 1995  Month: 5  Day: 31  Time: 8  Solar radiation: 725
Year: 2003  Month: 6  Day: 3  Time: 8  Solar radiation: 560
Year: 2003  Month: 6  Day: 4  Time: 8  Solar radiation: 572
Year: 2003  Month: 6  Day: 6  Time: 8  Solar radiation: 609
Year: 2003  Month: 6  Day: 10  Time: 7  Solar radiation: 570
Year: 2003  Month: 6  Day: 10  Time: 8  Solar radiation: 634
Year: 2003  Month: 6  Day: 15  Time: 8  Solar radiation: 566
Year: 2003  Month: 6  Day: 16  Time: 7  Solar radiation: 576
Year: 2003  Month: 6  Day: 16  Time: 8  Solar radiation: 695
Year: 2003  Month: 6  Day: 17  Time: 7  Solar radiation: 576
Year: 2003  Month: 6  Day: 17  Time: 8  Solar radiation: 695
Year: 2003  Month: 6  Day: 18  Time: 8  Solar radiation: 609
Year: 2003  Month: 6  Day: 20  Time: 8  Solar radiation: 609
Year: 2003  Month: 6  Day: 23  Time: 8  Solar radiation: 566
Year: 2003  Month: 6  Day: 24  Time: 7  Solar radiation: 551
Year: 2003  Month: 6  Day: 24  Time: 8  Solar radiation: 585
Year: 2003  Month: 6  Day: 28  Time: 8  Solar radiation: 573
Year: 2003  Month: 6  Day: 29  Time: 8  Solar radiation: 560
Year: 2003  Month: 6  Day: 30  Time: 8  Solar radiation: 560
Year: 2004  Month: 7  Day: 2  Time: 8  Solar radiation: 647
Year: 2004  Month: 7  Day: 3  Time: 8  Solar radiation: 715
Year: 2004  Month: 7  Day: 4  Time: 8  Solar radiation: 561
Year: 2004  Month: 7  Day: 11  Time: 8  Solar radiation: 673
Year: 2004  Month: 7  Day: 24  Time: 8  Solar radiation: 588
Year: 1996  Month: 8  Day: 1  Time: 8  Solar radiation: 738
Year: 1996  Month: 8  Day: 2  Time: 8  Solar radiation: 626
Year: 1996  Month: 8  Day: 3  Time: 7  Solar radiation: 556
Year: 1996  Month: 8  Day: 3  Time: 8  Solar radiation: 713
Year: 1996  Month: 8  Day: 12  Time: 8  Solar radiation: 649
Year: 1996  Month: 8  Day: 13  Time: 8  Solar radiation: 703
Year: 1999  Month: 9  Day: 1  Time: 8  Solar radiation: 606
Year: 1999  Month: 9  Day: 12  Time: 8  Solar radiation: 606
Year: 1999  Month: 9  Day: 19  Time: 8  Solar radiation: 567
Year: 1999  Month: 9  Day: 25  Time: 8  Solar radiation: 553
Year: 2005  Month: 10  Day: 2  Time: 8  Solar radiation: 568
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
