                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-7.59	0.36	6.78	7.07	6.0	9.33	15.43	16.63	17.36	17.52	17.29	16.21	
Time:13	13	12	12	11	12	13	14	12	12	13	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-16.35	-8.62	-2.24	-2.24	-1.5	-1.0	2.71	3.25	5.21	6.17	5.83	5.11	
Time: 	10	11	10	10	4	4	7	7	7	7	7	7	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2578
===============
No. of wrong lines: 42
==================
Wrong Direct Normal Radiation:
=================================
Year: 2004  Month: 3  Day: 31  Time: 8  Solar radiation: 607
Year: 2005  Month: 4  Day: 2  Time: 8  Solar radiation: 551
Year: 2005  Month: 4  Day: 3  Time: 8  Solar radiation: 563
Year: 2005  Month: 4  Day: 7  Time: 8  Solar radiation: 563
Year: 2005  Month: 4  Day: 8  Time: 8  Solar radiation: 575
Year: 2005  Month: 4  Day: 14  Time: 8  Solar radiation: 600
Year: 2005  Month: 4  Day: 23  Time: 8  Solar radiation: 637
Year: 2005  Month: 4  Day: 24  Time: 8  Solar radiation: 655
Year: 2005  Month: 4  Day: 28  Time: 8  Solar radiation: 677
Year: 2005  Month: 4  Day: 29  Time: 8  Solar radiation: 689
Year: 2005  Month: 5  Day: 3  Time: 8  Solar radiation: 637
Year: 2005  Month: 5  Day: 4  Time: 8  Solar radiation: 618
Year: 2005  Month: 5  Day: 5  Time: 8  Solar radiation: 568
Year: 2005  Month: 5  Day: 6  Time: 8  Solar radiation: 580
Year: 2005  Month: 5  Day: 19  Time: 8  Solar radiation: 651
Year: 2005  Month: 5  Day: 23  Time: 8  Solar radiation: 681
Year: 2005  Month: 5  Day: 26  Time: 8  Solar radiation: 693
Year: 2005  Month: 5  Day: 30  Time: 8  Solar radiation: 699
Year: 1996  Month: 6  Day: 2  Time: 8  Solar radiation: 630
Year: 1996  Month: 6  Day: 6  Time: 8  Solar radiation: 650
Year: 1996  Month: 6  Day: 9  Time: 8  Solar radiation: 567
Year: 1996  Month: 6  Day: 13  Time: 7  Solar radiation: 664
Year: 1996  Month: 6  Day: 13  Time: 8  Solar radiation: 784
Year: 1997  Month: 7  Day: 1  Time: 8  Solar radiation: 632
Year: 1997  Month: 7  Day: 4  Time: 7  Solar radiation: 597
Year: 1997  Month: 7  Day: 4  Time: 8  Solar radiation: 736
Year: 1997  Month: 7  Day: 13  Time: 8  Solar radiation: 676
Year: 1997  Month: 7  Day: 14  Time: 8  Solar radiation: 576
Year: 1997  Month: 7  Day: 15  Time: 8  Solar radiation: 692
Year: 1997  Month: 7  Day: 16  Time: 7  Solar radiation: 609
Year: 1997  Month: 7  Day: 16  Time: 8  Solar radiation: 750
Year: 1997  Month: 7  Day: 24  Time: 8  Solar radiation: 576
Year: 2003  Month: 8  Day: 1  Time: 8  Solar radiation: 656
Year: 2003  Month: 8  Day: 3  Time: 8  Solar radiation: 582
Year: 2003  Month: 8  Day: 4  Time: 8  Solar radiation: 588
Year: 2003  Month: 8  Day: 9  Time: 8  Solar radiation: 603
Year: 2003  Month: 8  Day: 11  Time: 8  Solar radiation: 585
Year: 2003  Month: 8  Day: 13  Time: 8  Solar radiation: 579
Year: 2003  Month: 8  Day: 16  Time: 8  Solar radiation: 555
Year: 2003  Month: 8  Day: 18  Time: 8  Solar radiation: 588
Year: 2003  Month: 8  Day: 19  Time: 8  Solar radiation: 607
Year: 2000  Month: 9  Day: 5  Time: 8  Solar radiation: 600
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
